tempo_arduino_micro_s,valor_ADC
29276,25
29804,23
30324,2
30852,17
31372,23
31900,27
32420,26
32948,25
33468,25
33996,25
34516,17
35044,13
35564,14
36092,21
36612,22
37140,2
37660,18
38188,16
38708,11
39236,1
39756,11
40284,11
40804,16
41332,12
41852,1
42380,12
42900,11
43420,12
43940,15
44460,14
44980,14
45500,14
46020,14
46540,14
47060,11
47580,1
48100,1
48620,11
49140,1
49660,1
50188,11
50708,11
51236,14
51756,15
52284,15
52804,14
53332,14
53852,15
54380,14
54900,15
55428,15
55948,16
56476,17
56996,12
57524,11
58044,1
58572,1
59092,11
59620,1
60140,11
60668,12
61188,14
61716,14
62236,15
62764,14
63284,14
63812,1
64336,1
64860,1
65380,1
65908,1
66428,11
66956,14
67476,16
67996,14
68516,14
69036,13
69556,13
70076,13
70600,14
71116,14
71640,16
72160,13
72676,14
73196,14
73716,13
74236,16
74764,15
75284,12
75812,11
76336,11
76860,11
77380,13
77908,14
78428,18
78956,2
79480,19
80004,17
80524,11
81052,1
81572,1
82100,15
82620,21
83148,25
83668,25
84196,24
84716,18
85244,15
85764,18
86292,18
86812,17
87340,16
87860,15
88388,15
88908,11
89436,12
89960,12
90484,14
91004,14
91532,13
92052,11
92572,11
93092,11
93612,11
94132,14
94652,12
95176,13
95696,14
96212,14
96732,14
97252,12
97772,12
98292,12
98812,1
99340,9
99804,1
100336,1
100896,12
101480,14
102048,18
102632,17
103200,15
103776,16
104344,17
104912,17
105488,17
106056,17
106640,11
107208,12
107784,12
108352,11
108936,11
109504,1
110072,15
110656,21
111224,2
111808,18
112380,15
112960,15
113528,12
114104,1
114672,11
115248,12
115832,16
116400,12
116984,13
117552,11
118136,9
118652,11
119232,16
119800,18
120380,21
120960,26
121528,26
122112,19
122680,15
123264,9
123780,1
124360,11
124936,13
125504,15
126088,13
126656,11
127240,12
127812,14
128392,15
128968,15
129536,16
130112,17
130680,11
131264,11
131832,9
132356,1
132928,11
133512,1
134080,11
134656,2
135240,16
135808,16
136392,14
136960,16
137544,16
138116,15
138696,12
139272,11
139840,11
140424,11
140992,1
141576,12
142144,18
142728,16
143296,14
143876,12
144456,17
145024,18
145608,16
146176,16
146760,14
147328,12
147912,11
148488,9
149004,12
149584,14
150156,18
150736,16
151308,15
151888,15
152460,14
153040,12
153616,16
154184,16
154760,15
155328,11
155912,12
156484,1
157064,11
157632,12
158212,12
158792,11
159360,12
159944,11
160516,12
161096,14
161664,15
162248,16
162824,16
163392,15
163976,11
164544,12
165120,13
165688,13
166264,1
166832,1
167408,12
167984,17
