tempo_arduino_micro_s,valor_ADC
500,14
1004,18
1504,26
2000,33
2508,33
3000,26
3508,23
4000,16
4508,18
5000,20
5500,24
6000,27
6500,31
7000,35
7500,34
8000,32
8500,28
9000,20
9500,17
10000,20
10508,16
11028,12
11556,10
12076,19
12604,17
13124,17
13648,16
14172,16
14700,14
15220,14
15748,22
16268,21
16796,13
17316,13
17836,16
18356,27
18876,31
19396,34
19916,26
20436,23
20956,17
21476,20
21996,27
22516,29
23036,33
23564,39
24084,42
24612,40
25132,38
25660,29
26180,20
26708,19
27228,12
27756,11
28276,10
28804,17
29324,19
29852,17
30372,16
30900,18
31420,14
31948,17
32468,20
32996,17
33516,11
34044,12
34564,18
35092,26
35612,27
36140,26
36660,21
37188,18
37708,18
38236,19
38760,19
39284,22
39804,25
40332,34
40852,36
41372,41
41892,43
42412,39
42932,33
43452,23
43972,13
44492,10
45012,12
45532,17
46052,16
46572,16
47092,18
47612,18
48140,12
48660,10
49188,11
49708,14
50236,15
50760,19
51284,22
51804,29
52332,29
52852,24
53380,17
53900,16
54428,21
54948,25
55476,29
55996,28
56524,28
57044,25
57572,30
58096,29
58620,30
59140,28
59668,35
60188,28
60716,12
61240,10
61764,11
62284,15
62812,17
63332,16
63860,16
64384,16
64908,14
65428,13
65948,15
66468,14
66988,14
67508,16
68028,22
68548,28
69068,26
69588,20
70108,17
70628,16
71148,18
71668,19
72192,19
72716,19
73236,22
73764,32
74284,35
74812,35
75336,32
75860,24
76384,19
76908,15
77428,12
77956,11
78476,14
79004,17
79528,18
80052,17
80572,16
81100,17
81620,11
82148,10
82668,11
83196,10
83720,10
84244,10
84764,15
85292,28
85812,35
86340,35
86860,27
87388,16
87908,17
88436,18
88956,18
89484,19
90004,28
90524,41
91044,46
91564,44
92084,33
92604,25
93124,25
93644,21
94164,18
94684,16
95204,21
95724,19
96248,16
96764,16
97292,20
97812,21
98340,15
98860,16
99388,11
99908,12
100436,15
101000,21
101584,21
102156,24
102736,28
103304,20
103880,17
104456,20
105024,22
105600,24
106168,21
106744,30
107312,42
107896,41
108464,35
109040,27
109624,21
110192,18
110776,11
111344,11
111928,17
112500,18
113080,16
113648,18
114224,18
114808,18
115376,17
115960,19
116528,16
117112,13
117684,18
118256,27
118840,32
119408,27
119992,23
120564,17
121144,19
121712,22
122296,23
122864,23
123444,35
124024,43
124592,48
125176,41
125744,30
126328,22
126896,16
127472,11
128056,11
128624,17
129200,16
129768,16
130344,17
130912,18
131496,13
132064,16
132640,23
133216,19
133784,19
134360,23
134928,27
135512,28
136084,34
136656,29
137232,18
137800,20
138384,23
138952,22
139536,21
140104,27
140688,35
141260,42
141832,42
142416,29
142984,20
143568,17
144136,15
144720,15
145288,20
145864,19
146440,18
147008,16
147592,17
148160,14
148744,13
149312,12
149896,12
150464,14
151040,19
151624,30
152196,35
152776,30
153348,17
153928,15
154504,18
155088,18
155664,22
156232,18
156816,29
157384,42
157968,45
158540,43
159120,33
159692,30
160268,23
160848,17
161416,13
161992,19
162560,17
163144,17
163716,18
164296,21
164872,19
165440,19
166016,18
166584,14
167168,11
167736,13
168312,19
168880,18
169456,19
170032,23
170600,16
171184,19
171756,26
172336,22
172904,27
173488,33
174056,30
174636,27
175216,30
175784,20
176368,16
176936,15
177520,12
178088,11
178664,19
179248,18
179816,16
180392,17
180960,22
181544,23
182112,16
182696,16
183264,16
183840,19
184424,15
184992,19
185568,23
186140,23
186720,20
187288,16
187864,19
188448,22
189016,25
189600,26
190168,32
190752,37
191324,47
191904,45
192476,36
193048,32
193632,21
194200,13
194784,11
195352,18
195936,17
196504,17
197080,19
197664,19
198232,18
198816,19
199384,14
199968,11
200540,10
201120,14
201688,24
202264,27
202848,26
203420,21
204000,15
204568,18
205152,21
205720,26
206288,30
206864,35
207432,34
208016,32
208584,29
209160,24
209728,21
210312,13
210880,14
211456,13
212032,19
212600,17
213184,18
213752,17
214336,16
214908,10
215488,11
216056,14
216632,14
217216,18
217784,19
218368,29
218936,35
219520,29
220088,26
220664,16
221248,16
221816,22
222400,29
222968,35
223552,42
224124,46
224704,45
225272,35
225852,32
226432,31
227000,21
227584,17
228152,18
228736,18
229308,16
229880,17
230464,19
231032,22
231616,18
232188,18
232768,13
233336,15
233920,20
234488,26
235064,34
235648,30
236216,22
236800,19
237368,17
237944,20
238516,22
239092,26
239672,33
240244,43
240824,43
241392,40
241976,33
242548,25
243128,17
243700,10
244272,15
244856,15
245424,16
246008,16
246576,17
247160,17
247728,18
248304,10
248888,12
249456,15
250040,14
250608,18
251192,22
251764,31
252344,29
252912,26
253488,21
254072,18
254644,18
255224,20
255796,20
256376,27
256952,32
257520,37
258104,42
258672,35
259248,30
