tempo_arduino_micro_s,valor_ADC
500,14
1004,13
1504,10
2000,10
2508,17
3000,16
3508,15
4000,16
4508,17
5000,18
5500,18
6000,18
6500,18
7004,20
7500,19
8000,14
8500,11
9000,10
9500,10
10000,11
10516,10
11036,10
11564,10
12084,12
12612,13
13132,18
13660,20
14180,17
14708,15
15228,16
15756,14
16276,10
16796,10
17316,12
17836,20
18356,20
18876,12
19396,10
19916,10
20436,16
20956,18
21476,22
21996,18
22516,16
23036,19
23564,22
24084,19
24612,14
25132,13
25660,10
26180,10
26708,11
27228,11
27756,13
28276,16
28804,21
29324,19
29852,23
30372,22
30900,18
31420,15
31948,14
32472,13
32996,10
33516,13
34044,16
34564,20
35092,24
35612,21
36140,18
36660,21
37188,20
37708,13
38236,14
38760,15
39284,19
39804,19
40332,14
40852,12
41372,11
41892,12
42412,12
42932,11
43452,11
43972,11
44492,11
45012,15
45532,16
46052,12
46572,14
47092,13
47612,15
48140,24
48660,23
49188,19
49708,16
50236,12
50756,11
51284,14
51804,20
52332,26
52852,25
53380,22
53900,20
54428,19
54948,19
55476,21
55996,21
56524,21
57044,19
57572,15
58096,10
58620,12
59140,12
59668,16
60188,15
60716,12
61240,14
61764,15
62284,12
62812,11
63332,14
63860,14
64384,14
64908,14
65428,14
65948,10
66468,11
66988,12
67508,12
68028,13
68548,17
69068,23
69588,25
70108,23
70628,20
71148,19
71668,17
72192,15
72716,15
73236,13
73764,13
74284,11
74812,12
75332,13
75860,12
76384,11
76908,10
77428,10
77956,12
78476,15
79004,15
79528,17
80052,20
80572,17
81100,15
81620,14
82148,14
82668,11
83196,10
83720,12
84244,18
84764,19
85292,20
85812,19
86340,17
86860,18
87388,19
87908,21
88436,20
88956,21
89484,22
90004,16
90524,14
91044,12
91564,10
92084,12
92604,14
93124,13
93644,10
94164,13
94684,20
95204,20
95724,15
96248,16
96764,17
97292,18
97812,17
98340,16
98860,16
99388,11
99908,10
100436,11
101000,16
101584,21
102156,26
102736,26
103304,26
103880,24
104456,26
105024,25
105600,24
106168,23
106744,13
107312,17
107896,22
108464,17
109040,11
109624,16
110192,17
110768,12
111336,12
111920,21
112492,29
113072,21
113640,14
114216,15
114792,18
115364,14
115944,12
116512,13
117096,12
117664,19
118240,22
118824,22
119392,19
119976,18
120548,16
121128,13
121696,14
122280,14
122848,14
123428,14
124008,17
124576,15
125160,14
125728,11
126312,11
126884,10
127456,11
128040,11
128608,13
129184,19
129752,19
130328,18
130896,18
131480,16
132048,18
132624,17
133200,16
133768,10
134344,15
134912,24
135496,23
136064,18
136648,15
137224,17
137792,19
138376,18
138944,16
139528,13
140096,15
140680,14
141252,16
141824,18
142408,18
142976,18
143560,12
144128,11
144712,14
145280,23
145864,25
146440,24
147008,22
147592,18
148160,15
148744,14
149312,12
149896,9
150416,12
150992,13
151568,17
152140,15
152720,21
153292,23
153872,21
