tempo_arduino_micro_s,valor_ADC
500,35
1004,30
1504,31
2000,32
2508,23
3000,17
3508,10
4000,12
4504,20
5000,22
5500,17
6000,18
6500,21
7004,15
7500,11
8000,11
8500,13
9000,16
9500,26
10000,21
10516,14
11036,21
11564,50
12084,45
12612,17
13132,11
13660,13
14180,19
14708,16
15228,10
15756,17
16276,23
16796,23
17316,20
17836,18
18356,19
18876,21
19396,21
19916,17
20436,16
20956,16
21476,12
21996,10
22516,9
22976,10
23508,10
24028,10
24548,10
25068,13
25588,14
26108,16
26636,16
27156,18
27684,17
28204,10
28732,11
29252,10
29780,15
30300,19
30828,19
31348,17
31876,11
32396,14
32924,15
33444,16
33972,16
34492,16
35020,21
35540,22
36068,20
36588,17
37116,14
37640,10
38164,10
38684,10
39212,10
39732,11
40260,10
40780,10
41308,10
41828,13
42356,13
42876,14
43404,15
43924,14
44444,14
44964,10
45484,10
46004,12
46524,11
47044,14
47564,13
48084,11
48604,14
49124,11
49644,12
50164,28
50684,35
51212,29
51732,20
52260,15
52780,15
53308,12
53828,16
54356,24
54876,15
55404,14
55924,16
56452,14
56972,14
57500,20
58024,21
58548,22
59068,22
59596,25
60116,21
60644,18
61164,14
61692,10
62212,10
62740,11
63260,12
63788,13
64312,12
64836,12
65356,12
65884,14
66404,17
66932,22
67452,23
67980,28
68500,33
69020,46
69540,47
70060,42
70584,35
71100,23
71620,16
72144,11
72660,10
73180,15
73700,34
74220,30
74744,26
75260,29
75788,27
76312,15
76836,14
77356,16
77884,12
78404,11
78932,14
79456,11
79980,11
80504,14
81028,15
81548,14
82076,10
82596,12
83124,24
83644,42
84172,48
84692,46
85220,29
85740,18
86268,16
86788,17
87316,16
87836,13
88364,13
88884,11
89412,10
89936,10
90460,16
90980,20
91508,16
92032,15
92556,15
93076,14
93596,14
94116,17
94636,16
95160,10
95680,11
96196,11
96716,12
97236,12
97760,10
98276,12
98796,14
99320,18
99836,22
100364,30
100928,33
101512,29
102084,25
102664,21
103232,20
103808,21
104376,21
104944,17
105520,11
106088,19
106672,14
107240,9
107764,11
108336,13
108912,15
109480,21
110048,32
110624,27
111192,11
111776,11
112344,11
112928,11
113496,11
114072,10
114640,15
115216,12
115800,13
116368,24
116952,33
117520,30
118104,21
118672,18
119248,22
119832,27
120404,28
120984,23
121552,20
122136,20
122704,18
123288,12
123856,19
124424,36
125008,40
125576,35
126160,29
126728,17
127312,14
127884,11
128464,11
129040,11
129608,9
130132,11
130704,12
131288,11
131856,11
132432,12
133000,23
133584,34
134160,38
134728,40
135312,31
135880,24
136464,23
137032,24
137616,19
138184,14
138752,11
139336,14
139904,19
140488,17
141056,15
141640,17
142208,21
142792,19
143368,15
143936,15
144520,14
145088,11
145672,10
146240,11
146824,12
147392,10
147968,14
148552,11
149120,15
149704,31
150276,38
150856,33
151428,29
152008,27
152584,34
153156,35
153736,26
154308,20
154888,14
155456,9
155980,10
156556,10
157136,9
157656,11
158224,17
158808,15
159376,18
159960,26
160532,25
161112,14
161680,11
162256,16
162832,16
163400,11
163984,14
164552,16
165128,17
165696,13
166272,12
166840,17
167416,27
167992,50
168560,51
169144,46
169712,39
170288,35
170856,30
171432,17
172004,12
172576,19
173152,14
173720,10
174304,10
174872,14
175456,14
176024,14
176600,15
177176,15
177744,26
178328,33
178896,27
179480,25
180048,24
180624,21
181192,19
181768,14
182352,13
182924,11
183504,13
184076,14
184656,14
185224,17
185808,20
186384,34
186952,37
187536,28
188104,18
188688,9
189208,10
189784,12
190352,15
190932,11
191512,15
192084,21
192664,20
193232,15
193808,17
194376,17
194960,11
195528,11
196104,11
196688,11
197256,13
197840,20
198408,22
198992,12
199564,11
200144,17
200720,32
201288,33
201872,28
202440,24
203024,33
203596,30
204176,16
204744,14
205324,18
205904,32
206472,31
207056,28
207624,25
208208,13
208776,28
209352,47
209928,45
210496,33
211072,24
211640,15
212224,11
212792,11
213376,11
213944,10
214520,11
215104,14
215672,12
216256,15
216824,22
217408,25
217980,32
218560,31
219128,24
219708,23
220288,13
220856,12
221440,12
222008,10
222592,14
223164,15
223740,18
224320,13
224888,17
225472,15
226040,15
226624,23
227192,24
227776,35
228348,50
228920,29
229504,11
230076,15
230656,13
231224,14
231808,24
232376,27
232952,30
233536,29
234108,28
234688,23
235260,22
235840,21
236408,22
236992,25
237560,25
238140,17
238720,12
239288,10
239872,11
240444,14
241024,17
241592,19
242172,15
242752,15
243324,16
243904,17
244476,19
245056,21
245628,21
246208,19
246776,11
247352,11
247936,11
248508,14
249088,17
249656,24
250240,27
250808,32
251388,29
251968,15
252540,14
253120,13
253692,14
254272,17
254844,24
255424,25
255996,31
256572,28
257152,17
257720,9
258244,12
258816,13
259392,19
259960,19
260544,21
261112,22
261692,18
262272,11
262840,11
263424,22
263992,32
264576,25
265144,15
265720,11
266304,14
266872,24
267456,28
268024,27
268608,21
269176,19
269760,15
270328,20
270904,18
271488,18
272056,11
272640,12
273208,13
273784,11
274352,10
274932,15
275512,20
276084,23
276664,21
277232,17
277816,14
278384,12
278968,11
279540,10
280116,10
280696,10
281268,11
281848,11
282416,17
283000,21
283568,24
284144,18
284728,26
285300,35
285880,32
286452,28
287032,24
287604,22
288184,15
288752,9
289268,10
289848,10
290416,11
291000,11
291572,15
292152,15
292720,18
293304,26
293876,27
294452,26
295032,26
295604,17
296184,12
296752,11
297336,11
297908,11
298484,12
299064,13
299636,16
300216,25
300788,26
301368,24
301948,28
302528,29
303100,34
303676,37
304256,32
304828,20
305408,12
305980,10
306560,9
307080,15
307656,30
308240,24
308808,33
309392,42
309964,38
310544,21
311116,11
311696,12
312268,11
312844,10
313424,10
313996,10
314576,11
315148,16
315728,20
316308,28
316884,35
317464,36
318036,32
318616,28
319188,19
319768,10
320348,10
320928,12
321496,14
322072,14
322656,10
323224,11
323808,20
324376,21
324960,12
325528,15
326108,17
326688,13
327256,14
327840,12
328408,11
328984,10
329552,9
330076,13
330648,14
331224,13
331808,11
332376,13
332960,21
333528,19
334104,22
334672,30
335256,31
335828,28
336404,27
336984,17
337552,11
338136,10
338704,10
339288,14
339856,13
340432,11
341008,13
341576,12
342160,12
342728,16
343312,30
343884,49
344464,56
345032,49
345612,31
346192,12
346764,23
347344,25
347916,30
348496,32
349072,38
349648,34
350232,30
350804,32
351384,27
351956,19
352536,14
353112,10
353696,17
354264,17
354840,11
355424,13
355996,22
356576,19
357148,14
357728,13
358300,18
358876,15
359456,13
360024,13
360608,14
361176,18
361760,16
362328,18
362912,16
363484,14
364060,12
364640,11
365212,11
365792,11
366364,12
366944,13
367516,15
368092,22
368672,29
369240,37
369824,50
370396,56
370976,53
371548,36
372128,20
372696,17
373272,34
373856,27
374424,15
375008,16
375580,24
376160,24
376732,26
377308,26
377888,22
378460,17
379040,11
379612,11
380192,12
380764,11
381344,12
381924,18
382500,23
383080,25
383652,29
384236,30
384808,30
385392,25
385960,26
386536,26
387120,18
387692,13
388272,11
388844,11
389424,9
389944,10
390520,10
391088,11
391664,14
392248,13
392816,14
393400,14
393972,13
394552,11
395124,15
395704,16
396276,12
396852,10
397432,11
398004,12
398584,10
399156,10
399736,14
400316,14
400888,16
401472,16
402044,18
402624,18
403196,19
403776,19
404356,16
404936,15
405512,10
406084,10
406664,10
407236,13
407816,13
408388,17
408968,18
409540,18
410116,20
410696,17
411264,10
411848,10
412416,11
413000,10
413568,11
414152,11
414728,11
415296,11
415872,15
416444,19
417024,22
417592,28
418176,33
418744,34
419320,32
419904,30
420472,27
421056,23
421624,14
422208,10
422780,10
423360,10
423928,12
424504,11
425088,15
425656,20
426240,22
426808,17
427392,14
427964,26
428540,25
429120,15
429688,11
430272,12
430840,13
431424,14
431996,18
432576,20
433160,16
433732,15
434312,20
434884,23
435464,28
436032,27
436616,25
437184,17
437764,11
438344,10
438916,10
439496,12
440068,12
440648,10
441216,11
441800,12
442376,14
442948,15
443528,17
444096,14
444680,11
445252,10
445832,13
446404,10
446976,19
447560,23
448132,12
448712,15
449280,24
449864,32
450436,35
451016,27
451592,19
452164,15
452744,18
453316,20
453896,21
454468,18
455048,14
455616,11
456196,12
456776,13
457348,14
457928,11
458500,12
459080,17
459652,19
460232,16
460808,13
461376,10
461952,10
462524,13
463104,13
463676,10
464256,11
464824,12
465400,15
465984,18
466552,20
467136,23
467708,23
468288,20
468860,22
469440,24
470012,24
470588,32
471168,27
471740,14
472320,9
472840,18
473416,31
473988,26
474568,21
475144,16
475716,13
476296,13
476868,13
477448,12
478020,10
478600,10
479180,11
479756,11
480336,12
480908,13
481488,12
482056,11
482640,13
483208,18
483792,20
484368,24
484940,24
485520,25
486092,26
486672,25
487240,19
487824,13
488396,10
488972,11
489552,11
490124,13
490704,14
491276,13
491856,15
492432,15
493012,13
493592,14
494164,15
494744,17
495312,11
495896,9
496416,10
496992,12
497560,11
498140,13
498720,16
499292,28
499872,39
500444,41
501024,36
501596,20
502176,15
502756,19
503332,20
503912,11
504484,19
505064,19
505636,16
506216,15
506788,10
507364,12
507944,20
508516,28
509096,24
509668,15
510248,13
510820,13
511400,14
511980,14
512556,13
513136,11
513704,11
514288,16
514856,14
515440,11
516008,18
516584,31
517168,29
517736,25
518320,22
518892,19
519472,21
520044,25
520624,22
521192,13
521772,11
522352,10
522920,11
523504,10
524076,10
524656,13
525228,14
525800,14
526384,14
526956,14
527536,12
528108,10
528688,11
529256,12
529840,13
530412,11
530988,15
531568,12
532140,14
532720,21
533288,21
533872,15
534444,17
535016,31
535600,23
536172,11
536752,30
537324,39
537904,32
538476,18
539056,9
539576,15
540148,17
540728,16
541300,14
541880,14
542452,14
543032,14
543604,13
544184,12
544752,11
545332,10
545912,11
546484,14
547064,15
547636,13
548216,10
548788,11
549364,10
549944,15
550516,15
551096,14
551668,14
552248,18
552828,24
553408,30
553980,24
554556,19
555136,11
555708,9
556236,10
556812,10
557392,15
557964,16
558544,18
559128,20
559700,19
560280,18
560852,15
561432,13
562004,10
562584,11
563156,16
563732,18
564312,15
564884,11
565464,12
566036,15
566616,28
567188,33
567764,35
568344,30
568916,32
569496,29
570068,26
570648,22
571220,16
571800,12
572372,10
572948,11
573528,16
574096,18
574680,21
575252,27
575832,40
576404,38
576976,19
577560,15
578132,29
578712,30
579284,25
579864,13
580432,12
581016,17
581588,15
582164,11
582744,16
583316,20
583896,15
584476,14
585056,15
585628,15
586204,20
586784,29
587356,23
587936,14
588508,10
589088,11
589656,12
590240,10
590812,11
591388,16
591968,15
592540,19
593120,18
593692,15
594272,12
594844,13
595420,18
596000,24
596572,24
597152,13
597724,13
598304,11
598884,11
599464,14
600044,24
600620,29
601200,31
601772,35
602352,33
602924,20
603504,13
604076,16
604652,18
605232,13
605804,10
606384,14
606956,13
607536,21
608116,26
608696,20
609268,16
609844,16
610424,15
610996,11
611576,11
612156,10
612736,11
613316,10
613892,12
614476,15
615044,12
615624,22
616196,33
616776,29
617348,22
617928,19
618504,16
619076,19
619656,23
620228,22
620808,17
621376,11
621960,11
622540,12
623116,14
623696,16
624268,14
624848,16
625420,15
