tempo_arduino_micro_s,valor_ADC
500,31
1004,22
1500,14
2000,10
2504,13
3000,12
3508,11
4000,16
4504,17
5000,18
5500,22
6000,24
6500,18
7000,14
7500,13
8000,14
8500,13
9000,10
9500,11
10000,12
10508,12
11028,13
11556,13
12076,17
12604,25
13124,28
13648,28
14172,23
14700,21
15220,23
15748,23
16268,28
16796,30
17316,27
17836,21
18356,17
18876,10
19396,13
19916,15
20436,25
20956,27
21476,19
21996,15
22516,18
23036,18
23564,11
24084,10
24612,10
25132,10
25660,10
26180,10
26708,15
27228,14
27756,18
28276,15
28804,18
29324,17
29852,18
30372,20
30900,22
31420,32
31948,34
32472,29
32996,16
33516,9
33984,10
34508,12
35036,12
35556,10
36084,12
36604,15
37132,20
37652,20
38180,18
38700,18
39228,17
39748,16
40276,14
40796,12
41324,12
41844,14
42372,14
42892,12
43420,14
43940,14
44460,14
44980,12
45500,18
46020,22
46540,26
47060,28
47580,29
48100,31
48620,39
49140,48
49660,48
50188,36
50708,21
51236,12
51756,11
52284,10
52804,10
53332,12
53852,17
54380,15
54900,21
55428,18
55948,17
56476,15
56996,14
57524,18
58044,21
58572,17
59092,14
59620,11
60140,13
60668,11
61188,10
61716,11
62236,21
62764,24
63284,27
63812,28
64336,24
64860,22
65380,22
65908,20
66428,22
66956,24
67476,23
67996,23
68516,18
69036,11
69556,10
70076,12
70600,17
71116,16
71640,19
72160,30
72676,40
73196,38
73720,27
74236,17
74764,10
75284,13
75812,13
76336,11
76860,11
77380,11
77908,12
78428,11
78956,17
79480,18
80004,21
80524,27
81052,26
81572,30
82100,35
82620,36
83148,28
83668,19
84196,11
84716,10
85244,12
85764,15
86292,16
86812,14
87340,17
87860,18
88388,17
88908,17
89436,18
89960,14
90484,12
91004,10
91532,11
92052,17
92572,18
93092,15
93612,12
94132,11
94652,11
95176,11
95696,18
96212,20
96732,27
97252,35
97776,41
98292,44
98812,46
99340,38
99860,30
100388,27
100952,26
101536,19
102108,11
102688,10
103256,13
103832,20
104400,26
104976,27
105552,27
106120,23
106704,21
107272,17
107856,11
108424,10
109008,10
109584,13
110152,19
110736,19
111304,14
111888,15
112460,27
113040,29
113608,25
114176,23
114752,25
115320,29
115904,30
116472,24
117056,17
117624,14
118208,11
118776,11
119352,11
119936,11
120508,16
121088,16
121656,16
122240,16
122808,19
123384,18
123968,18
124536,12
125120,11
125688,22
126272,36
126840,49
127424,36
127996,12
128572,21
129152,40
129720,48
130296,45
130864,34
131448,21
132016,23
132584,25
133160,30
133728,23
134312,10
134884,10
135464,12
136032,14
136616,11
137184,18
137760,17
138344,17
138912,17
139496,17
140068,16
140648,15
141220,15
141792,16
142376,18
142948,19
143528,21
144096,19
144680,13
145248,16
145824,22
146392,29
146972,31
147552,30
148120,25
148704,27
149272,29
149856,26
150424,16
151000,11
151584,10
152156,10
152736,11
153308,10
153888,17
154456,18
155040,17
155608,17
156184,19
156768,15
157340,14
157920,16
158492,14
159072,13
159644,14
160220,18
160800,15
161368,11
161944,18
162512,27
163096,25
163668,22
164248,20
164816,20
165384,23
165960,19
166528,16
167112,12
167680,12
168256,10
168824,15
169400,13
169968,11
170536,17
171112,17
171684,18
172264,17
172832,19
173416,16
173988,15
174564,14
175144,11
175712,11
176296,10
176864,14
177448,13
178016,12
178600,17
179168,18
179748,17
180328,18
180896,21
181480,28
182048,34
182632,34
183204,30
183776,21
184360,14
184928,11
185504,11
186076,11
186656,11
187224,17
187808,19
188376,22
188952,21
189536,22
190104,16
190688,11
191260,10
191840,9
192360,12
192936,12
193504,14
194084,12
194664,11
195232,17
195816,26
196384,26
196968,26
197536,27
198116,28
198696,31
199268,34
199848,33
200416,30
201000,20
201568,11
202152,12
202724,15
203296,14
203880,16
204452,16
205032,17
205600,17
206176,18
206744,13
207312,13
207888,15
208456,16
209040,17
209608,16
210184,22
210752,16
211336,11
211904,18
212480,22
213064,24
213632,31
214216,29
214788,32
215368,41
215936,39
216520,32
217096,26
217668,18
218248,10
218816,18
219400,20
219968,18
220552,18
221120,17
221696,17
222280,15
222852,18
223432,11
224004,10
224584,9
225100,10
225680,13
226248,17
226816,22
227400,18
227968,13
228552,15
229124,27
229704,29
230276,28
230856,31
231432,31
232004,32
232584,26
233152,26
233736,23
234304,18
234888,12
235456,11
236036,13
236616,15
237188,20
237768,19
238336,18
238920,17
239492,18
240072,13
240648,12
241216,11
241792,11
242364,11
242944,13
243516,30
244096,27
244664,17
245240,18
245824,21
246392,26
246976,34
247544,33
248128,29
248696,28
249280,25
249848,17
250424,15
251008,19
251580,29
252160,25
252728,19
253312,17
253884,17
254460,16
255040,24
255612,30
256192,21
256764,11
257344,12
257912,13
258488,11
259056,13
259632,15
260216,22
260784,20
261368,12
261936,18
262520,31
263088,32
263664,27
264248,26
264816,28
265400,30
265972,29
266552,29
267120,25
267704,15
268272,10
268848,11
269432,17
270000,15
270584,17
271152,19
271736,21
272308,21
272880,20
273464,11
274032,10
274616,11
275188,13
275768,14
276348,13
276928,11
277496,11
278076,12
278656,18
279228,19
279808,21
280380,25
280960,27
281528,30
282108,35
282688,30
283260,25
283840,23
284408,20
284992,15
285560,10
286144,11
286716,11
287292,14
287872,18
288444,19
289024,22
289592,26
290176,22
290748,14
291320,14
291904,14
292472,12
293056,12
293628,22
294208,29
294780,20
295360,17
295928,18
296508,21
297088,28
297656,32
298240,33
298808,34
299392,33
299964,32
300540,30
301120,25
301692,19
302272,11
302844,10
303424,10
303996,15
304580,18
305160,24
305732,26
306312,23
306884,12
307464,11
308032,11
308616,11
309184,13
309760,18
310344,23
310916,16
311496,11
312068,18
312648,18
313216,27
313800,29
314376,29
314948,32
315528,30
316100,32
316680,30
317260,25
317840,22
318420,19
318996,15
319576,10
320148,12
320728,15
321296,21
321880,24
322448,22
323024,19
323608,11
324176,14
324760,14
325332,16
325912,19
326484,22
327064,21
327636,22
328212,18
328792,16
329360,27
329944,29
330512,28
331096,27
331664,34
332240,37
332824,35
333392,29
333968,26
334536,20
335120,13
335688,14
336272,13
336840,16
337416,20
338000,20
338568,18
339144,20
339716,19
340296,17
340864,17
341448,14
342024,12
342592,14
343176,18
343748,18
344328,15
344896,11
345480,20
346052,24
346624,24
347208,22
347776,26
348360,32
348928,39
349512,41
350084,40
350664,31
351240,24
351812,13
352392,15
352964,17
353544,17
354116,17
354696,18
355268,22
355840,25
356424,28
356996,27
357576,26
358148,21
358728,11
359304,11
359888,11
360464,11
361032,11
361616,11
362184,21
362768,24
363340,25
363920,23
364488,26
365064,37
365648,38
366220,33
366800,25
367368,14
367952,9
368472,10
369048,12
369616,14
370192,17
370776,21
371348,22
371928,21
372500,21
373080,17
373652,11
374228,10
374808,11
375376,10
375960,11
376532,18
377112,17
377684,13
378264,12
378836,20
379412,24
379992,26
380564,22
381144,21
381716,22
382296,24
382868,27
383444,20
384024,13
384596,14
385176,18
385748,17
386328,11
386900,15
387480,17
388052,17
388624,17
389208,28
389776,52
390360,41
390932,19
391512,10
392084,22
392656,19
393240,13
393812,13
394392,11
394964,11
395544,18
396116,25
396696,26
397276,22
397852,24
398432,22
399004,27
399584,29
400164,19
400744,11
401312,10
401892,11
402472,15
403044,17
403624,22
404196,18
404776,16
405348,17
405928,18
406500,19
407076,16
407656,15
408228,18
408808,15
409380,11
409960,11
410536,10
411104,12
411688,16
412256,19
412832,19
413400,22
413976,24
414544,26
415128,24
415696,30
416272,34
416856,30
417424,25
418008,19
418576,15
419160,10
419732,14
420308,17
420888,18
421456,17
422032,19
422604,18
423184,13
423756,16
424336,15
424904,15
425484,11
426064,11
426632,14
427216,13
427784,14
428368,11
428940,21
429520,23
430096,25
430664,27
431248,28
431820,34
432400,33
432968,32
433552,27
434124,22
434700,13
435280,10
435848,11
436432,10
437004,15
437584,15
438156,17
438736,17
439312,19
439884,23
440464,24
441032,19
441616,11
442184,11
442768,20
443340,30
443916,29
444496,19
445068,13
445648,32
446216,34
446800,44
447368,45
447952,44
448528,48
449100,47
449680,40
450248,22
450832,9
451348,10
451928,11
452496,11
453072,13
453656,17
454224,18
454808,22
455376,33
455960,30
456532,23
457112,21
457684,15
458256,11
458840,12
459412,14
459992,15
460572,15
461152,15
461728,11
462304,28
462888,32
463456,34
464040,31
464608,24
465192,24
465764,25
466344,21
466916,12
467492,10
468072,13
468644,11
469224,10
469796,11
470376,16
470948,15
471524,18
472104,18
472676,18
473256,17
473828,15
474408,11
474976,10
475560,11
476132,12
476708,15
477288,17
477860,13
478440,12
479012,19
479592,19
480172,19
480744,19
481328,21
481896,32
482480,38
483052,35
483632,27
484204,19
484784,17
485356,13
485932,10
486512,10
487080,17
487664,15
488236,17
488816,17
489388,22
489964,18
490544,15
491116,16
491696,18
492268,19
492848,17
493416,19
494000,16
494572,11
495144,15
495728,27
496300,26
496880,27
497448,27
498032,37
498604,45
499180,39
499760,31
500332,28
500912,20
501484,14
502064,9
502584,14
503160,21
503732,37
504308,39
504888,27
505460,21
506040,21
506612,15
507192,10
507764,11
508344,11
508916,11
509492,11
510072,14
510644,14
511224,14
511804,13
512388,24
512960,25
513528,19
514104,17
514672,24
515256,30
515824,35
516408,30
516976,26
517560,19
518128,15
518704,10
519288,10
519856,11
520440,16
521008,17
521592,16
522164,17
522740,19
523320,14
523892,15
524472,15
525044,13
525624,20
526192,23
526776,21
527344,16
527924,11
528504,15
529072,21
529656,26
530224,25
530808,21
531380,27
531956,40
532536,41
533104,30
533688,18
534256,11
534840,9
535360,10
535936,10
536508,10
537080,19
537664,17
538232,19
538816,19
539384,19
539968,13
540540,11
541120,10
541692,11
542268,17
542848,26
543416,31
544000,16
544568,12
545144,13
545716,23
546292,30
546872,35
547444,33
548024,22
548592,18
549176,27
549748,30
550328,31
550908,21
551484,11
552064,14
552636,15
553216,11
553796,16
554376,17
554948,16
555524,17
556104,16
556676,11
557256,13
557828,17
558408,16
558984,15
559568,14
560152,15
560724,16
561304,13
561876,16
562456,18
563036,18
563616,24
564192,26
564768,31
565352,36
565924,37
566504,29
567072,18
567656,20
568228,18
568804,12
569384,10
569956,11
570536,15
571108,16
571688,18
572268,19
572848,20
573428,16
574004,15
574584,18
575156,18
575736,18
576316,14
576896,12
577464,11
578040,13
578624,17
579192,17
579776,18
580348,22
580928,28
581500,33
582080,33
582652,35
583228,30
583808,23
584380,17
584960,13
585528,10
586112,11
586684,11
587260,18
587840,18
588412,19
588992,19
589560,20
590144,14
590716,14
591296,10
591880,10
592452,13
593032,16
593604,18
594184,14
594756,11
595336,21
595908,28
596484,28
597064,27
597636,26
598216,29
598788,29
599368,27
599948,19
600528,11
601112,14
601684,15
602264,10
602836,12
603416,14
603996,17
604580,17
605156,16
605732,17
606312,16
606888,14
607464,18
608036,15
608616,13
609188,16
609764,20
610344,19
610916,16
611496,11
612068,16
612648,22
613228,28
613808,28
614388,34
614964,34
615544,34
616116,35
616696,35
617268,26
617848,11
618416,10
618992,11
619576,15
620148,15
620728,15
621300,16
621880,17
622452,20
623032,19
623604,17
624180,18
624760,16
625332,13
625912,13
626484,13
627064,16
627636,16
628212,11
628792,19
629364,25
629944,31
630516,35
631096,30
631676,27
632260,26
632840,26
633412,27
633996,19
634568,14
635144,10
635724,15
636304,16
636884,17
637460,16
638040,18
638612,19
639192,18
639772,14
640356,15
640928,18
641504,17
642088,16
642656,15
643240,16
643808,13
644392,12
644964,13
645544,24
646116,24
646692,24
647272,25
647844,24
648424,29
648992,34
649576,29
650148,16
650724,11
651304,18
651876,13
652456,10
653028,11
653608,19
654176,24
654760,23
655332,17
655908,18
656488,14
657056,15
657632,16
658200,19
658784,15
659352,12
659928,15
660512,16
661080,11
661664,11
662232,21
662816,30
663388,35
663968,34
664540,33
665116,34
665696,18
666268,12
666848,9
667364,10
667944,15
668516,20
669096,11
669664,17
670240,22
670824,20
671392,19
671976,18
672548,18
673128,16
673696,16
674272,18
674856,19
675428,20
676008,16
676576,13
677152,14
677720,14
678304,11
678876,24
679448,30
680032,34
680600,35
681184,33
681756,39
682336,32
682908,31
683484,24
684064,16
684636,12
685216,10
685788,11
686368,11
686940,17
687520,16
688092,19
688664,25
689248,25
689820,22
690400,19
690972,19
691552,19
692132,17
692708,17
693288,19
693860,18
694440,17
695012,11
695592,24
696172,27
696752,26
697324,24
697900,23
698480,22
699052,19
699632,14
700204,10
700784,10
701356,11
701932,14
702512,17
703084,19
703664,19
704236,15
704816,21
705384,20
705968,17
706540,11
707116,10
707696,9
708216,11
708792,10
709364,11
709944,17
710516,16
711096,16
711668,17
712244,15
712824,18
713396,25
713976,29
714556,32
715136,34
715716,30
716292,22
716872,18
717444,17
718024,18
718596,13
719176,9
719696,12
720272,16
720844,16
721416,17
722000,18
722568,19
723152,13
723724,11
724304,11
724876,11
725456,12
726032,15
726604,23
727184,26
