tempo_arduino_micro_s,valor_ADC
500,41
1004,37
1500,45
2000,40
2500,28
3000,15
3508,11
4000,15
4504,12
5000,14
5500,21
6000,28
6500,34
7000,32
7500,26
8000,21
8500,18
9000,15
9500,15
10000,21
10508,18
11028,23
11556,28
12076,14
12604,28
13124,37
13652,42
14172,37
14700,30
15220,32
15748,30
16268,18
16796,21
17316,12
17836,12
18356,20
18876,21
19396,13
19916,16
20436,31
20956,40
21476,41
21996,39
22516,25
23036,14
23564,25
24084,28
24612,17
25132,22
25660,24
26180,20
26708,13
27228,10
27756,14
28276,14
28804,15
29324,16
29852,38
30372,49
30900,37
31420,23
31948,10
32472,14
32996,17
33516,14
34044,12
34564,16
35092,18
35612,41
36140,48
36660,62
37188,85
37708,85
38236,46
38760,27
39284,18
39804,17
40332,38
40852,53
41372,34
41892,25
42412,23
42932,25
43452,25
43972,19
44492,15
45012,18
45532,18
46052,12
46572,18
47092,29
47612,30
48140,45
48660,55
49188,64
49708,58
50236,28
50756,12
51284,14
51804,48
52332,55
52852,32
53380,15
53900,17
54428,19
54948,22
55476,19
55996,17
56524,16
57044,22
57572,18
58096,10
58620,16
59140,14
59668,10
60188,14
60716,16
61240,18
61764,21
62284,25
62812,29
63332,32
63860,29
64384,25
64908,16
65428,11
65948,12
66468,10
66988,12
67508,14
68028,10
68548,13
69068,17
69588,15
70108,11
70628,20
71148,30
71672,34
72192,32
72716,40
73236,41
73764,32
74284,19
74812,10
75332,12
75860,14
76380,14
76908,11
77428,16
77956,22
78480,11
79004,13
79528,13
80052,18
80572,20
81100,14
81620,12
82148,10
82668,10
83196,18
83716,19
84244,18
84764,19
85292,16
85812,10
86340,16
86860,21
87388,16
87908,14
88436,14
88956,16
89484,15
90004,11
90524,12
91044,15
91564,25
92084,23
92604,14
93124,10
93644,14
94164,19
94684,23
95204,23
95724,14
96248,15
96764,16
97292,18
97812,20
98340,15
98860,10
99388,10
99908,10
100436,11
101000,11
101584,11
102156,25
102736,27
103304,14
103880,14
104456,13
105024,13
105600,15
106168,14
106744,10
107312,14
107896,19
108464,34
109040,39
109624,26
110192,9
110716,13
111292,11
111872,17
112444,20
113024,19
113592,18
114172,15
114752,19
115320,23
115904,14
116472,11
117056,12
117624,15
118208,20
118776,21
119352,13
119936,13
120508,14
121088,15
121656,15
122240,14
122808,14
123384,17
123968,24
124536,25
125120,16
125688,14
126272,12
126844,13
127424,11
127992,18
128572,30
129152,27
129720,28
130296,22
130864,19
131448,11
132016,10
132592,15
133168,23
133736,15
134312,11
134884,14
135464,11
136032,11
136616,12
137184,17
137760,14
138344,21
138912,20
139496,18
140068,16
140648,16
141216,19
141792,18
142376,21
142948,18
143528,13
144096,13
144680,11
145248,13
145824,11
146392,17
146968,22
147552,19
148120,18
148704,29
149272,33
149856,23
150424,11
151000,20
151584,18
152156,13
152736,12
153308,13
153888,16
154456,14
155040,16
155608,22
156184,30
156768,14
157340,13
157920,27
158492,26
159072,19
159644,30
160220,51
160800,56
161368,57
161944,56
162512,40
163096,21
163668,14
164248,23
164816,36
165384,37
165960,36
166528,35
167112,28
167680,21
168256,32
168824,32
169400,13
169968,17
170536,17
171112,15
171680,19
172264,37
172832,46
173416,41
173984,49
174560,51
175144,50
175716,44
176296,26
176864,13
177448,16
178016,25
178600,38
179168,64
179748,74
180328,79
180896,72
181480,64
182048,64
182632,45
183200,35
183776,35
184360,25
184928,13
185504,11
186072,14
186656,26
