tempo_arduino_micro_s,valor_ADC
500,15
1004,15
1504,16
2000,20
2508,27
3000,30
3508,24
4000,24
4504,29
5000,36
5500,36
6000,28
6500,20
7000,16
7500,20
8000,32
8500,32
9000,26
9500,22
10000,32
10508,47
11028,39
11556,34
12076,22
12604,30
13124,39
13652,24
14172,10
14700,13
15220,15
15748,15
16268,16
16796,17
17316,17
17836,14
18356,10
18876,10
19396,10
19916,11
20436,12
20956,19
21476,23
21996,29
22516,28
23036,26
23564,21
24084,16
24612,17
25132,18
25660,22
26180,26
26708,39
27228,54
27756,53
28276,42
28804,26
29324,16
29852,12
30372,10
30900,12
31420,14
31948,23
32468,26
32996,20
33516,17
34044,15
34564,13
35092,14
35612,18
36140,16
36660,11
37188,11
37708,18
38236,27
38760,33
39284,42
39804,46
40332,32
40852,17
41372,18
41892,32
42412,51
42932,63
43452,75
43972,68
44492,45
45012,30
45532,23
46052,22
46572,11
47092,16
47612,23
48140,16
48660,15
49188,15
49708,15
50236,15
50760,16
51284,15
51804,22
52332,19
52852,12
53380,14
53900,22
54428,19
54948,12
55476,12
55996,15
56524,18
57044,15
57572,15
58096,16
58620,16
59140,16
59668,11
60188,13
60716,22
61240,35
61764,33
62284,18
62812,16
63332,16
63860,16
64384,26
64908,34
65428,37
65948,44
66468,52
66988,52
67508,17
68028,32
68548,29
69068,33
69588,30
70108,32
70628,32
71148,21
71672,11
72192,14
72716,36
73236,58
73764,66
74284,71
74812,68
75336,49
75860,27
76380,15
76908,16
77428,26
77956,27
78480,29
79004,24
79528,19
80052,25
80572,24
81100,15
81620,15
82148,22
82668,16
83196,21
83716,28
84244,26
84764,12
85292,23
85812,42
86340,36
86864,12
87388,12
87908,16
88436,30
88956,34
89484,33
90004,22
90524,20
91044,27
91564,25
92084,17
92604,16
93124,12
93644,10
94164,19
94684,29
95208,29
95724,27
96248,29
96764,23
97292,24
97812,25
98340,17
98860,16
99388,15
99908,16
100436,16
101000,18
101584,21
102156,22
102736,21
103304,10
103880,15
104456,32
105024,41
105600,30
106168,17
106744,27
107312,24
107896,16
108464,16
109040,16
109624,21
110192,31
110768,34
111336,26
111920,23
112492,10
113072,15
113640,23
114216,25
114792,15
115364,14
115944,15
116512,16
117096,17
117664,18
118244,14
118824,24
119392,31
119976,33
120548,11
121128,13
121696,19
122280,20
122848,19
123428,19
124008,24
124576,27
125160,45
125728,43
126312,47
126884,50
127456,57
128040,46
128608,29
129184,21
129752,13
130328,10
130896,14
131480,25
132048,40
132624,51
133200,60
133768,59
134344,67
134912,44
135496,12
136064,23
136648,56
137224,76
137792,58
138376,26
138944,28
139528,16
140096,19
140680,20
141252,22
141824,17
142408,23
142976,44
143560,70
144128,79
144712,54
145280,30
145864,17
146440,10
147008,11
147592,11
148160,13
148744,17
149312,30
149896,33
150468,27
151040,25
151624,25
152196,25
152776,33
153348,40
153928,47
154504,50
155088,49
155664,34
156236,26
156816,30
157384,24
157968,16
158540,16
159120,23
159692,33
160268,51
160848,64
161416,57
161992,56
162560,62
163144,29
163716,12
164296,29
164872,42
165440,37
166016,48
166584,38
167168,28
167736,16
168320,12
168888,17
169456,15
170032,29
170600,34
171184,37
171756,51
172336,43
172904,34
173488,23
174056,18
174636,26
175216,30
175784,38
176368,39
176936,34
177520,29
178088,19
178664,11
179248,10
179816,9
180340,11
180912,17
181496,14
182064,15
182648,16
183216,18
183792,18
184376,15
184944,10
185520,11
186092,11
186672,19
187240,27
187824,33
188396,35
188972,42
189552,41
190120,28
190704,16
191276,19
191856,21
192428,19
193000,21
193576,31
194148,33
194728,39
195296,38
195880,27
196448,22
197032,12
197604,11
198176,18
198760,20
199328,22
199912,25
200484,30
201064,23
201632,13
202208,15
202792,11
203364,11
203944,11
204516,13
205096,17
205664,12
206240,20
206808,19
207376,30
207952,39
208524,33
209104,26
209672,29
210256,11
210824,29
211400,18
211976,19
212544,14
213128,23
213696,17
214280,33
214852,60
215432,67
216000,70
216576,66
217160,59
217732,53
218312,32
218880,11
219464,18
220036,32
220616,42
221192,48
221764,55
222344,48
222916,30
223496,21
224068,18
224648,15
225216,24
225796,26
226376,24
226944,24
227528,32
228096,39
228680,28
229248,18
229832,15
230408,12
230976,9
231500,14
232076,14
232656,17
233224,19
233808,19
234376,17
234960,13
235536,19
236104,10
236688,10
237260,10
237840,15
238412,25
238992,25
239564,20
240140,17
240720,18
241288,18
241872,19
242444,19
243024,17
243596,16
244176,13
244752,10
245324,11
245904,14
246472,18
247056,20
247624,14
248208,15
248776,15
249352,20
249936,18
250504,17
251088,16
251656,11
252240,12
252808,11
253392,12
253968,17
254540,17
255120,11
255692,13
256272,19
256848,25
257424,28
257992,23
258560,19
259144,26
259712,51
260296,74
260864,70
261448,57
262016,46
262600,27
263176,15
263744,11
264328,11
264896,22
265480,23
266052,19
266632,17
267200,19
267776,17
268360,15
268928,15
269512,17
270080,24
270664,32
271236,41
271816,45
272392,48
272960,38
273544,26
274116,17
274696,35
275268,32
275848,25
276416,46
276996,58
277576,56
278148,42
278728,17
279296,11
279880,11
280452,12
281032,17
281608,15
282176,23
282752,29
283324,22
283904,15
284476,21
285056,43
285624,51
286200,18
286784,10
287352,11
287936,18
288508,18
289088,18
289656,20
290240,15
290808,16
291384,18
291968,18
292536,27
293120,33
293688,35
294272,36
294844,34
295416,24
296000,15
296568,11
297152,15
297724,17
298304,18
298876,17
299456,19
300040,27
300612,25
301192,19
301764,12
302344,10
302916,11
303496,11
304068,18
304644,20
305224,26
305796,15
306376,12
306948,14
307528,16
308104,16
308688,17
309264,15
309836,16
310416,27
310984,38
311568,30
312148,15
312728,11
313300,11
313876,10
314456,18
315028,27
315608,25
316180,26
316760,27
317332,20
317908,15
318488,15
319060,11
319640,21
320212,23
320792,17
321360,11
321944,17
322512,23
323092,27
323672,16
324244,27
324824,36
325392,30
325976,16
326548,13
327120,22
327704,27
328272,35
328848,30
329416,29
329992,22
330560,13
331144,11
331712,17
332288,15
332872,24
333440,36
334016,42
334584,34
335168,23
335740,13
336320,11
336888,14
337464,27
338040,37
338608,29
339192,16
339764,15
340344,13
340912,21
341488,39
342072,51
342644,62
343224,54
343792,39
344376,37
344944,26
345528,10
346100,20
346672,26
347256,26
347824,32
348408,35
348976,43
349560,21
350128,25
350708,34
351288,40
351860,32
352440,26
353012,31
353592,11
354164,40
354744,80
355316,90
355892,82
356472,53
357044,19
357624,61
358196,94
358776,99
359352,86
359932,70
360512,60
361080,53
361664,43
362232,17
362816,12
363388,20
363968,23
364540,25
365116,22
365696,22
366264,27
366848,28
367420,30
368000,31
368568,33
369148,38
369728,34
370296,25
370880,14
371448,12
372032,13
372600,24
373184,38
373756,68
374332,76
374912,57
375484,36
376064,28
376632,27
377216,19
377788,15
378364,14
378944,14
379516,13
380096,10
380668,11
381248,11
381820,18
382400,25
382972,32
383548,21
384128,15
384700,14
385280,11
385848,11
386432,19
387004,29
387580,24
388160,19
388728,13
389312,14
389880,17
390464,15
391032,15
391616,16
392188,15
392760,26
393344,29
393916,28
394496,15
395064,11
395648,16
396220,28
396796,30
397376,29
397948,34
398528,25
399100,21
399680,19
400260,23
400840,17
401416,11
401988,10
402568,11
403136,26
403720,43
404300,52
404880,63
405448,57
406028,39
406608,24
407180,15
407760,17
408332,18
408912,16
409484,12
410064,30
410648,45
411216,61
411792,64
412360,64
412944,91
413512,93
414096,62
414664,40
415240,31
415824,22
416396,15
416976,34
417544,74
418128,87
418696,71
419280,53
419856,32
420424,34
421008,33
421576,18
422160,10
422728,11
423312,15
423880,16
424456,17
425040,16
425608,17
426192,25
426764,30
427344,33
427916,41
428496,34
429072,22
429644,14
430224,11
430792,13
431376,14
431944,16
432528,15
433100,17
433676,19
434256,14
434828,21
435408,20
435976,18
436560,9
437076,22
437656,24
438228,26
438804,19
439384,13
439956,16
440536,15
441112,18
441696,21
442264,24
442840,35
443424,38
443996,22
444576,15
445148,19
445728,25
446300,29
446880,28
447452,28
448028,26
448608,17
449176,18
449760,24
450328,22
450912,20
451480,18
452056,18
452640,38
453208,48
453792,58
454364,72
454944,57
455524,39
456104,25
456672,16
457252,16
457832,21
458404,35
458984,38
