tempo_arduino_micro_s,valor_ADC
500,37
1004,37
1504,36
2000,31
2508,14
3000,14
3508,18
4000,20
4504,18
5000,14
5500,13
6000,18
6500,24
7004,25
7500,24
8000,33
8500,38
9000,37
9500,40
10000,46
10516,43
11036,43
11564,48
12084,52
12612,48
13132,35
13660,20
14180,12
14708,10
15228,14
15756,16
16276,19
16796,22
17316,26
17836,35
18356,32
18876,26
19396,16
19916,11
20436,11
20956,13
21476,11
21996,11
22516,15
23036,12
23564,15
24084,19
24612,25
25132,28
25660,31
26180,26
26708,15
27228,16
27756,17
28276,16
28804,18
29324,26
29852,20
30372,16
30900,9
31360,15
31892,27
32412,27
32940,19
33460,19
33988,26
34508,32
35036,26
35556,17
36084,15
36604,16
37132,15
37652,19
38180,20
38700,14
39228,11
39748,11
40276,16
40796,16
41324,14
41844,14
42372,17
42892,18
43420,17
43940,16
44460,15
44980,11
45500,22
46020,33
46540,29
47060,13
47580,12
48100,15
48620,14
49140,17
49660,16
50188,24
50708,25
51236,17
51756,10
52284,15
52804,31
53332,46
53852,55
54380,53
54900,50
55428,25
55948,12
56476,35
56996,41
57524,33
58044,26
58572,64
59092,73
59620,59
60140,55
60668,28
61188,10
61716,30
62236,53
62764,52
63284,45
63812,42
64336,58
64860,61
65380,47
65908,31
66428,26
66956,14
67476,30
67996,47
68516,55
69036,48
69556,38
70076,37
70600,52
71116,66
71640,55
72160,31
72676,23
73196,17
73716,18
74236,31
74764,46
75284,43
75812,25
76336,12
76860,12
77380,14
77908,17
78428,20
78956,11
79480,10
80004,14
80524,13
81052,22
81572,28
82100,30
82620,22
83148,16
83668,20
84196,20
84716,20
85244,13
85764,11
86292,28
86812,21
87340,15
87860,11
88388,18
88908,14
89436,12
89960,15
90484,14
91004,15
91532,14
92052,14
92572,16
93092,19
93612,20
94132,10
94652,13
95172,13
95696,13
96212,15
96732,20
97252,24
97772,25
98292,29
98812,21
99340,23
99860,25
100388,46
100956,58
101536,61
102108,38
102688,22
103256,12
103832,9
104348,11
104920,11
105496,15
106064,51
106648,69
107216,68
107792,55
108360,25
108944,29
109512,47
110080,64
110664,70
111232,60
111816,41
112388,23
112968,11
113536,13
114112,31
114680,37
115256,38
115840,34
116408,23
116984,23
117552,18
118136,11
118704,11
119280,24
119864,31
120436,31
121016,27
121584,19
122168,19
122736,18
123320,23
123888,21
124464,16
125048,16
125616,15
126200,13
126768,15
127352,16
127924,11
128500,9
129020,15
129600,27
130172,34
130744,32
131320,36
131888,28
132472,15
133040,15
133616,20
134200,29
134768,24
135352,14
135920,10
136504,11
137072,11
137656,11
138224,11
138804,29
139384,43
139952,49
140536,67
141108,65
141688,61
142256,68
142832,48
143416,20
143984,11
144568,23
145136,31
145720,41
146288,51
146872,50
147444,35
148016,18
148600,15
149168,14
149752,15
150324,17
150904,17
151476,40
152052,37
152632,32
153204,13
153784,27
154352,40
154928,53
155496,50
156080,24
156648,17
157224,15
157808,31
158380,31
158960,43
159528,30
160112,17
160680,23
161248,14
161824,34
162392,55
162976,54
163544,40
164128,29
164696,41
165272,49
165840,48
166416,36
166988,17
167560,24
168136,38
168704,39
169280,52
169848,53
170424,40
170992,25
171560,12
172144,24
172712,29
173296,33
173864,27
174448,15
175016,16
175584,16
176168,14
176736,16
177312,14
177880,10
178464,15
179032,23
179616,34
180184,44
180760,35
181336,22
181904,18
182488,39
183056,52
183640,51
184212,49
184788,36
185368,35
185936,39
186520,23
187088,17
187672,27
188240,19
188824,17
189392,26
189972,26
190552,30
191124,34
191704,33
192276,22
192856,15
193424,12
194000,11
194584,10
195152,13
195728,27
196296,48
196880,39
197448,12
198032,13
198604,27
199176,37
199760,37
200332,33
200912,29
201480,21
202064,23
202636,31
203216,23
203792,14
204364,12
204944,11
205512,11
206088,11
206656,17
207232,20
207800,14
208376,15
208960,18
209528,26
210104,33
210672,42
211256,51
211824,52
212400,40
212968,19
213544,16
214128,10
214696,11
215280,17
215848,21
216432,16
217000,26
217576,35
218160,21
218728,22
219312,28
219880,17
220464,10
221032,11
221616,11
222184,17
222764,20
223344,28
223916,37
224496,29
225072,26
225656,27
226224,21
226792,22
227376,22
227944,13
228528,14
229096,24
229680,33
230252,18
230832,12
231400,14
231976,19
232560,22
233128,15
233712,13
234280,14
234864,10
235436,24
236012,47
236592,58
237164,71
237744,69
238316,58
238896,57
239468,45
240048,17
240616,39
241196,54
241776,58
242348,55
242928,43
243500,39
244080,45
244648,47
245224,44
245808,32
246376,11
246960,11
247528,11
248112,20
248680,43
249264,49
249836,43
250408,23
250992,14
251560,11
252144,10
252716,12
253296,12
253868,13
254444,11
255024,13
255596,14
256176,19
256748,38
257328,39
257896,32
258472,42
259040,50
259616,34
260200,27
260768,11
261344,25
261912,41
262496,39
263064,38
263632,36
264216,19
264784,30
265368,49
265936,48
266520,33
267088,27
267672,21
268240,21
268816,22
269400,14
269968,16
270552,28
271124,21
271704,24
272276,54
272848,61
273432,51
274004,46
274584,35
275152,20
275736,16
276316,26
276896,36
277464,32
278044,47
278624,30
279196,26
279776,35
280348,32
280928,21
281500,19
282076,38
282656,51
283224,44
283808,26
284380,23
284960,37
285528,32
286112,19
286684,11
287260,25
287840,38
288412,32
288992,41
289560,43
290144,41
290716,42
291292,58
291872,60
292444,65
293024,59
293596,43
294176,29
294748,34
295328,14
295900,36
296476,66
297056,75
297628,64
298208,27
298780,17
299360,19
299932,17
300508,27
301088,30
301660,29
302240,22
302812,11
303392,13
303964,22
304544,33
305124,31
305700,20
306280,17
306852,15
307432,21
308008,42
308592,48
309164,51
309740,48
310320,36
310892,31
311472,27
312044,26
312624,35
313196,47
313776,36
314356,22
314932,15
315512,19
316084,41
316664,61
317236,78
317816,84
318396,81
318972,65
319552,38
320124,16
320704,14
321272,21
321856,35
322424,23
323008,11
323576,16
324152,14
324736,15
325308,28
325888,50
326460,62
327040,51
327608,45
328188,40
328768,27
329336,16
329920,19
330488,28
331064,20
331632,21
332216,16
332784,27
333364,33
333944,43
334512,40
335096,16
335664,14
336248,17
336816,22
337392,17
337968,22
338536,17
339112,15
339684,15
340264,19
340832,16
341416,14
341984,15
342560,14
343144,11
343716,17
344296,37
344868,26
345448,16
346020,20
346592,11
347176,16
347748,34
348328,53
348896,64
349480,60
350048,51
350632,49
351204,25
351780,11
352360,11
352932,11
353512,17
354084,42
354664,42
355232,27
355812,12
356392,17
