tempo_arduino_micro_s,valor_ADC
500,14
1004,20
1504,15
2000,10
2508,12
3000,14
3508,12
4000,13
4508,17
5000,17
5500,16
6000,13
6500,14
7004,15
7500,12
8000,11
8500,12
9000,16
9500,13
10000,11
10516,10
11036,11
11564,10
12084,10
12612,10
13132,10
13660,11
14180,10
14708,10
15228,10
15756,13
16276,11
16796,10
17316,10
17836,10
18356,10
18876,10
19396,10
19916,10
20436,13
20956,12
21476,11
21996,10
22516,11
23036,10
23564,11
24084,13
24612,15
25132,13
25660,11
26180,10
26708,11
27228,11
27756,10
28276,10
28804,10
29324,10
29852,11
30372,10
30900,10
31420,13
31948,16
32472,11
32996,13
33516,17
34044,19
34564,20
35092,14
35612,10
36140,12
36660,18
37188,14
37708,11
38236,10
38760,14
39284,18
39804,17
40332,15
40852,16
41372,14
41892,11
42412,10
42932,17
43452,21
43972,15
44492,12
45012,11
45532,13
46052,16
46572,16
47092,16
47612,13
48140,12
48660,11
49188,10
49708,17
50236,15
50756,11
51284,10
51804,12
52332,14
52852,11
53380,10
53900,11
54428,12
54948,13
55476,11
55996,10
56524,10
57044,10
57572,12
58096,10
58620,10
59140,10
59668,10
60188,10
60716,10
61240,11
61764,10
62284,10
62812,10
63332,11
63860,12
64384,12
64908,13
65428,11
65948,14
66468,18
66988,19
67508,13
68028,12
68548,10
69068,11
69588,10
70108,10
70628,11
71148,14
71668,14
72192,14
72716,11
73236,10
73764,10
74284,11
74812,11
75332,11
75860,10
76384,13
76908,13
77428,12
77956,14
78476,14
79004,12
79528,10
80052,10
80572,11
81100,11
81620,12
82148,10
82668,10
83196,10
83720,10
84244,11
84764,15
85292,11
85812,10
86340,11
86860,11
87388,10
87908,13
88436,16
88956,15
89484,14
90004,12
90524,12
91044,12
91564,12
92084,10
92604,11
93124,12
93644,13
94164,12
94684,10
95204,11
95724,12
96248,13
96764,11
97292,11
97812,13
98340,13
98860,10
99388,10
99908,10
100436,13
101000,12
101584,12
102156,11
102736,10
103304,11
103880,12
104456,16
105024,19
105600,15
106168,10
106744,11
107312,11
107896,13
108464,19
109040,19
109624,15
110192,12
110768,11
111336,11
111920,11
112492,12
113072,11
113640,11
114216,11
114792,19
115364,18
115944,13
116512,10
117096,11
117664,11
118240,16
118824,16
119392,14
119976,11
120548,11
121128,11
121696,11
122280,11
122848,11
123428,13
124008,14
124576,16
125160,16
125728,15
126312,11
126884,14
127456,10
128040,15
128608,13
129184,13
129752,9
130276,11
130848,13
131432,13
132000,13
132576,10
133152,12
133720,15
134304,15
134872,16
135456,15
136024,13
136608,10
137176,11
137752,11
138336,10
138904,10
139488,12
140056,11
140640,9
141160,11
141736,11
142304,11
142880,11
143464,11
144032,13
144616,10
145184,11
145768,10
146336,15
146912,11
147496,10
148064,11
148648,11
149216,10
149800,10
150368,11
150952,11
151524,10
152100,11
152680,15
153252,18
153832,15
154408,11
154992,11
155560,11
156136,14
156720,13
157288,10
157872,10
158444,11
159024,11
159596,10
160176,10
160752,9
161268,9
161788,10
162368,14
162952,13
163520,11
164104,14
164672,12
165248,11
165816,11
166384,13
166960,11
167528,11
168104,14
168672,15
169248,12
169816,13
170392,16
170960,15
171536,15
172120,15
172688,14
173272,10
173840,11
174424,12
174992,10
175568,11
176144,11
176712,11
177296,11
177864,10
178448,11
179016,14
179600,16
180168,13
180736,9
181260,10
181832,11
182416,10
182984,9
183508,10
184084,13
184664,15
185232,13
185808,10
186384,12
186952,11
187536,11
188104,10
188688,13
189256,21
189840,16
190408,16
190984,16
191568,12
192140,10
192720,10
193288,11
193872,9
194392,11
194968,11
195536,11
196112,11
196696,14
197264,12
197848,11
198416,10
199000,11
199572,11
200148,13
200728,11
201296,10
201880,11
202448,10
203032,11
203604,10
204184,11
204756,11
205332,12
205912,11
206480,11
