tempo_arduino_micro_s,valor_ADC
500,10
1004,10
1504,10
2000,10
2508,12
3000,10
3508,9
4000,12
4504,12
5000,12
5500,11
6000,12
6500,11
7004,12
7500,11
8000,10
8500,10
9000,10
9500,10
10000,10
10516,10
11036,10
11564,10
12084,12
12612,12
13132,11
13660,11
14180,13
14708,14
15228,12
15756,13
16276,12
16796,10
17316,10
17836,10
18356,10
18876,10
19396,10
19916,10
20436,12
20956,10
21476,11
21996,12
22516,11
23036,10
23564,11
24084,14
24612,14
25132,13
25660,14
26180,11
26708,10
27228,10
27756,11
28276,11
28804,12
29324,12
29852,12
30372,10
30900,11
31420,10
31948,10
32468,12
32996,10
33516,10
34044,10
34564,11
35092,10
35612,10
36140,11
36660,11
37188,10
37708,15
38236,13
38760,11
39284,14
39804,14
40332,14
40852,13
41372,12
41892,11
42412,11
42932,12
43452,13
43972,14
44492,16
45012,12
45532,10
46052,10
46572,10
47092,11
47612,11
48140,10
48660,10
49188,11
49708,13
50236,15
50756,14
51284,13
51804,13
52332,13
52852,12
53380,11
53900,10
54428,11
54948,10
55476,10
55996,10
56524,10
57044,11
57572,10
58096,10
58620,11
59140,10
59668,10
60188,10
60716,10
61240,10
61764,10
62284,12
62812,15
63332,12
63860,10
64384,10
64908,10
65428,10
65948,11
66468,10
66988,12
67508,12
68028,12
68548,10
69068,10
69588,10
70108,10
70628,10
71148,11
71668,10
72192,10
72716,13
73236,12
73764,12
74284,12
74812,12
75332,10
75860,13
76380,15
76908,11
77428,11
77956,14
78476,12
79004,10
79528,10
80052,13
80572,13
81100,14
81620,12
82148,11
82668,11
83196,11
83716,10
84244,10
84764,10
85292,10
85812,11
86340,10
86860,12
87388,10
87908,10
88436,10
88956,10
89484,10
90004,10
90524,10
91044,14
91564,16
92084,17
92604,12
93124,10
93644,11
94164,10
94684,11
95208,12
95724,12
96248,10
96764,9
97224,10
97756,12
98276,11
98796,10
99316,10
99836,10
100364,10
100928,11
101512,11
102084,10
102664,13
103232,19
103808,17
104376,15
104944,13
105520,14
106088,12
106672,10
107240,9
107764,10
108336,11
108912,13
109480,12
110048,11
110624,10
111192,10
111776,10
112348,11
112928,11
113496,14
114080,12
114648,11
115224,11
115808,10
116376,13
116960,13
117528,14
118112,13
118680,12
119256,11
119840,14
120408,16
120992,13
121560,11
122144,12
122712,12
123296,9
123812,10
124384,11
124968,12
125536,12
126120,11
126688,10
127272,9
127792,10
128368,11
128936,9
129452,10
130024,9
130540,10
131120,11
131688,10
132272,10
132840,13
133424,11
133992,11
134576,11
135144,9
135660,11
136240,11
136808,9
137332,10
137904,11
138488,12
139056,13
139632,13
140200,11
140776,11
141360,13
141928,14
142512,11
143080,11
143664,11
144232,11
144816,10
145384,10
145952,11
146536,17
147104,17
147688,13
148256,10
148840,13
149408,12
149984,11
150568,14
151136,16
151720,10
152292,10
152872,10
153444,10
154024,11
154592,11
155168,11
155752,11
156324,11
156904,10
157472,11
158056,10
158628,11
159204,11
159784,11
160356,11
160936,11
161504,12
162088,14
162656,12
163232,14
163800,15
164376,11
164960,14
165528,13
166104,9
166620,14
167200,17
167768,13
168344,10
168912,11
169480,18
170064,24
170632,18
171216,11
171784,11
172368,13
172936,10
173520,12
174096,11
174664,11
175240,11
175808,11
176392,12
176960,11
177544,12
178116,11
178688,11
179272,10
179840,10
180416,12
180984,15
181568,11
182136,10
182720,10
183288,11
183864,11
184448,11
185016,11
185592,11
186164,12
186744,9
187264,10
187840,10
188408,10
188984,11
189568,17
190136,19
190720,17
191288,14
191872,11
192444,10
193016,10
193600,11
194168,10
194744,13
195312,13
195896,12
196464,12
197048,12
197616,11
198192,10
198776,10
199344,11
199928,10
200500,11
201080,10
201648,10
202224,11
202808,14
203376,11
203960,10
204532,10
205112,11
205680,11
206256,10
206824,9
207340,10
207920,10
208488,11
209072,14
209640,17
210216,18
210784,18
211368,13
211936,10
212504,11
213088,12
213656,11
214240,11
214808,11
215392,9
215908,9
216436,10
217008,10
217584,11
218168,12
218736,13
219320,12
219888,14
220472,15
221040,15
221624,10
222192,11
222772,13
223352,11
223924,11
224504,13
225072,15
225656,17
226224,17
226800,17
227384,14
227952,12
228536,11
229104,10
229688,13
230260,16
230840,14
231408,11
231984,11
232568,11
233136,11
233720,9
234240,12
234816,17
235388,16
235968,13
236540,10
237116,10
237696,10
238268,11
238848,10
239420,10
240000,9
240516,10
241096,9
241616,10
