tempo_arduino_micro_s,valor_ADC
500,10
1004,10
1504,12
2000,11
2508,12
3000,15
3508,16
4000,16
4508,18
5000,16
5500,17
6000,16
6500,16
7004,11
7500,12
8000,15
8500,21
9000,20
9500,20
10000,21
10516,22
11036,23
11564,20
12084,19
12612,19
13132,18
13660,18
14180,18
14708,18
15228,14
15756,10
16276,11
16796,13
17316,11
17836,10
18356,10
18876,13
19396,15
19916,22
20436,25
20956,24
21476,18
21996,20
22516,20
23036,17
23564,12
24084,12
24612,13
25132,16
25660,19
26180,19
26708,21
27228,21
27756,18
28276,19
28804,21
29324,21
29852,18
30372,20
30900,20
31420,20
31948,16
32472,13
32996,12
33516,11
34044,11
34564,11
35092,10
35612,27
36140,29
36660,25
37188,22
37708,20
38236,17
38760,17
39284,16
39804,17
40332,10
40852,11
41372,14
41892,16
42412,20
42932,22
43452,19
43972,18
44492,15
45012,17
45532,22
46052,25
46572,23
47092,23
47612,20
48140,17
48660,12
49188,11
49708,11
50236,10
50756,10
51284,12
51804,13
52332,17
52852,17
53380,19
53900,18
54428,17
54948,16
55476,18
55996,18
56524,17
57044,10
57572,12
58096,18
58620,25
59140,28
59668,27
60188,28
60716,26
61240,19
61764,16
62284,20
62812,24
63332,25
63860,21
64384,18
64908,16
65428,10
65948,10
66468,10
66988,10
67508,11
68028,10
68548,12
69068,22
69588,23
70108,25
70628,21
71148,19
71668,17
72192,17
72716,17
73236,17
73764,10
74284,15
74812,18
75332,22
75860,20
76384,21
76908,22
77428,20
77956,17
78476,16
79004,15
79528,18
80052,17
80572,18
81100,16
81620,18
82148,15
82668,18
83196,18
83720,19
84244,18
84764,12
85292,10
85812,18
86340,28
86860,34
87388,30
87908,23
88436,20
88956,17
89484,16
90004,16
90524,12
91044,15
91564,18
92084,22
92604,23
93124,23
93644,23
94164,19
94684,13
95208,12
95724,16
96248,20
96764,18
97292,20
97812,18
98340,15
98860,11
99388,11
99908,12
100436,12
101000,10
101584,12
102156,19
102736,21
103304,22
103880,21
104456,19
105024,17
105600,18
106168,17
106744,13
107312,12
107896,13
108464,19
109040,24
109624,23
110192,26
110776,20
111344,17
111928,16
112500,20
113080,19
113648,21
114224,18
114808,18
115376,11
115960,10
116528,11
117112,11
117684,11
118256,11
118840,18
119408,22
119992,22
120564,22
121144,20
121712,16
122296,17
122864,18
123444,13
124024,14
124592,16
125176,21
125744,23
126328,23
126896,22
127472,14
128056,11
128624,13
129200,21
129768,21
130344,19
130912,17
131496,17
132064,11
132640,9
133164,11
133736,12
134312,11
134884,11
135464,13
136032,15
136616,22
137184,28
137760,27
138344,21
138912,18
139496,17
140068,16
140648,17
141216,14
141792,16
142376,17
142948,22
143528,26
144096,25
144680,20
145248,17
145824,21
146392,18
146972,18
147552,18
148120,18
148704,11
149272,11
149856,12
150424,15
151000,12
151584,10
152156,13
152736,15
153308,21
153888,25
154456,24
155040,18
155608,18
156184,18
156768,14
157340,11
157920,16
158492,19
159072,17
159644,18
160220,28
160800,27
161368,25
161944,22
162512,24
163096,18
163668,19
164248,20
164816,19
165384,13
165960,11
166528,11
167112,11
167680,11
168256,10
168824,12
169400,17
169968,22
170544,23
171120,22
171688,18
172272,17
172840,18
173424,12
173992,13
174572,13
175152,13
175724,14
176304,15
176872,18
177456,17
178024,15
178608,14
179176,21
179756,25
180336,23
180904,19
181488,17
182056,11
182640,11
183208,10
183784,11
184368,10
184936,9
185460,14
186032,20
186616,21
187184,18
187768,19
188336,17
188912,17
189496,17
190064,14
190648,10
191220,11
191800,17
192372,21
192952,21
193520,25
194096,22
194680,23
195248,22
195832,24
196404,21
196984,20
197552,16
198132,16
198712,11
199284,11
199864,13
200432,12
201016,10
201584,11
202168,17
202740,21
203316,19
203896,15
204468,18
205048,17
205616,18
206192,17
206760,13
207328,12
207904,17
208472,22
209056,22
209624,17
210200,16
210768,14
211352,12
211920,14
212496,19
213080,19
213648,18
214232,19
214804,19
215384,13
215952,15
216532,14
217112,13
217684,10
218264,11
218832,16
219416,23
219984,27
220568,21
221136,19
221712,16
222296,16
222868,17
223448,12
224020,11
224600,10
225168,14
225748,15
226328,21
226896,24
227480,17
228048,15
228632,15
229204,24
229784,22
230352,19
230932,18
231512,16
232084,10
232664,15
233232,14
233816,9
234336,9
234860,9
235384,12
235960,15
236532,24
237108,27
237688,26
238256,22
238840,20
239412,18
239992,14
240564,14
241136,17
241720,22
242288,20
