tempo_arduino_micro_s,valor_ADC
500,18
1004,15
1504,10
2000,10
2508,15
3000,37
3508,49
4000,59
4508,47
5000,30
5500,14
6000,52
6500,58
7000,60
7500,58
8000,63
8500,41
9000,14
9500,26
10000,56
10508,75
11028,52
11556,12
12076,35
12604,34
13124,13
13648,41
14172,85
14700,95
15220,84
15748,57
16268,53
16796,25
17316,27
17836,35
18356,48
18876,100
19452,143
20024,111
20608,95
21124,87
21652,86
22172,55
22700,38
23220,58
23748,73
24268,87
24796,91
25316,66
25844,21
26364,15
26892,32
27412,39
27940,30
28460,28
28988,23
29508,13
30036,10
30556,16
31084,49
31604,55
32132,49
32652,47
33180,45
33700,20
34220,15
34740,12
35260,18
35780,19
36300,27
36820,11
37340,20
37860,30
38380,32
38904,21
39420,49
39948,52
40468,48
40996,52
41516,49
42044,28
42564,62
43092,66
43612,37
44140,13
44660,22
45188,10
45708,12
46236,26
46756,12
47284,57
47804,67
48332,60
48852,49
49380,53
49900,52
50428,20
50948,25
51476,23
51996,34
52524,36
53044,56
53572,51
54092,60
54620,46
55140,26
55668,33
56188,51
56716,68
57236,65
57756,59
58276,59
58796,72
59320,87
59836,81
60360,56
60876,18
61396,27
61920,52
62436,71
62956,79
63480,74
64000,41
64520,40
65044,49
65572,46
66092,47
66620,51
67140,21
67668,17
68188,25
68716,19
69236,13
69764,32
70284,22
70812,33
71332,55
71860,45
72380,41
72908,55
73428,66
73956,69
74476,68
75004,45
75524,11
76052,29
76576,43
77100,15
77620,48
78148,84
78668,92
79196,46
79720,13
80244,16
80764,43
81292,41
81812,49
82332,47
82852,47
83372,36
83892,11
84412,34
84932,60
85452,63
85972,48
86492,35
87012,34
87536,46
88052,55
88572,43
89100,42
89620,49
90148,49
90668,47
91196,53
91720,56
92244,57
92764,57
93292,62
93812,61
94340,26
94864,17
95388,32
95908,19
96436,13
96956,24
97484,47
98004,51
98532,51
99056,52
99580,47
100100,28
100672,19
101240,37
101824,42
102392,34
102972,43
103552,42
104120,55
104696,61
105264,70
105848,57
106416,51
106984,62
107560,85
108128,108
108756,138
109376,145
110000,121
110628,107
111244,89
111820,79
112396,74
112976,16
113544,55
114120,71
114696,51
115264,47
115848,52
116416,62
117000,52
117568,27
118152,13
118720,33
119296,29
119880,12
120452,18
121032,78
121604,112
122236,70
122804,40
123376,47
123960,50
124528,48
125112,32
125684,15
126264,23
126832,58
127416,64
127988,31
128564,47
129144,120
129764,108
130392,36
130960,59
131536,87
132120,67
132688,53
133272,54
133840,92
134424,76
134992,45
135568,25
136136,19
136712,11
137296,14
137864,13
138448,17
139016,56
139592,85
140160,64
140744,48
141320,50
141888,43
142472,56
143040,51
143624,47
144192,47
144776,46
145344,39
145920,13
146504,11
147072,34
147656,53
148228,46
148808,47
149376,53
149952,57
150524,54
151100,19
151680,27
152248,57
152832,72
153404,88
153984,101
154604,83
155176,41
155752,53
156324,85
156904,87
157472,91
158056,84
158628,81
159204,80
159784,79
160356,66
160936,35
161504,22
162088,17
162656,11
163232,9
163748,34
164324,47
164904,46
165472,51
166048,50
166616,60
167200,53
167768,23
168344,11
168912,28
169480,14
170064,11
170632,36
171216,52
171784,57
172368,47
172936,50
173520,50
174096,50
174664,49
175248,59
175816,80
176400,83
176968,82
177552,44
178124,27
178696,56
179280,104
179900,103
180528,56
181096,43
181680,45
182248,47
