tempo_arduino_micro_s,valor_ADC
500,66
1004,70
1500,60
2000,44
2500,46
3000,55
3508,57
4000,59
4508,65
5000,72
5500,75
6000,82
6500,81
7004,55
7500,33
8000,19
8500,11
9000,28
9500,30
10000,18
10516,41
11036,45
11564,49
12084,50
12612,47
13132,21
13660,22
14180,23
14708,24
15228,26
15756,41
16276,49
16796,65
17316,59
17836,46
18356,26
18876,53
19396,61
19916,63
20436,59
20956,57
21476,45
21996,55
22516,76
23036,76
23564,63
24084,39
24612,25
25132,16
25660,20
26180,28
26708,15
27228,41
27756,47
28276,47
28804,47
29324,47
29852,25
30372,48
30900,52
31420,29
31948,17
32468,29
32996,38
33516,54
34044,62
34564,66
35092,46
35612,50
36140,59
36660,67
37188,62
37708,61
38236,57
38760,57
39284,67
39804,73
40332,60
40852,38
41372,27
41892,15
42412,21
42932,28
43452,18
43972,38
44492,45
45012,47
45532,48
46052,51
46572,31
47092,23
47612,19
48140,19
48660,28
49188,47
49708,47
50236,57
50760,55
51284,57
51804,47
52332,45
52852,59
53380,68
53900,73
54428,68
54948,60
55476,50
55996,49
56524,49
57044,46
57572,46
58096,38
58620,18
59140,17
59668,19
60188,35
60716,41
61240,47
61764,49
62284,49
62812,47
63332,26
63860,22
64384,16
64908,17
65428,26
65948,45
66468,53
66988,71
67508,55
68028,36
68548,37
69068,51
69588,58
70108,59
70628,57
71148,60
71672,58
72192,69
72716,75
73240,71
73764,45
74284,23
74812,11
75332,20
75860,28
76384,27
76908,38
77428,39
77956,49
78480,49
79004,48
79528,37
80052,34
80572,36
81100,32
81620,20
82148,11
82668,16
83196,38
83720,64
84244,64
84764,55
85292,44
85812,45
86340,52
86864,62
87388,64
87908,71
88436,78
88956,81
89484,82
90004,74
90524,42
91044,26
91564,18
92084,23
92604,33
93124,19
93644,45
94164,45
94684,46
95204,52
95724,50
96248,37
96764,38
97292,32
97812,24
98340,18
98860,20
99388,31
99908,51
100436,67
101004,70
101584,38
102156,52
102736,68
103304,64
103880,61
104456,56
105024,63
105600,74
106168,71
106744,60
107312,30
107896,17
108464,11
109040,25
109624,26
110192,36
110768,41
111336,48
111920,50
112492,49
113072,22
113640,27
114216,27
114792,25
115364,21
115944,29
116512,45
117096,56
117668,66
118244,40
118824,47
119392,62
119976,59
120548,60
121128,57
121696,59
122280,66
122848,66
123428,63
124008,36
124576,28
125160,13
125728,31
126312,33
126884,40
127456,42
128040,46
128608,45
129184,50
129752,15
130328,19
130896,26
131480,27
132048,26
132624,41
133200,59
133768,61
134344,57
134912,32
135496,47
136064,54
136648,57
137224,52
137792,56
138376,58
138944,71
139528,64
140096,54
140680,29
141252,29
141824,24
142408,19
142976,24
143560,42
144128,47
144712,50
145280,51
145864,48
146440,19
147008,25
147592,31
148160,30
148744,23
149312,31
149896,48
150464,54
151040,54
151624,40
152196,50
152776,70
153348,67
153928,64
154504,59
155088,44
155664,50
156236,56
156816,53
157384,34
157968,24
158540,11
159120,29
159692,30
160268,43
160848,45
161416,48
161992,46
162560,47
163144,28
163716,26
164296,16
164872,12
165440,17
166016,48
166584,63
167168,56
167736,61
168320,45
168888,43
169456,60
170032,66
170600,59
171184,52
171756,51
172336,63
172904,68
173488,55
174056,34
174636,20
175216,18
175784,41
176368,26
176936,41
177520,48
178088,49
178664,47
179248,48
179816,29
180392,33
180960,24
181544,12
182116,11
182696,10
183264,24
183840,38
184424,66
184992,51
185576,44
186148,57
186728,61
187296,59
187872,62
188456,59
189024,62
189608,59
190176,47
190760,21
191332,23
191912,12
192492,21
193064,16
193648,43
194216,49
194800,51
195368,49
195952,47
196524,26
197096,30
197680,28
198248,24
198832,28
199400,40
199984,58
200556,56
201136,52
201704,38
202280,44
202864,61
203436,59
204016,64
204588,70
205168,60
205744,67
206312,66
206896,47
207464,29
208040,25
208608,11
209184,29
209752,28
210336,41
210904,46
211480,47
212064,50
212632,51
213216,47
213784,35
214368,20
214940,10
215516,14
216096,31
216664,58
217248,62
217820,54
218400,37
218968,51
219552,61
220124,56
220700,54
221280,51
221848,58
222432,72
223004,68
223584,53
224156,38
224728,31
225312,13
225880,21
226464,18
227032,41
227616,48
228184,50
228768,49
229336,51
229916,22
230496,22
231064,29
231640,23
232212,24
232792,29
233364,54
233940,54
234520,49
235088,43
235672,44
236244,58
236824,57
237392,62
237976,56
238548,55
239124,66
239704,66
240276,50
240856,35
241424,26
242008,17
242576,40
243152,16
243736,41
244308,47
244888,48
245456,48
246040,49
246608,33
247192,26
247764,19
248336,18
248920,34
249492,42
250072,56
250644,54
251224,47
251792,43
252372,49
252952,57
253524,62
254104,56
254676,60
255256,64
255836,79
256420,82
256992,50
257560,17
258136,11
258704,23
259288,27
259856,14
260432,39
261000,48
261584,50
262160,59
262728,45
263312,23
263880,18
264464,19
265032,19
265616,27
266184,35
266764,51
267344,46
267912,37
268496,44
269064,59
269648,57
270216,64
270800,64
271376,69
271944,81
272528,92
273096,76
273680,29
274248,23
274832,17
275404,23
275976,29
276560,16
277128,41
277712,47
278284,48
278864,49
279436,28
280016,13
280592,19
281164,34
281744,32
282312,42
282896,40
283464,56
284048,54
284620,41
285196,42
285776,54
286348,59
286928,61
287504,65
288088,57
288656,55
289232,64
289808,66
290376,42
290960,30
291532,20
292112,18
292684,19
293264,25
293836,45
294412,50
294992,47
295564,50
296144,44
296716,51
297296,45
297864,38
298448,31
299024,41
299596,40
300176,48
300748,54
301328,56
301908,46
302488,49
303068,63
303644,64
304224,61
304796,56
305376,68
305956,72
306536,67
307116,37
307692,23
308272,18
308840,17
309424,19
309996,34
310576,49
311148,47
311728,56
312300,51
312876,32
313456,20
314028,11
314608,11
315180,20
315760,56
316340,61
316916,55
317496,51
318068,44
318648,43
319220,54
319800,61
320380,57
320960,55
321528,66
322104,78
322688,78
323256,71
323840,41
324408,31
324992,17
325560,22
326140,31
326720,38
327288,43
327872,49
328440,50
329024,47
329592,28
330168,29
330736,33
331312,27
331896,19
332464,30
333048,41
333616,53
334192,62
334760,45
335336,48
335920,62
336492,64
337072,61
337640,58
338224,57
338792,59
339376,53
339944,53
340520,28
341104,16
341676,11
342256,24
342828,23
343408,41
343976,49
344556,47
345136,48
345708,49
346288,21
346856,16
347440,20
348012,26
348592,26
349164,40
349736,53
350320,54
350892,58
351472,47
352044,42
352624,55
