tempo_arduino_micro_s,valor_ADC
500,107
1056,136
1556,152
2084,171
2588,149
3116,133
3620,113
4148,110
4652,103
5180,54
5640,32
6112,34
6588,50
7056,47
7528,62
8004,131
8524,202
9036,215
9556,158
10072,79
10596,25
11116,14
11644,27
12164,32
12692,26
13212,20
13732,20
14252,119
14824,129
15408,44
15924,61
16452,70
16972,70
17500,71
18020,54
18548,28
19068,17
19596,47
20116,54
20644,44
21164,45
21692,27
22212,13
22740,14
23260,44
23788,45
24308,51
24836,62
25356,77
25884,99
26404,79
26932,41
27452,15
27980,10
28500,14
29028,17
29548,47
30076,67
30596,57
31124,21
31644,66
32164,107
32736,118
33304,95
33836,75
34356,49
34884,31
35404,38
35932,52
36452,54
36980,32
37500,11
38028,24
38548,33
39076,20
39596,23
40124,45
40644,48
41172,49
41692,49
42220,47
42740,13
43268,12
43788,13
44316,10
44836,11
45364,34
45884,53
46412,80
46932,78
47460,71
47980,48
48508,50
49028,83
49556,72
50080,55
50596,51
51116,19
51640,18
52156,23
52676,41
53196,44
53716,28
54236,20
54756,13
55276,12
55796,11
56316,26
56844,43
57372,48
57892,49
58420,47
58940,48
59468,18
59988,12
60516,15
61036,45
61564,58
62084,39
62612,15
63132,49
63660,77
64184,85
64708,71
65228,39
65756,50
66276,50
66804,51
67324,48
67852,29
68372,28
68900,26
69420,32
69948,32
70468,30
70996,16
71516,20
72044,29
72564,23
73092,40
73612,45
74140,49
74660,49
75180,51
75704,41
76220,27
76740,45
77264,79
77780,112
78356,104
78936,59
79456,19
79980,141
80556,259
81136,223
81708,57
82236,108
82808,93
83340,53
83860,83
84380,77
84900,70
85420,37
85940,12
86460,36
86980,55
87500,79
88020,118
88592,129
89176,125
89748,108
90328,62
90844,49
91372,49
91892,51
92420,69
92940,92
93468,68
93988,35
94516,20
95036,26
95564,32
96088,37
96612,30
97132,22
97660,14
98180,51
98708,64
99232,66
99748,70
100272,79
100832,82
101416,66
101988,55
102568,38
103136,22
103712,21
104280,50
104856,74
105424,71
106000,51
106584,48
107152,49
107728,67
108296,80
108880,87
109448,79
110024,44
110600,12
111168,42
111752,60
112324,36
112904,16
113472,25
114048,53
114616,75
115192,94
115776,89
116348,81
116928,75
117496,39
118080,10
118648,25
119232,49
119800,45
120380,14
120960,18
121528,24
122112,33
122684,19
123264,40
123832,47
124400,54
124984,56
125552,53
126136,32
126704,18
127288,12
127856,10
128440,17
129008,40
129576,53
130152,45
130720,33
131304,21
131872,49
132448,57
133016,54
133592,54
134176,50
134744,50
135328,61
135896,95
136480,152
137100,191
137728,225
138356,176
138972,117
139600,109
140224,99
140792,49
141368,133
141988,293
142616,300
143240,271
143868,261
144496,155
145112,81
145688,91
146256,120
146892,123
147520,77
148084,47
148664,55
149232,71
149816,85
150384,63
150968,64
151548,64
152124,86
152704,80
153276,43
153856,27
154432,22
155016,10
155584,12
156160,38
156744,66
157316,77
157896,79
158468,77
159048,55
159620,34
160200,14
160776,11
161344,11
161928,43
162496,73
163072,90
163644,90
164224,77
164792,50
165360,51
165944,75
166512,78
167096,68
167664,49
168240,41
168808,27
169384,15
169952,43
170528,19
171104,54
171676,75
172256,36
172824,26
173408,46
173976,46
174556,48
175136,50
175708,41
176288,33
176856,20
177440,11
178008,23
178592,23
179160,18
179740,63
180320,59
180888,36
181472,45
182040,60
182624,57
183192,59
183772,59
184352,60
184920,67
185504,79
186076,64
186656,40
187224,19
187808,41
188376,51
188956,33
189536,30
190104,43
190688,53
191260,61
191840,67
192412,67
192984,36
193568,19
194136,56
194720,94
195288,85
195872,55
196440,15
197024,45
197596,45
198172,46
198752,48
199324,53
199904,50
200476,57
201056,100
201676,112
202300,99
202876,120
203500,121
204128,88
204700,45
205276,22
205856,17
206424,102
207052,173
207668,174
208296,118
208924,114
209540,106
210168,65
210732,35
211312,27
211880,25
212456,14
213040,27
213608,32
214192,22
214764,47
215344,67
215916,76
216496,73
217064,71
217644,77
218224,80
218792,76
219376,69
219944,67
220528,55
221096,38
221676,26
222256,26
222828,40
223408,64
223980,68
224560,50
225136,62
225720,75
226288,65
226864,47
227448,57
228016,93
228600,91
229168,70
229752,58
230324,50
230900,55
231480,48
232048,51
232632,52
233204,59
233784,54
234352,58
234936,55
235508,41
236084,27
236664,12
237236,27
237816,35
238388,37
238968,19
239548,70
240124,78
240704,56
241272,58
241856,58
242428,32
243008,12
243580,27
244160,16
244728,14
245304,10
245888,33
246456,75
247040,66
247608,30
248192,60
248760,76
249336,61
249920,52
250488,50
251072,52
251644,63
252224,61
252796,50
253376,17
253960,71
254532,75
255112,70
255684,58
256264,34
256840,50
257416,53
257984,52
258560,47
259144,36
259712,44
260296,79
260864,67
261448,47
262016,27
262592,13
263160,39
263740,41
264320,20
264888,69
265464,131
266088,175
266712,143
267340,48
267904,85
268488,66
269056,24
269640,40
270208,39
270792,23
271368,21
271936,70
272520,75
273088,63
273672,45
274240,51
274824,59
275396,49
275972,37
276552,75
277124,120
277756,147
278376,121
279004,64
279580,43
280152,27
280728,17
281296,66
281880,127
282500,99
283076,85
283656,83
284224,90
284808,66
285376,71
285960,62
286532,34
287112,11
287684,26
288256,45
288840,56
289408,74
289992,77
290564,75
291144,66
291716,65
292296,47
292872,78
293444,215
294076,323
294696,211
295324,69
295892,14
296468,15
297048,13
297616,14
298200,52
298772,67
299352,69
299924,62
300500,66
301080,92
301652,88
302232,35
302804,36
303384,45
303956,13
304536,13
305116,58
305692,54
306272,22
306844,54
307424,50
308000,50
308584,49
309152,72
309732,71
310312,22
310884,11
311464,53
312036,113
312668,113
313292,39
313860,15
314440,21
315012,46
315592,44
316164,47
316744,53
317316,87
317896,123
318532,153
319152,129
319780,47
320352,38
320936,54
321504,46
322080,16
322664,75
323232,70
323816,86
324388,111
325020,110
325648,161
326264,165
326892,98
327460,51
328040,19
328608,28
329176,34
329760,42
330328,33
330904,24
331472,42
332056,58
332628,83
333208,96
333776,96
334344,89
334928,100
335548,113
336176,97
336748,57
337328,24
337896,66
338476,151
339108,102
339728,43
340304,45
340872,48
341456,49
342032,50
342604,22
343184,22
343756,23
344336,13
344904,16
345488,24
346060,22
346632,13
347216,15
347784,32
348368,97
