tempo_arduino_micro_s,valor_ADC
500,23
1004,14
1504,12
2000,10
2508,10
3000,10
3508,9
4000,19
4504,16
5000,14
5500,35
6000,34
6500,38
7000,38
7500,40
8000,22
8500,18
9000,19
9500,13
10000,10
10508,14
11028,10
11556,16
12076,27
12604,20
13124,13
13652,42
14172,45
14700,39
15220,36
15748,37
16268,28
16796,33
17316,41
17836,37
18356,31
18876,18
19396,13
19916,14
20436,10
20956,11
21476,10
21996,32
22516,33
23036,34
23564,35
24084,34
24612,23
25132,18
25660,14
26180,10
26708,11
27228,11
27756,17
28276,25
28804,26
29324,33
29852,33
30372,35
30900,33
31420,36
31948,36
32472,39
32996,36
33516,40
34044,48
34564,48
35092,41
35612,11
36140,20
36660,23
37188,28
37708,17
38236,14
38760,38
39284,32
39804,35
40332,34
40852,35
41372,17
41892,12
42412,11
42932,10
43452,10
43972,10
44492,12
45012,18
45532,28
46052,42
46572,32
47092,36
47612,49
48140,51
48660,58
49188,54
49708,42
50236,27
50756,21
51284,17
51804,18
52332,11
52852,13
53380,11
53900,18
54428,19
54948,14
55476,39
55996,40
56524,37
57044,37
57572,34
58096,16
58620,21
59140,22
59668,20
60188,20
60716,23
61240,18
61764,18
62284,16
62812,27
63332,23
63860,34
64384,37
64908,34
65428,35
65948,36
66468,26
66988,31
67508,47
68028,53
68548,41
69068,16
69588,11
70108,11
70628,12
71148,10
71672,20
72192,35
72716,35
73236,34
73764,36
74284,36
74812,17
75332,36
75860,38
76384,23
76908,10
77428,11
77956,12
78480,16
79004,17
79528,20
80052,28
80572,35
81100,34
81620,35
82148,36
82668,45
83196,57
83720,60
84244,58
84764,42
85292,29
85812,18
86340,17
86860,17
87388,12
87908,20
88436,15
88956,29
89484,39
90008,46
90524,47
91044,42
91564,39
92084,26
92604,15
93124,10
93644,14
94164,13
94684,11
95204,20
95724,28
96248,20
96764,16
97292,47
97812,52
98340,39
98864,34
99388,41
99908,18
100436,29
101000,78
101584,80
102156,43
102736,32
103304,14
103880,24
104456,24
105024,13
105600,30
106168,33
106744,33
107312,36
107896,27
108464,22
109040,21
109624,12
110192,9
110716,13
111292,24
111872,31
112444,26
113024,27
113592,32
114172,41
114752,56
115324,55
115904,49
116472,49
117056,45
117624,43
118208,31
118776,12
119352,14
119936,30
120508,68
121088,63
121656,22
122240,39
122808,39
123388,38
123968,35
124536,27
125120,17
125688,19
126272,11
126840,14
127424,13
127996,11
128572,25
129152,22
129720,13
130296,33
130864,35
131448,41
132016,49
132584,53
133160,45
133728,25
134304,25
134876,16
135456,11
136024,16
136608,10
137176,24
137752,34
138336,30
138904,28
139488,33
140060,35
140640,36
141212,28
141784,16
142368,14
142940,14
143520,22
144088,11
144672,23
145240,36
145816,22
146384,13
146960,39
147544,45
148112,38
148696,37
149264,38
149848,25
150416,18
150992,22
151576,23
152148,12
152728,12
153300,11
153880,10
154448,21
155032,28
155604,36
156176,33
156760,46
157332,44
157912,24
158484,12
159064,17
159636,14
160212,10
160792,12
161360,20
161944,34
162512,40
163096,33
163668,33
164248,40
164816,44
165384,44
165960,43
166528,43
167112,42
167680,44
168256,34
168824,18
169408,13
169976,15
170544,47
171120,65
171688,41
172272,29
172840,38
173424,36
173996,34
174572,26
175152,11
175724,26
176304,24
176872,14
177456,19
178024,19
178608,25
179176,25
179756,18
180336,35
180904,40
181488,41
182056,43
182640,41
183208,31
183784,34
184368,41
184936,29
185512,18
186084,14
186664,13
187232,19
187816,29
188384,22
188960,32
189544,38
190112,35
190696,37
191268,22
191848,11
192420,14
192992,13
193568,12
194136,17
194720,17
195288,22
195872,21
196440,21
197024,35
197596,44
198172,46
198752,38
199324,42
199904,42
200476,52
201056,47
201624,35
202200,19
202784,16
203356,10
203936,24
204508,22
205088,15
205656,29
206232,33
206800,39
207376,37
207952,21
208520,11
209104,16
209672,19
210256,15
210824,12
211400,14
211976,29
212544,22
213128,13
213696,37
214280,33
214848,39
215432,35
216000,40
216576,33
217152,40
217724,47
218304,48
218872,28
219456,19
220024,12
220608,13
221176,17
221752,14
222336,30
222908,32
223488,33
224060,36
224640,37
225208,42
225784,27
226368,18
226936,26
227520,35
228088,25
228672,17
229240,14
229824,12
230396,40
230972,50
231552,63
232124,56
232704,41
233276,26
233856,23
234424,34
235004,35
235584,21
236152,10
236736,15
237308,32
237888,29
238460,19
239040,30
239612,35
240188,36
240768,38
241336,19
241920,10
242488,11
243072,10
243644,15
244216,11
244800,16
245368,26
245952,27
246520,15
247104,48
247672,65
248256,49
248824,36
249400,37
249984,13
250552,14
251136,12
251708,35
252288,24
252856,16
253432,16
254016,10
254588,13
255168,22
255740,32
256320,35
256896,33
257472,35
258040,26
258616,23
259192,18
259760,16
260344,19
260912,18
261496,13
262064,19
262640,23
263224,25
263792,34
264376,47
264944,45
265528,44
266100,45
266680,44
267248,46
267824,38
268408,30
268976,12
269560,11
270128,11
270712,17
271284,16
271860,24
272440,34
273008,35
273592,40
274164,35
274744,16
275316,10
275896,15
276468,34
277044,32
277624,32
278196,24
278776,27
279348,26
279928,19
280500,36
281076,40
281656,37
282224,38
282808,34
283376,33
283960,53
284532,40
285112,23
285684,10
286256,14
286840,11
287408,20
287992,20
288564,27
289144,32
289712,32
290288,36
290872,34
291444,20
292024,24
292592,19
293176,12
293748,11
