tempo_arduino_micro_s,valor_ADC
500,44
1004,44
1504,44
2000,48
2508,23
3000,14
3508,11
4000,12
4508,10
5000,10
5500,10
6000,14
6500,26
7004,26
7500,25
8000,35
8500,47
9000,51
9500,58
10000,60
10516,48
11036,24
11564,26
12084,36
12612,42
13132,27
13660,13
14180,16
14708,15
15228,24
15756,26
16276,23
16796,39
17316,47
17836,49
18356,49
18876,46
19396,12
19916,13
20436,16
20956,22
21476,21
21996,28
22516,14
23036,22
23564,30
24084,34
24612,31
25132,52
25660,67
26180,79
26708,66
27228,51
27756,39
28276,39
28804,49
29324,35
29852,19
30372,19
30900,15
31420,13
31948,22
32468,17
32996,36
33516,41
34044,44
34564,44
35092,47
35612,48
36140,36
36660,29
37188,30
37708,28
38236,24
38760,23
39284,22
39804,21
40332,13
40852,36
41372,44
41892,50
42412,55
42932,53
43452,48
43972,49
44492,57
45012,71
45532,50
46052,37
46572,27
47092,11
47612,37
48140,63
48660,55
49188,38
49708,40
50236,47
50756,46
51284,46
51804,45
52332,40
52852,25
53380,17
53900,12
54428,10
54948,11
55476,28
55996,37
56524,31
57044,29
57572,22
58096,42
58620,57
59140,58
59668,63
60188,58
60716,63
61240,63
61764,61
62284,68
62812,52
63332,23
63860,14
64384,19
64908,10
65428,10
65948,14
66468,42
66988,47
67508,54
68028,61
68548,62
69068,52
69588,45
70108,31
70628,27
71148,32
71672,44
72192,38
72716,29
73236,23
73764,33
74284,35
74812,44
75332,54
75860,61
76384,65
76908,56
77428,49
77956,52
78480,55
79004,54
79528,56
80052,29
80572,11
81100,16
81620,47
82148,51
82668,28
83196,40
83716,42
84244,45
84764,49
85292,44
85812,19
86340,12
86860,10
87388,16
87908,20
88436,20
88956,31
89484,47
90004,44
90524,34
91044,17
91564,43
92084,47
92604,57
93124,60
93644,57
94164,53
94684,63
95208,74
95724,55
96248,20
96764,16
97292,23
97812,24
98340,29
98860,23
99388,15
99908,39
100436,45
101004,47
101584,46
102156,47
102736,16
103304,20
103880,15
104456,12
105024,19
105600,33
106168,35
106744,15
107312,16
107896,32
108464,48
109040,49
109624,50
110192,60
110768,69
111336,55
111920,48
112492,47
113072,42
113640,29
114216,17
114792,13
115364,15
115944,15
116512,43
117096,44
117664,50
118240,50
118824,47
119392,12
119976,22
120548,12
121128,17
121696,11
122280,36
122848,75
123428,61
124008,43
124576,40
125152,51
125720,51
126304,49
126872,56
127448,54
128032,62
128600,71
129176,66
129744,29
130320,10
130888,11
131472,19
132040,25
132616,15
133192,42
133760,44
134344,50
134912,48
135496,48
136064,27
136648,36
137224,43
137792,27
138376,16
138944,14
139528,17
140096,32
140680,26
141252,38
141824,60
142408,62
142976,62
143560,58
144128,41
144712,28
145280,31
145864,25
146440,35
147008,20
147592,10
148160,17
148744,19
149312,15
149896,41
150464,45
151040,48
151624,49
152196,44
152776,25
153348,31
153928,29
154504,13
155080,13
155656,14
156228,35
156808,46
157376,45
157960,42
158532,55
159112,61
159684,72
160260,68
160840,55
161408,48
161984,60
162552,70
163136,51
163708,29
164288,16
164856,53
165424,56
166000,35
166568,39
167152,47
167720,47
