tempo_arduino_micro_s,valor_ADC
500,15
1004,17
1504,24
2000,22
2508,15
3000,14
3508,14
4000,12
4508,11
5000,11
5500,22
6000,28
6500,32
7000,19
7500,16
8000,27
8500,19
9000,12
9500,16
10000,18
10508,14
11028,25
11556,22
12076,13
12604,25
13124,11
13648,29
14172,45
14700,51
15220,30
15748,10
16268,17
16796,30
17316,23
17836,16
18356,14
18876,18
19396,22
19916,18
20436,16
20956,10
21476,10
21996,11
22516,13
23036,11
23564,11
24084,10
24612,10
25132,15
25660,16
26180,21
26708,25
27228,29
27756,24
28276,12
28804,13
29324,10
29852,12
30372,13
30900,17
31420,34
31948,57
32472,67
32996,78
33516,72
34044,47
34564,30
35092,18
35612,14
36140,12
36660,18
37188,14
37708,12
38236,32
38760,37
39284,22
39804,25
40332,27
40852,16
41372,10
41892,12
42412,18
42932,29
43452,23
43972,17
44492,12
45012,13
45532,16
46052,16
46572,12
47092,21
47612,30
48140,25
48660,29
49188,36
49708,47
50236,45
50756,37
51284,35
51804,26
52332,15
52852,11
53380,20
53900,18
54428,10
54948,24
55476,35
55996,36
56524,35
57044,48
57572,69
58096,41
58620,14
59140,13
59668,18
60188,14
60716,18
61240,28
61764,31
62284,25
62812,18
63332,14
63860,15
64384,14
64908,16
65428,20
65948,32
66468,45
66988,33
67508,23
68028,25
68548,27
69068,31
69588,25
70108,9
70572,18
71100,28
71620,32
72144,30
72660,30
73180,39
73704,34
74220,25
74744,20
75260,16
75788,14
76312,13
76836,13
77356,14
77884,11
78404,10
78932,11
79452,12
79980,11
80504,10
81028,28
81548,48
82076,46
82596,47
83124,56
83644,66
84172,51
84692,33
85220,22
85740,22
86268,22
86788,11
87316,22
87836,55
88364,75
88884,76
89412,54
89936,29
90460,14
90980,19
91508,16
92032,17
92556,19
93076,28
93596,27
94116,21
94636,21
95160,19
95680,21
96196,17
96716,10
97236,10
97756,15
98276,33
98796,37
99320,34
99836,44
100364,34
100928,22
101512,17
102084,14
102664,15
103232,20
103808,15
104376,31
104944,51
105520,37
106088,22
106672,11
107240,15
107816,16
108384,13
108968,14
109536,13
110104,14
110688,14
111256,11
111840,12
112408,15
112992,12
113560,11
114128,11
114712,12
115280,22
115864,30
116432,25
117016,29
117584,37
118168,53
118736,46
119312,21
119896,27
120468,35
121048,29
121616,21
122200,9
122720,17
123296,28
123864,27
124440,27
125024,15
125592,15
126176,21
126744,17
127328,34
127900,18
128476,12
129056,21
129624,12
130200,11
130768,12
131344,12
131912,14
132496,32
133064,49
133640,43
134224,37
134792,24
135376,18
135944,38
136528,33
137096,23
137680,13
138256,32
138824,39
139408,36
139976,22
140560,48
141128,71
141712,46
142280,31
142856,14
143440,17
144008,14
144592,17
145160,51
145744,48
146312,40
146896,48
147472,62
148040,57
148624,46
149192,44
149776,39
150344,30
150928,26
151500,17
152076,14
152656,15
153228,10
153808,13
154376,30
154960,43
155528,38
156112,25
156688,20
157260,14
157840,11
158412,16
158992,21
159564,27
160144,17
160712,15
161280,16
161864,11
162432,19
163016,28
163588,15
164168,31
164736,15
165312,77
165880,93
166456,76
167040,51
167608,37
168184,26
168752,15
169328,26
169896,27
170464,31
171040,25
171608,13
172192,10
172760,10
173344,10
173912,13
174496,17
175064,20
175632,23
176216,26
176784,27
177368,17
177936,10
178520,14
179088,22
179668,31
180248,14
180816,26
181400,44
181968,47
182552,50
183120,71
183704,57
184276,45
184852,39
185432,26
186004,22
186584,13
187152,10
187736,19
188304,28
188880,36
189464,42
190032,42
190616,30
191188,25
191768,24
192340,22
192920,16
193488,14
194064,16
194648,27
195216,32
195800,25
196368,19
196952,21
197524,26
198096,23
198680,27
199248,16
199832,21
200404,34
200984,25
201552,18
202136,43
202708,19
203284,13
203864,22
204436,17
205016,15
205584,9
206108,10
206680,15
207256,37
207824,47
208400,26
208984,13
209552,20
210128,19
210696,19
211272,19
211840,22
212424,23
213000,11
213568,14
214152,14
214724,11
215304,17
215872,36
216456,35
217024,43
217600,30
218184,23
218752,29
219328,16
219896,10
220480,12
221048,26
221632,32
222200,26
222780,19
223360,10
223928,12
224512,16
225080,32
225664,36
226232,33
226812,15
227392,19
227960,35
228544,50
229112,36
229696,23
230268,19
230848,23
231416,30
231996,34
232576,32
233148,40
233728,36
234296,20
234880,14
235448,14
236028,15
236608,19
237180,11
237760,11
238328,18
238912,23
239484,24
240064,23
240632,26
241212,32
241792,27
242364,17
242944,24
243516,16
244096,14
244664,10
245244,10
245824,11
246392,14
246976,20
247544,12
248128,37
248696,59
249280,57
249848,27
250424,14
251008,24
251580,44
252160,53
252728,47
253312,25
253884,10
254460,16
255040,19
255612,26
256192,29
256764,19
257344,18
257912,21
258488,28
259056,31
259632,34
260216,34
260784,27
261368,12
261936,13
262520,13
263088,12
263664,11
264248,16
264816,38
265400,86
265968,104
266604,64
267172,29
267748,18
268328,14
268896,15
269480,18
270048,14
270624,9
271144,28
271720,47
272288,42
272864,34
273448,26
274016,29
274600,33
275168,16
275752,37
276324,35
276904,26
277472,23
278052,25
278632,33
279204,27
279784,11
280356,24
280936,13
281508,22
282084,44
282664,59
283232,56
283816,41
284388,30
284968,20
285536,14
286120,12
286692,13
287268,19
287848,30
288420,35
289000,39
289568,43
290152,55
290724,79
291300,65
291880,18
292448,27
293032,15
293604,33
294184,39
294756,24
295336,25
295908,51
296484,32
297064,12
297632,27
298216,43
298788,63
299368,72
299948,63
300524,59
301104,64
301676,45
302256,30
302828,34
303408,12
303980,40
304560,37
305140,18
305716,12
306296,12
306868,13
307448,10
308024,13
308608,21
309176,32
309756,37
310336,27
310908,14
311488,15
312060,51
312640,39
313212,16
313792,32
314364,34
314940,24
315520,14
316092,11
316672,23
317244,47
317824,77
318404,70
318980,54
319560,35
320132,25
320712,17
321280,13
321864,27
322432,34
323016,26
323592,27
324164,27
324744,25
325316,23
325896,18
326468,16
327048,14
327616,16
328196,10
328776,12
329344,15
329928,12
330496,11
331080,17
331648,29
332232,28
332808,22
333376,13
333952,17
334520,15
335104,19
335672,28
336256,27
336824,22
337400,19
337984,10
338552,16
339136,35
339708,50
340288,46
340856,41
341440,39
342008,29
342584,17
343168,31
343740,33
344320,24
344888,10
345472,10
346044,11
346616,26
347200,35
347768,17
348352,11
348920,17
349504,27
350072,27
350656,32
351228,34
351804,17
352384,14
352952,28
353536,29
354108,10
354688,27
355260,24
355832,14
356416,10
356988,10
357568,10
358140,12
358720,15
359288,13
359872,17
360444,26
361016,22
361600,11
362168,11
362744,13
363316,11
363896,33
364468,42
365044,38
365624,43
366192,46
366776,46
367348,33
367928,20
368508,15
369088,14
369656,10
370232,12
370816,22
371388,31
371968,28
372540,37
373120,38
373688,30
374268,21
374848,13
375420,14
376000,18
376568,19
377152,14
377724,12
378304,11
378876,12
379452,19
380032,25
380604,34
381184,23
381756,11
382336,10
382908,22
383484,38
384064,41
384636,35
385216,30
385788,16
386368,11
386940,11
387520,11
388092,10
388664,14
389248,33
389816,48
390400,49
390968,41
391552,39
392124,40
392696,42
393280,31
393852,18
394432,40
395004,65
395584,65
396164,50
396744,29
397320,28
397892,30
398472,25
399044,31
399624,35
400204,34
400784,29
401356,27
401932,23
402512,14
403084,12
403664,20
404236,19
404816,15
405384,18
405968,29
406544,48
407116,62
407696,29
408268,15
408848,29
409420,26
410000,21
410576,23
411144,11
411720,23
412288,27
412872,11
413440,15
414016,12
414584,19
415168,35
415740,45
416316,42
416896,32
417464,15
418048,13
418616,14
419200,17
419768,19
420336,10
420920,13
421488,16
422072,19
422644,15
423224,9
423740,10
424320,16
424888,23
425464,19
426048,15
426616,15
427200,18
427768,23
428352,26
428924,16
429504,10
430076,11
430652,12
431232,19
431804,33
432384,48
432952,54
433536,46
434108,31
434684,19
435264,15
435832,14
436416,11
436988,16
437568,19
438140,23
438720,32
439288,27
439864,24
440448,24
441016,22
441600,25
442168,33
442744,30
443316,35
443892,34
444472,26
445044,13
445624,14
446192,14
446776,11
447348,51
447928,75
448508,85
449084,83
449664,72
450236,46
450816,20
