tempo_arduino_micro_s,valor_ADC
500,21
1004,21
1504,14
2000,11
2508,10
3000,10
3508,10
4000,12
4508,9
5000,12
5500,12
6000,17
6500,26
7004,26
7500,30
8000,39
8500,25
9000,17
9500,13
10000,10
10516,10
11036,11
11564,12
12084,10
12612,13
13132,22
13660,30
14180,31
14708,31
15228,30
15756,30
16276,21
16796,21
17316,17
17836,14
18356,13
18876,12
19396,38
19916,36
20436,11
20956,28
21476,50
21996,43
22516,19
23036,21
23564,27
24084,21
24612,14
25132,14
25660,15
26180,20
26708,18
27228,10
27756,13
28276,17
28804,30
29324,21
29852,21
30372,55
30900,62
31420,37
31948,13
32468,14
32996,13
33516,16
34044,17
34564,14
35092,12
35612,14
36140,15
36660,22
37188,21
37708,23
38236,23
38760,21
39284,19
39804,18
40332,18
40852,18
41372,14
41892,18
42412,17
42932,22
43452,31
43972,20
44492,16
45012,12
45532,21
46052,21
46572,17
47092,12
47612,12
48140,25
48660,42
49188,46
49708,33
50236,27
50760,20
51284,15
51804,16
52332,13
52852,20
53380,39
53900,39
54428,37
54948,39
55476,42
55996,45
56524,37
57044,23
57572,12
58096,14
58620,14
59140,15
59668,14
60188,12
60716,10
61240,10
61764,28
62284,31
62812,36
63332,33
63860,25
64384,22
64908,25
65428,34
65948,41
66468,34
66988,17
67508,23
68028,55
68548,70
69068,62
69588,42
70108,23
70628,10
71148,11
71668,12
72192,14
72716,19
73236,40
73764,59
74284,45
74812,28
75332,15
75860,14
76380,16
76908,12
77428,18
77956,24
78476,17
79004,12
79528,20
80052,21
80572,14
81100,10
81620,11
82148,16
82668,30
83196,48
83716,49
84244,43
84764,33
85292,14
85812,16
86340,25
86860,33
87388,44
87908,42
88436,35
88956,30
89484,19
90004,17
90524,22
91044,17
91564,14
92084,19
92604,44
93124,48
93644,34
94164,13
94684,22
95204,33
95724,28
96248,22
96764,20
97292,28
97812,32
98340,25
98860,20
99388,18
99908,30
100436,41
101004,17
101584,50
102156,53
102736,38
103304,20
103880,13
104456,18
105024,27
105600,30
106168,33
106744,38
107312,31
107896,29
108464,30
109040,24
109624,17
110192,16
110768,32
111336,35
111920,23
112492,44
113072,95
113640,59
114216,19
114800,20
115368,27
115952,13
116520,25
117104,34
117676,19
118252,16
118832,19
119400,11
119984,19
120556,35
121136,44
121704,73
122288,76
122856,72
123436,56
124016,35
124584,26
125168,21
125736,15
126320,13
126888,16
127464,19
128048,22
128616,13
129192,13
129760,27
130344,36
130912,40
131496,57
132064,49
132640,27
133216,14
133784,18
134360,19
134928,11
135512,15
136084,15
136656,31
137232,39
137800,42
138384,46
138952,46
139536,45
140104,46
140688,31
141260,21
141832,15
142416,19
142984,15
143568,9
144084,12
144664,14
145232,11
145808,12
146376,18
146956,23
147536,28
148104,26
148688,25
149256,19
149840,16
150408,16
150992,15
151568,10
152140,13
152720,13
153292,10
153872,9
154388,11
154968,29
155536,43
156112,48
156696,45
157268,27
157848,17
158416,19
159000,17
159572,14
160152,18
160720,13
161296,11
161872,14
162440,13
163024,33
163596,45
164176,30
164744,23
165320,26
165896,17
166464,18
167048,20
167616,17
168192,14
168760,13
169336,39
169904,49
170480,34
171064,13
171632,11
172216,20
172784,28
173368,34
173936,44
174520,52
175088,43
175664,48
176248,46
176816,27
177400,13
177968,12
178552,18
179124,27
179700,39
180280,42
180848,46
181432,51
182004,53
182584,23
183152,14
183736,19
184308,17
184884,11
185464,13
186032,11
186616,10
187184,11
187768,19
188336,40
188912,47
189496,45
190064,47
190648,30
191220,18
191800,20
192372,15
192952,41
193520,57
194096,33
194680,11
195248,25
195832,30
196404,39
196984,44
197552,48
198132,30
198712,18
199284,11
199864,16
200432,19
201016,14
201584,12
202168,17
202740,21
203316,14
203896,10
204468,11
205048,11
205616,24
206192,30
206760,49
207336,60
207912,59
208484,31
209064,16
209632,12
210208,25
210776,24
211360,11
211928,12
212496,16
213080,30
213648,22
214232,19
214804,19
215384,25
215952,16
216532,21
217112,15
217684,17
218264,14
218832,13
219408,11
219976,15
220560,13
221128,11
221704,32
222288,45
222856,55
223440,55
224012,42
224592,52
225164,47
225744,37
226320,20
226888,11
227472,24
228040,30
228624,20
229196,25
229776,28
230348,27
230924,30
231504,29
232076,38
232656,41
233224,32
233808,19
234376,19
234960,18
235536,14
236104,16
236688,18
237260,18
237840,13
238412,19
238992,25
239564,28
240140,47
240720,60
241288,51
241872,28
242444,34
243024,24
243596,25
244176,16
244752,11
245324,16
245904,12
246472,18
247056,31
247624,24
248208,17
248776,22
249352,25
249936,29
250504,30
251088,17
251656,14
252240,25
252808,14
253392,21
253968,35
254540,40
255120,38
255692,14
256272,12
256848,25
257424,33
257992,24
258568,17
259152,20
259720,25
260304,24
260872,31
261456,23
262024,13
262608,14
263184,16
263752,24
264336,40
264904,31
265488,28
266056,17
266640,15
267208,26
267784,37
268360,43
268928,21
269512,13
270080,30
270664,40
271232,43
271816,53
272392,53
272960,41
273544,30
274116,26
274696,19
275268,21
275848,23
276416,17
276996,15
277576,34
278148,33
278728,25
279296,25
279880,31
280452,29
281032,27
281608,30
282176,29
282752,17
283324,15
283904,13
284476,20
285056,25
285628,29
286200,21
286784,16
287352,19
287936,18
288508,27
289088,39
289656,38
290240,20
290808,11
291384,24
291968,51
292540,54
293120,33
293692,12
294272,23
294844,25
295416,27
296000,31
296568,30
297152,31
297724,37
298304,37
298876,38
299456,42
300040,43
300612,27
301192,24
301764,14
302344,11
302916,13
303496,56
304068,70
304644,51
305224,61
305796,81
306376,77
306948,52
307528,32
308104,20
308688,16
309264,21
309832,13
310416,14
310984,39
311568,32
312140,12
312720,12
313292,21
313868,35
314448,35
315020,18
315600,23
316172,40
316752,51
317324,51
317904,21
318488,25
319060,54
319640,46
320212,38
320792,30
321360,24
321944,20
322512,30
323092,50
323672,51
324244,51
324824,44
325392,40
325976,23
326548,11
327120,14
327704,26
328272,37
328848,53
329416,43
330000,20
330568,16
331152,13
331724,14
332296,18
332880,19
333448,17
334024,18
334592,13
335176,17
335748,17
336328,11
336904,11
337472,15
338056,25
338624,26
339208,25
339776,23
340352,20
340920,23
341496,22
342080,16
342648,16
343232,18
343800,23
344384,16
344952,11
345536,17
346108,23
346680,28
347264,32
347836,35
348416,37
348992,35
349576,29
350148,17
350724,14
351304,12
351876,16
352456,27
353028,12
353608,28
354176,47
354760,77
355336,83
355908,55
356488,34
357056,35
357640,43
358212,40
358792,40
359368,17
359944,19
360528,15
361096,23
361680,29
362248,23
362832,25
363404,27
363984,23
364560,21
365132,47
365712,62
366284,40
366864,15
367436,15
368016,31
368584,38
369164,40
369744,41
370312,23
370896,9
371416,12
371992,12
372564,27
373144,38
373716,43
374292,42
374872,28
375444,19
376024,23
376592,23
377176,14
377748,14
378324,27
378904,23
379472,40
380056,57
380628,48
381208,25
381780,14
382360,15
382932,15
383508,23
384092,25
384660,10
385240,12
385808,34
386392,52
386964,56
387540,47
388120,38
388692,35
389272,49
389840,49
390424,28
390992,15
391576,13
392148,16
392720,16
393304,10
393876,26
394456,41
395028,51
395608,41
396188,32
396764,26
397344,21
397916,30
398496,30
399068,18
399648,14
400220,22
400800,19
401368,13
401944,11
402528,17
403100,26
403680,20
404256,31
404840,45
405408,48
405988,48
406568,38
407140,16
407720,13
408292,26
408872,32
409444,24
410024,12
410600,17
411168,36
411744,29
412312,25
412896,22
413464,17
414040,16
414608,20
415184,35
415768,42
416336,32
416920,16
417488,21
418064,12
418632,14
