tempo_arduino_micro_s,valor_ADC,tempo_arduino_s
500,24,0.0005
1004,19,0.001004
1504,14,0.001504
2000,14,0.002
2508,11,0.002508
3000,10,0.003
3508,9,0.003508
4000,10,0.004
4504,17,0.004504
5000,35,0.005
5500,40,0.0055
6000,45,0.006
6500,44,0.0065
7004,41,0.007004
7500,20,0.0075
8000,21,0.008
8500,36,0.0085
9000,38,0.009
9500,27,0.0095
10000,16,0.01
10516,14,0.010516
11036,11,0.011036
11564,13,0.011564
12084,12,0.012084
12612,13,0.012612
13132,10,0.013132
13660,10,0.01366
14180,11,0.01418
14708,12,0.014708
15228,12,0.015228
15756,17,0.015756
16276,25,0.016276
16796,28,0.016796
17316,19,0.017316
17836,16,0.017836
18356,17,0.018356
18876,15,0.018876
19396,11,0.019396
19916,11,0.019916
20436,12,0.020436
20956,12,0.020956
21476,14,0.021476
21996,10,0.021996
22516,10,0.022516
23036,17,0.023036
23564,23,0.023564
24084,21,0.024084
24612,19,0.024612
25132,15,0.025132
25660,17,0.02566
26180,19,0.02618
26708,23,0.026708
27228,28,0.027228
27756,12,0.027756
28276,34,0.028276
28804,36,0.028804
29324,36,0.029324
29852,33,0.029852
30372,20,0.030372
30900,13,0.0309
31420,10,0.03142
31948,15,0.031948
32468,25,0.032468
32996,29,0.032996
33516,23,0.033516
34044,17,0.034044
34564,14,0.034564
35092,16,0.035092
35612,14,0.035612
36140,11,0.03614
36660,15,0.03666
37188,14,0.037188
37708,10,0.037708
38236,20,0.038236
38760,21,0.03876
39284,12,0.039284
39804,11,0.039804
40332,10,0.040332
40852,12,0.040852
41372,13,0.041372
41892,14,0.041892
42412,15,0.042412
42932,16,0.042932
43452,22,0.043452
43972,19,0.043972
44492,19,0.044492
45012,15,0.045012
45532,11,0.045532
46052,19,0.046052
46572,22,0.046572
47092,23,0.047092
47612,24,0.047612
48140,29,0.04814
48660,33,0.04866
49188,33,0.049188
49708,30,0.049708
50236,21,0.050236
50756,16,0.050756
51284,15,0.051284
51804,14,0.051804
52332,12,0.052332
52852,13,0.052852
53380,22,0.05338
53900,33,0.0539
54428,32,0.054428
54948,15,0.054948
55476,23,0.055476
55996,30,0.055996
56524,24,0.056524
57044,17,0.057044
57572,17,0.057572
58096,14,0.058096
58620,19,0.05862
59140,19,0.05914
59668,17,0.059668
60188,13,0.060188
60716,13,0.060716
61240,12,0.06124
61764,14,0.061764
62284,13,0.062284
62812,10,0.062812
63332,21,0.063332
63860,28,0.06386
64384,17,0.064384
64908,21,0.064908
65428,38,0.065428
65948,43,0.065948
66468,36,0.066468
66988,27,0.066988
67508,23,0.067508
68028,28,0.068028
68548,25,0.068548
69068,15,0.069068
69588,10,0.069588
70108,10,0.070108
70628,13,0.070628
71148,19,0.071148
71668,17,0.071668
72192,13,0.072192
72716,9,0.072716
73180,12,0.07318
73708,11,0.073708
74228,16,0.074228
74752,22,0.074752
75280,21,0.07528
75804,27,0.075804
76328,27,0.076328
76852,15,0.076852
77372,13,0.077372
77900,14,0.0779
78420,13,0.07842
78948,10,0.078948
79472,10,0.079472
79996,19,0.079996
80520,25,0.08052
81044,25,0.081044
81564,19,0.081564
82092,13,0.082092
82612,17,0.082612
83140,20,0.08314
83660,13,0.08366
84188,16,0.084188
84708,14,0.084708
85236,16,0.085236
85756,18,0.085756
86284,11,0.086284
86804,19,0.086804
87332,23,0.087332
87852,21,0.087852
88380,23,0.08838
88900,13,0.0889
89428,18,0.089428
89948,33,0.089948
90476,37,0.090476
90996,42,0.090996
91524,25,0.091524
92044,15,0.092044
92572,25,0.092572
93092,37,0.093092
93612,31,0.093612
94132,37,0.094132
94652,40,0.094652
95172,32,0.095172
95696,11,0.095696
96212,23,0.096212
96732,32,0.096732
97252,27,0.097252
97776,15,0.097776
98292,10,0.098292
98812,20,0.098812
99340,40,0.09934
99860,32,0.09986
100388,17,0.100388
100952,15,0.100952
101536,21,0.101536
102108,23,0.102108
102688,16,0.102688
103256,17,0.103256
103832,13,0.103832
104400,11,0.1044
104976,21,0.104976
105552,16,0.105552
106120,12,0.10612
106704,14,0.106704
107272,11,0.107272
107856,16,0.107856
108424,16,0.108424
109008,14,0.109008
109584,15,0.109584
110152,18,0.110152
110736,18,0.110736
111304,11,0.111304
111888,16,0.111888
112460,24,0.11246
113040,17,0.11304
113608,12,0.113608
114184,21,0.114184
114760,30,0.11476
115328,20,0.115328
115912,18,0.115912
116480,22,0.11648
117064,25,0.117064
117632,19,0.117632
118216,15,0.118216
118792,22,0.118792
119360,19,0.11936
119944,11,0.119944
120516,11,0.120516
121096,9,0.121096
121616,15,0.121616
122192,15,0.122192
122764,10,0.122764
123344,9,0.123344
123860,10,0.12386
124432,19,0.124432
125016,35,0.125016
125584,45,0.125584
126168,51,0.126168
126736,40,0.126736
127320,13,0.12732
127892,21,0.127892
128468,32,0.128468
129048,30,0.129048
129616,20,0.129616
130192,10,0.130192
130760,27,0.13076
131336,19,0.131336
131904,29,0.131904
132488,44,0.132488
133056,51,0.133056
133624,65,0.133624
134208,53,0.134208
134776,35,0.134776
135360,22,0.13536
135928,19,0.135928
136512,15,0.136512
137080,15,0.13708
137664,32,0.137664
138232,32,0.138232
138812,24,0.138812
139392,22,0.139392
139960,28,0.13996
140544,21,0.140544
141116,21,0.141116
141696,15,0.141696
142264,28,0.142264
142840,40,0.14284
143424,32,0.143424
143992,31,0.143992
144576,27,0.144576
145144,23,0.145144
145728,16,0.145728
146296,10,0.146296
146880,11,0.14688
147448,15,0.147448
148024,25,0.148024
148608,25,0.148608
149176,16,0.149176
149760,16,0.14976
150328,18,0.150328
150912,19,0.150912
151484,18,0.151484
152060,14,0.15206
152640,13,0.15264
153208,17,0.153208
153792,16,0.153792
154360,10,0.15436
154944,9,0.154944
155460,11,0.15546
156040,13,0.15604
156608,16,0.156608
157188,10,0.157188
157768,11,0.157768
158336,15,0.158336
158920,15,0.15892
159488,14,0.159488
160072,16,0.160072
160640,15,0.16064
161216,16,0.161216
161784,20,0.161784
162360,22,0.16236
162944,26,0.162944
163512,17,0.163512
164096,10,0.164096
164664,19,0.164664
165240,31,0.16524
165808,29,0.165808
166376,29,0.166376
166952,46,0.166952
167520,57,0.16752
168096,52,0.168096
168664,41,0.168664
169240,23,0.16924
169808,9,0.169808
170332,19,0.170332
170904,24,0.170904
171480,24,0.17148
172064,26,0.172064
172632,24,0.172632
173216,27,0.173216
173784,36,0.173784
174368,31,0.174368
174936,25,0.174936
175520,27,0.17552
176088,22,0.176088
176664,15,0.176664
177240,27,0.17724
177808,34,0.177808
178392,46,0.178392
178964,33,0.178964
179544,17,0.179544
180112,15,0.180112
180688,26,0.180688
181264,46,0.181264
181832,46,0.181832
182416,29,0.182416
182984,16,0.182984
183568,15,0.183568
184136,20,0.184136
184720,21,0.18472
185288,15,0.185288
185864,17,0.185864
186448,13,0.186448
187016,10,0.187016
187600,10,0.1876
188168,10,0.188168
188752,21,0.188752
189324,23,0.189324
189904,21,0.189904
190480,20,0.19048
191048,18,0.191048
191632,21,0.191632
192204,18,0.192204
192784,25,0.192784
193352,23,0.193352
193936,12,0.193936
194504,16,0.194504
195080,11,0.19508
195664,11,0.195664
196232,11,0.196232
196816,16,0.196816
197384,32,0.197384
197968,44,0.197968
198540,58,0.19854
199120,60,0.19912
199696,51,0.199696
200264,30,0.200264
200848,17,0.200848
201416,15,0.201416
202000,15,0.202
202568,15,0.202568
203152,11,0.203152
203724,17,0.203724
204300,26,0.2043
204880,24,0.20488
205448,20,0.205448
206024,21,0.206024
206592,28,0.206592
207168,32,0.207168
207736,27,0.207736
208320,21,0.20832
208888,14,0.208888
209456,15,0.209456
210032,19,0.210032
210600,21,0.2106
211176,17,0.211176
211748,11,0.211748
212328,11,0.212328
212896,11,0.212896
213472,16,0.213472
214048,26,0.214048
214616,33,0.214616
215200,46,0.2152
215768,50,0.215768
216352,34,0.216352
216920,25,0.21692
217504,19,0.217504
218076,23,0.218076
218648,19,0.218648
219232,13,0.219232
219800,10,0.2198
220384,15,0.220384
220952,24,0.220952
221536,37,0.221536
222108,46,0.222108
222680,33,0.22268
223264,18,0.223264
223836,14,0.223836
224416,12,0.224416
224984,23,0.224984
225568,23,0.225568
226136,16,0.226136
226720,16,0.22672
227288,14,0.227288
227864,15,0.227864
228448,15,0.228448
229016,11,0.229016
229600,18,0.2296
230168,10,0.230168
230752,13,0.230752
231320,14,0.23132
231896,26,0.231896
232480,37,0.23248
233048,41,0.233048
233632,35,0.233632
234200,19,0.2342
234784,14,0.234784
235356,15,0.235356
235936,11,0.235936
236508,14,0.236508
237084,12,0.237084
237664,12,0.237664
238236,10,0.238236
238816,23,0.238816
239384,32,0.239384
239968,20,0.239968
240540,11,0.24054
241116,17,0.241116
241696,14,0.241696
242264,15,0.242264
242848,16,0.242848
243420,17,0.24342
244000,15,0.244
244568,14,0.244568
245152,12,0.245152
245724,10,0.245724
246300,10,0.2463
246880,11,0.24688
247448,16,0.247448
248032,42,0.248032
248600,43,0.2486
249184,23,0.249184
249752,15,0.249752
250328,14,0.250328
250912,14,0.250912
251480,18,0.25148
252064,24,0.252064
252636,29,0.252636
253216,17,0.253216
253788,10,0.253788
254368,13,0.254368
254940,11,0.25494
255516,11,0.255516
256096,17,0.256096
256668,20,0.256668
257248,24,0.257248
257816,19,0.257816
258392,17,0.258392
258960,20,0.25896
259536,26,0.259536
260112,26,0.260112
260680,23,0.26068
261264,18,0.261264
261832,15,0.261832
262416,12,0.262416
262984,15,0.262984
263560,28,0.26356
264132,44,0.264132
264704,65,0.264704
265288,63,0.265288
265856,53,0.265856
266440,40,0.26644
267008,29,0.267008
267584,25,0.267584
268152,22,0.268152
268736,17,0.268736
269308,41,0.269308
269880,43,0.26988
270464,47,0.270464
271032,30,0.271032
271616,24,0.271616
272192,18,0.272192
272776,11,0.272776
273344,17,0.273344
273920,19,0.27392
274504,18,0.274504
275076,15,0.275076
275656,15,0.275656
276224,18,0.276224
276808,17,0.276808
277376,11,0.277376
277960,10,0.27796
278536,11,0.278536
279108,16,0.279108
279688,27,0.279688
280260,31,0.28026
280840,27,0.28084
281408,32,0.281408
281992,37,0.281992
282564,48,0.282564
283136,62,0.283136
283720,53,0.28372
284292,42,0.284292
284872,31,0.284872
285440,18,0.28544
286024,10,0.286024
286596,14,0.286596
287176,25,0.287176
287752,28,0.287752
288324,26,0.288324
288904,22,0.288904
289472,19,0.289472
290048,18,0.290048
290616,19,0.290616
291200,17,0.2912
291768,14,0.291768
292348,17,0.292348
292928,18,0.292928
293496,15,0.293496
294080,11,0.29408
294652,12,0.294652
295232,12,0.295232
295804,11,0.295804
296384,13,0.296384
296956,23,0.296956
297532,24,0.297532
298112,25,0.298112
298684,30,0.298684
299264,29,0.299264
299836,22,0.299836
300416,15,0.300416
300988,15,0.300988
301564,22,0.301564
302144,16,0.302144
302716,12,0.302716
303296,13,0.303296
303868,20,0.303868
304448,24,0.304448
305028,21,0.305028
305608,15,0.305608
306184,15,0.306184
306756,15,0.306756
307336,15,0.307336
307908,14,0.307908
308488,17,0.308488
309056,23,0.309056
309640,19,0.30964
310208,15,0.310208
310788,11,0.310788
311368,25,0.311368
311940,30,0.31194
312520,24,0.31252
313092,12,0.313092
313672,9,0.313672
314192,11,0.314192
314768,11,0.314768
315340,11,0.31534
315916,15,0.315916
316496,17,0.316496
317068,24,0.317068
317648,30,0.317648
318228,44,0.318228
318808,51,0.318808
319388,22,0.319388
319964,11,0.319964
320548,17,0.320548
321116,33,0.321116
321696,40,0.321696
322264,34,0.322264
322848,16,0.322848
323416,13,0.323416
324000,10,0.324
324568,13,0.324568
325144,13,0.325144
325728,14,0.325728
326300,15,0.3263
326880,22,0.32688
327456,27,0.327456
328040,23,0.32804
328608,23,0.328608
329176,18,0.329176
329760,11,0.32976
330328,20,0.330328
330904,27,0.330904
331472,22,0.331472
332056,15,0.332056
332624,34,0.332624
333208,35,0.333208
333776,30,0.333776
334344,42,0.334344
334928,42,0.334928
335496,30,0.335496
336080,16,0.33608
336648,14,0.336648
337224,28,0.337224
337792,27,0.337792
338376,18,0.338376
338952,20,0.338952
339520,27,0.33952
340104,33,0.340104
340672,35,0.340672
341256,25,0.341256
341824,14,0.341824
342408,20,0.342408
342976,17,0.342976
343556,15,0.343556
344136,14,0.344136
344704,11,0.344704
345288,11,0.345288
345856,15,0.345856
346440,14,0.34644
347008,19,0.347008
347592,28,0.347592
348168,33,0.348168
348736,31,0.348736
349320,22,0.34932
349892,15,0.349892
350472,13,0.350472
351044,18,0.351044
351624,17,0.351624
352196,11,0.352196
352768,18,0.352768
353352,19,0.353352
353920,15,0.35392
354504,11,0.354504
355076,11,0.355076
355656,12,0.355656
356228,10,0.356228
356808,13,0.356808
357384,30,0.357384
357956,37,0.357956
358536,30,0.358536
359108,17,0.359108
359688,15,0.359688
360256,19,0.360256
360840,23,0.36084
361408,11,0.361408
361984,13,0.361984
362568,27,0.362568
363136,41,0.363136
363720,47,0.36372
364288,43,0.364288
364872,42,0.364872
365440,53,0.36544
366024,53,0.366024
366600,31,0.3666
367172,18,0.367172
367752,15,0.367752
368324,14,0.368324
368904,11,0.368904
369472,18,0.369472
370056,26,0.370056
370624,30,0.370624
371204,24,0.371204
371784,19,0.371784
372356,11,0.372356
372936,12,0.372936
373508,15,0.373508
374088,24,0.374088
374656,22,0.374656
375240,15,0.37524
375816,15,0.375816
376388,15,0.376388
376968,16,0.376968
377536,11,0.377536
378120,11,0.37812
378700,18,0.3787
379280,21,0.37928
379856,16,0.379856
380436,14,0.380436
381016,23,0.381016
381588,32,0.381588
382168,29,0.382168
382740,26,0.38274
383320,13,0.38332
383892,17,0.383892
384468,18,0.384468
385048,16,0.385048
385616,11,0.385616
386200,14,0.3862
386772,15,0.386772
387352,19,0.387352
387924,30,0.387924
388504,37,0.388504
389076,46,0.389076
389652,28,0.389652
390232,15,0.390232
390804,11,0.390804
391384,13,0.391384
391956,18,0.391956
392536,23,0.392536
393116,17,0.393116
393692,15,0.393692
