tempo_arduino_micro_s,valor_ADC
500,16
1004,10
1504,13
2000,24
2508,33
3000,38
3508,32
4000,27
4504,30
5000,24
5500,18
6000,18
6500,18
7004,14
7500,16
8000,18
8500,16
9000,18
9500,26
10000,27
10516,22
11036,18
11564,11
12084,16
12612,29
13132,44
13660,47
14180,42
14708,39
15228,26
15756,16
16276,22
16796,17
17316,17
17836,25
18356,16
18876,10
19396,15
19916,22
20436,27
20956,29
21476,26
21996,28
22516,27
23036,27
23564,22
24084,16
24612,17
25132,17
25660,18
26180,12
26708,11
27228,11
27756,11
28276,14
28804,25
29324,41
29852,43
30372,38
30900,45
31420,51
31948,29
32472,15
32996,16
33516,16
34044,11
34564,10
35092,13
35612,10
36140,9
36600,10
37140,9
37600,11
38140,16
38660,17
39188,12
39708,14
40236,12
40756,15
41284,14
41804,15
42332,12
42852,16
43380,18
43900,11
44428,11
44948,17
45468,19
45988,16
46508,18
47028,30
47548,39
48068,39
48588,28
49108,21
49628,17
50148,17
50668,11
51188,16
51712,12
52236,11
52756,22
53284,20
53804,12
54332,11
54852,11
55380,15
55900,27
56428,24
56948,25
57476,32
58000,28
58524,18
59044,11
59572,15
60092,26
60620,32
61144,32
61668,29
62188,25
62716,26
63240,26
63764,36
64288,46
64812,41
65332,25
65860,17
66380,16
66908,27
67428,31
67956,18
68476,10
69004,23
69524,43
70044,46
70564,29
71084,15
71604,12
72124,12
72644,16
73164,32
73684,35
74204,33
74728,31
75244,22
75764,12
76288,16
76812,12
77332,12
77860,21
78380,35
78908,45
79428,46
79956,45
80480,45
81004,43
81524,36
82052,25
82572,19
83100,20
83620,17
84148,14
84668,11
85196,10
85716,13
86244,20
86764,25
87292,25
87812,28
88340,26
88860,20
89388,16
89908,20
90436,19
90956,16
91484,15
92004,18
92532,12
93052,10
93580,12
94100,19
94620,14
95144,11
95664,11
96184,11
96700,16
97220,26
97740,32
98260,34
98780,40
99300,38
99820,32
100344,23
100904,17
101488,11
102056,23
102640,38
103208,38
103784,35
104352,35
104928,19
105504,14
106072,16
106656,15
107224,15
107808,15
108376,22
108960,13
109528,21
110096,27
110680,18
111248,28
111832,36
112404,29
112984,32
113552,39
114128,41
114704,38
115276,32
115856,28
116424,24
117008,17
117576,11
118160,13
118728,19
119304,24
119888,27
120460,23
121040,25
121608,23
122192,15
122760,24
123344,25
123920,22
124488,18
125072,16
125640,11
126224,10
126796,10
127376,9
127896,11
128468,13
129048,11
129616,17
130192,45
130760,68
131336,54
131904,22
132488,15
133056,14
133624,16
134208,13
134776,21
135360,16
135928,11
136512,9
137028,11
137608,15
138176,18
138744,26
139328,32
139900,23
140480,15
141048,18
141632,16
142200,15
142784,11
143352,15
143932,19
144512,18
145080,16
145664,19
146232,36
146816,65
147384,72
147960,55
148544,31
149112,17
149696,16
150268,16
150848,11
151420,16
152000,22
152568,29
153148,24
153728,14
154296,16
154872,20
155444,12
156024,10
156592,17
157172,23
157752,34
158324,36
158904,16
159472,11
160056,11
160624,17
161200,17
161768,22
162344,32
162928,50
163496,61
164080,64
164648,64
165224,59
165792,39
166360,21
166944,16
167512,11
168088,17
168656,19
169232,12
169800,15
170384,29
170952,34
171528,35
172112,38
172680,30
173264,24
173832,19
174416,16
174984,16
175560,13
176136,19
176704,18
177288,11
177856,9
178380,14
178956,18
179536,26
180104,41
180688,49
181264,52
181832,48
182416,30
182984,24
183568,17
184140,11
184720,13
185288,22
185864,21
186448,30
187016,38
187600,36
188168,13
188752,15
189324,21
189904,16
190480,23
191048,22
191632,16
192204,14
192784,14
193352,15
193936,10
194504,10
195084,11
195664,10
196232,16
196816,35
197384,57
197968,50
198540,34
199120,27
199696,24
200264,21
200848,21
201416,10
202000,13
202568,18
203152,21
203724,31
204300,41
204880,26
205448,14
206024,12
206592,14
207168,15
207736,18
208320,21
208888,13
209456,20
210032,28
210600,26
211176,15
211748,12
212328,15
212896,35
213472,50
214056,43
214624,36
215208,34
215776,33
216360,23
216928,16
217512,13
218084,10
218656,11
219240,18
219808,26
220392,28
220960,26
221544,20
222112,31
222692,30
223272,20
223844,15
224424,15
224992,16
225576,13
226144,12
226728,19
227296,23
227872,19
228456,11
229024,11
229608,33
230176,53
230760,56
231328,47
231904,38
232488,31
233056,18
233640,16
234208,12
234792,15
235364,15
235944,17
236516,19
237092,21
237672,23
238244,25
238824,20
239396,21
239976,21
240548,18
241124,16
241704,15
242272,12
242856,11
243428,22
244008,25
244576,21
245160,13
245732,13
246308,15
246888,22
247456,25
248040,27
248608,23
249192,20
249764,18
250336,19
250920,14
251488,13
252072,10
252644,15
253224,13
253796,13
254376,16
254948,23
255524,29
256104,28
256672,24
257256,19
257824,16
258408,16
258976,11
259544,19
260128,28
260696,36
261280,32
261848,24
262432,20
263000,19
263576,26
264148,30
264720,37
265304,37
265872,35
266456,21
267024,15
267600,11
268168,11
268752,25
269328,39
269896,40
270480,32
271048,26
271632,18
272200,19
272784,18
273352,17
273932,15
274512,19
275084,17
275664,15
276236,15
276816,14
277384,19
277968,21
278544,26
279116,17
279696,19
280268,34
280848,43
281416,32
282000,23
282576,16
283144,17
283728,22
284300,19
284880,13
285448,10
286032,11
286604,14
287184,22
287760,30
288332,42
288912,41
289480,39
290064,28
290632,18
291216,23
291784,32
292364,19
292944,11
293512,11
294096,14
294668,33
295248,53
295816,62
296400,49
296976,38
297544,47
298128,43
298700,30
299280,20
299856,18
300440,17
301012,11
301588,13
302168,25
302740,34
303320,37
303892,32
304472,27
305052,16
305628,15
306208,20
306780,15
307360,16
307932,18
308512,17
309080,11
309664,12
310236,19
310812,17
311392,13
311964,16
312544,22
313124,24
313704,37
314276,50
314852,51
315432,39
316004,31
316584,24
317156,15
317736,10
318316,15
318896,27
319476,32
320052,25
320632,27
321200,24
321784,19
322352,19
322936,29
323504,32
324084,22
324664,16
325236,16
325816,15
326388,18
326968,19
327548,22
328128,23
328696,17
329264,29
329840,44
330408,45
330992,41
331560,34
332144,23
332716,17
333292,16
333872,13
334440,21
335024,25
335596,25
336176,27
336744,31
337320,32
337888,30
338468,27
339048,21
339616,15
340200,12
340768,15
341352,16
341920,16
342496,11
343080,19
343648,38
344232,30
344804,10
345384,9
345904,20
346480,41
347048,47
347624,40
348208,34
348776,34
349360,34
349932,31
350512,20
351084,13
351664,9
352184,13
352752,11
353336,11
353904,11
354488,11
355056,18
355640,23
356212,27
356792,25
357364,22
357940,21
358520,17
359092,11
359672,13
360244,14
360824,11
361392,12
361972,15
362552,19
363124,24
363704,34
364276,43
364856,40
365424,32
366008,23
366580,24
367156,15
367736,11
368308,22
368888,27
369456,20
370040,19
370608,21
371184,22
371768,20
372340,20
372920,24
373492,27
374072,24
374644,20
375224,25
375796,19
376372,11
376952,30
377524,28
378104,30
378684,32
379264,27
379832,26
380412,29
380992,32
381564,25
382144,15
382716,16
383296,24
383876,35
384460,30
385040,23
385608,10
386192,18
386764,25
387344,23
387916,30
388496,39
389068,42
389644,36
390224,19
390796,24
391376,35
391948,26
392528,19
393100,11
393680,15
394256,11
394824,14
395408,30
395980,53
396560,60
397140,45
397720,32
398292,14
398868,21
399448,15
400020,16
400600,11
401168,10
401752,11
402324,17
402900,19
403480,18
404052,16
404632,17
405204,22
405784,27
406352,27
406936,20
407516,16
408092,15
408672,17
409244,13
409824,19
410400,21
410976,25
411544,21
412112,19
412696,26
413264,30
413848,41
414416,45
415000,35
415572,28
416152,20
416720,16
417296,13
417872,26
418440,30
419024,20
419596,19
420176,27
420744,29
421320,27
421896,30
422468,31
423048,29
423616,18
424200,17
424768,23
425352,31
425924,36
426496,35
427080,38
427652,38
428232,34
428804,29
429384,32
429956,31
430536,30
431112,35
431684,32
432264,25
432832,18
433416,17
433988,16
434568,19
435140,24
435716,20
436296,28
436868,39
437448,35
438020,35
438600,35
439172,36
439752,28
440328,17
440900,18
441480,22
442052,23
442632,22
443204,26
443784,33
444356,31
444932,28
445512,32
446084,38
446664,38
447236,29
447816,20
448388,18
448968,15
449544,16
450116,17
450696,12
451264,11
451848,12
452416,16
453000,17
453572,18
