tempo_arduino_micro_s,valor_ADC
500,92
1004,135
1500,161
2012,147
2524,86
3004,43
3500,31
4000,43
4504,154
5004,106
5516,63
6000,85
6500,130
7008,144
7516,90
8000,24
8500,14
9000,21
9500,29
10000,26
10516,17
11036,57
11564,47
12084,18
12612,60
13132,64
13660,59
14180,77
14708,78
15228,55
15756,13
16276,11
16796,29
17316,59
17836,66
18356,37
18876,12
19396,29
19916,55
20436,99
20956,87
21476,26
21996,14
22516,38
23036,30
23564,14
24084,13
24612,21
25132,51
25660,69
26180,71
26708,17
27228,25
27756,37
28276,27
28804,12
29324,30
29852,88
30372,65
30900,23
31420,26
31948,50
32472,75
32996,97
33516,79
34044,63
34564,49
35092,14
35612,19
36140,53
36660,69
37188,14
37708,22
38236,21
38760,49
39284,54
39804,54
40332,57
40852,17
41372,165
41944,183
42520,139
43096,80
43612,63
44140,44
44660,13
45188,56
45708,86
46236,76
46756,45
47284,25
47804,14
48332,23
48852,13
49380,36
49900,58
50428,12
50948,47
51476,56
51996,20
52524,61
53044,98
53572,126
54148,134
54728,54
55244,27
55764,16
56284,49
56804,60
57324,53
57844,41
58364,28
58892,16
59420,10
59940,14
60468,22
60988,36
61516,21
62036,23
62564,43
63084,39
63612,29
64136,15
64660,53
65180,99
65708,93
66228,117
66808,111
67376,78
67908,17
68428,15
68956,11
69476,102
70056,133
70628,67
71148,15
71668,38
72192,36
72716,44
73236,21
73764,15
74284,13
74812,29
75332,29
75860,27
76384,51
76908,26
77428,10
77956,65
78480,71
79004,37
79528,29
80052,25
80572,15
81100,18
81620,20
82148,10
82668,26
83196,62
83720,89
84244,90
84764,86
85292,64
85812,23
86340,94
86860,72
87388,23
87908,22
88436,33
88956,17
89484,13
90004,12
90524,11
91044,10
91564,19
92084,28
92604,14
93124,10
93644,10
94164,10
94684,12
95208,24
95724,16
96248,19
96764,28
97292,32
97812,20
98340,13
98860,48
99388,77
99912,75
100436,73
101004,45
101584,48
102156,45
102736,41
103304,25
103880,13
104456,15
105024,13
105600,14
106168,13
106744,11
107312,51
107896,108
108516,136
109140,124
109764,50
110328,134
110964,184
111584,67
112156,22
112736,46
113304,84
113888,40
114456,46
115040,64
115612,53
116184,27
116768,66
117336,67
117920,14
118488,50
119072,40
119640,39
120224,68
120792,51
121372,16
121952,27
122520,20
123104,16
123672,11
124256,16
124824,14
125400,14
125976,10
126544,10
127128,32
127700,46
128280,21
128848,15
129424,13
129992,35
130560,72
131144,85
131712,82
132296,96
132864,55
133448,61
134016,108
134644,63
135220,18
135788,59
136368,115
136988,97
137564,48
138140,21
138712,83
139296,72
139864,44
140448,90
141020,95
141600,104
142220,22
142796,120
143428,126
144044,91
144620,105
145244,39
145820,31
146392,72
146972,73
147552,64
148120,23
148704,59
149272,48
149856,48
150424,58
151000,15
151584,64
152156,38
152736,43
153308,59
153888,65
154456,16
155040,13
155608,31
156184,43
156768,42
157340,14
157920,28
158492,11
159072,10
159644,32
160220,34
160800,24
161368,10
161944,26
162512,16
163096,28
163668,18
164248,92
164816,79
165384,31
165960,45
166528,14
167112,32
167680,41
168256,34
168824,28
169408,22
169976,24
170552,14
171128,22
171696,39
172280,53
172848,84
173432,114
174056,39
174624,15
175200,37
175768,43
176352,51
176920,51
177504,25
178072,47
178648,82
179232,61
179800,15
180376,60
180944,54
181528,17
182096,113
182732,88
183308,44
183876,12
184456,50
185024,72
185608,87
186176,105
186804,104
187432,57
187996,38
188576,25
189148,14
189728,36
190296,46
190880,27
191448,93
192028,134
192660,94
193224,46
193808,27
194376,27
194960,49
195528,56
196104,56
196688,35
197256,14
197840,20
198408,24
198992,21
199564,35
200144,53
200720,70
201292,55
201872,75
202444,73
203024,28
203596,11
204176,39
204748,66
205324,78
205904,102
206524,121
207152,24
207720,27
208304,67
208872,133
209500,133
210128,124
210744,59
211320,37
211888,43
212464,38
213048,16
213616,29
214200,59
214772,66
215352,87
215920,79
216504,55
217072,15
217648,15
218232,30
218800,43
219384,43
219952,97
220536,60
221104,46
221684,97
222264,43
222836,15
223416,25
223988,50
224568,26
225144,127
225780,71
226356,23
226928,56
227504,102
228128,87
228700,51
229276,26
229852,15
230432,17
231000,25
231576,37
232148,11
232728,16
233296,44
233880,70
234452,51
235024,48
235608,61
236176,34
236760,17
237332,14
237912,45
238484,71
239060,19
239640,15
240212,29
240792,46
241360,19
241944,13
242512,10
243096,14
243668,10
244240,21
244824,16
245392,12
245976,29
246544,43
247128,16
247696,38
248272,94
248856,86
249424,40
250008,23
250576,43
251160,86
251732,102
252364,34
252940,27
253512,59
254088,54
254660,34
255240,19
255812,27
256392,14
256968,11
257536,28
258112,24
258680,26
259264,32
259832,11
260408,13
260976,30
261560,23
262128,14
262704,14
263288,14
263856,31
264440,48
265008,90
265592,64
266164,15
266736,13
267320,11
267888,11
268472,15
269040,54
269624,71
270192,51
270776,43
271344,26
271924,13
272504,17
273072,49
273656,53
274224,50
274808,30
275380,14
275952,22
276536,37
277104,19
277688,43
278256,29
