tempo_arduino_micro_s,valor_ADC
500,34
1004,47
1500,59
2000,34
2508,15
3000,18
3508,39
4000,46
4504,55
5000,50
5500,27
6000,11
6500,22
7000,18
7500,20
8000,43
8500,64
9000,77
9500,66
10000,31
10508,13
11028,21
11556,12
12076,35
12604,22
13124,27
13648,67
14172,53
14700,28
15220,23
15748,30
16268,39
16796,21
17316,16
17836,20
18356,13
18876,11
19396,12
19916,12
20436,23
20956,33
21476,29
21996,28
22516,29
23036,15
23564,11
24084,15
24612,21
25132,36
25660,43
26180,39
26708,29
27228,13
27756,15
28276,19
28804,22
29324,12
29852,13
30372,32
30900,57
31420,65
31948,38
32472,11
32996,12
33516,11
34044,10
34564,16
35092,15
35612,12
36140,13
36660,16
37188,25
37708,28
38236,34
38760,25
39284,13
39804,11
40332,13
40852,27
41372,45
41892,51
42412,36
42932,30
43452,30
43972,27
44492,31
45012,22
45532,26
46052,55
46572,51
47092,55
47612,61
48140,50
48660,34
49188,11
49708,17
50236,33
50760,28
51284,18
51804,13
52332,14
52852,15
53380,15
53900,16
54428,18
54948,12
55476,10
55996,10
56524,20
57044,39
57572,63
58096,70
58620,73
59140,68
59668,47
60188,38
60716,23
61240,13
61764,21
62284,37
62812,48
63332,55
63860,53
64384,47
64908,29
65428,15
65948,10
66468,10
66988,14
67508,31
68028,48
68548,80
69068,88
69588,69
70108,33
70628,28
71148,67
71672,77
72192,57
72716,50
73240,51
73764,51
74284,54
74812,53
75332,57
75860,70
76384,66
76908,63
77428,34
77956,15
78480,13
79004,11
79528,10
80052,15
80572,29
81100,39
81624,43
82148,45
82668,32
83196,19
83716,14
84244,16
84764,37
85292,33
85812,28
86340,16
86860,12
87388,14
87908,14
88436,28
88956,24
89484,10
90004,12
90524,23
91044,44
91564,60
92084,69
92604,75
93124,55
93644,39
94164,22
94684,13
95204,23
95724,32
96248,39
96764,42
97292,42
97812,27
98340,15
98860,10
99388,12
99908,12
100436,13
101000,19
101584,21
102156,18
102736,17
103304,13
103880,10
104456,10
105024,23
105600,18
106168,13
106744,50
107312,87
107896,67
108464,56
109040,58
109624,46
110192,39
110768,38
111336,49
111920,33
112492,21
113072,12
113640,14
114216,27
114800,40
115368,53
115952,42
116520,43
117104,38
117676,34
118252,34
118832,27
119400,25
119984,22
120556,11
121136,10
121708,18
122288,18
122856,30
123436,54
124016,75
124584,91
125168,70
125740,54
126320,29
126888,15
127464,13
128048,25
128616,39
129192,26
129760,26
130344,11
130912,20
131496,15
132064,15
132640,30
133216,46
133784,41
134360,21
134928,12
135512,12
136080,15
136656,29
137232,41
137800,38
138384,24
138952,15
139536,17
140104,27
140688,42
141260,42
141832,29
142416,34
142984,39
143568,49
144136,42
144720,43
145288,30
145872,17
146448,59
147016,80
147600,64
148168,39
148752,11
149320,11
149904,17
150476,28
151048,33
151632,32
152204,14
152784,49
153356,53
153936,21
154512,14
155088,12
155672,17
156244,14
156824,14
157392,22
157976,59
158548,62
159128,48
159700,19
160276,28
160856,33
161424,13
162008,15
162576,35
163152,39
163724,19
164304,14
164880,27
165448,31
166024,48
166592,56
167176,60
167744,60
168328,31
168896,18
169464,29
170040,32
170608,25
171192,11
171764,13
172344,10
172912,16
173496,21
174064,48
174644,73
175224,82
175792,81
176376,69
176944,58
177528,37
178096,17
178672,13
179256,21
179824,32
180400,40
180968,43
181552,49
182124,52
182704,55
183272,60
183848,32
184432,23
185000,15
185584,29
186156,34
186736,23
187304,15
187880,44
188464,62
189036,61
189616,47
190184,51
190768,49
191336,51
191920,63
192500,67
193072,63
193656,35
194224,14
194808,12
195376,12
195960,13
196528,26
197104,32
197688,51
198256,48
198840,56
199408,46
199992,42
200564,35
201144,23
201712,11
202292,23
202872,20
203444,19
204024,14
204592,11
205176,17
205744,16
206312,14
206896,22
207464,60
208040,90
208608,74
209184,61
209752,51
210336,45
210904,35
211480,26
212064,11
212632,19
213216,21
213784,43
214368,53
214940,51
215516,24
216096,15
216664,14
217248,24
217816,24
218400,17
218968,17
219544,14
220112,12
220692,11
221272,11
221840,21
222424,22
222992,15
223576,21
224148,42
224720,46
225304,51
225872,76
226456,58
227024,24
227608,25
228176,37
228760,20
229328,26
229904,66
230488,82
231056,56
231632,31
232204,15
232784,33
233356,48
233936,14
234512,11
235084,16
235664,14
236236,14
236816,17
237384,24
237968,24
238540,30
239116,52
239696,38
240268,23
240848,34
241416,40
242000,56
242568,67
243152,45
243728,17
244300,12
244880,13
245448,23
246032,36
246600,34
247184,25
247756,34
248332,45
248912,43
249480,42
250064,51
250636,56
251216,37
251784,18
252368,32
252944,51
253516,53
254096,19
254668,14
255248,25
255820,41
256400,40
256976,41
257544,49
258120,56
258688,57
259272,54
259840,46
260424,23
260992,11
261576,23
262152,42
262720,39
263304,42
263872,38
264456,35
265024,24
265608,13
266176,9
266696,12
267272,19
267840,27
268424,34
268992,31
269576,13
270144,23
270728,17
271296,12
271876,12
272456,21
273024,28
273608,46
274176,66
274760,88
275332,78
275912,59
276488,32
277056,14
277640,13
278208,20
278792,13
279364,14
279944,12
280516,11
281092,28
281672,56
282240,65
282824,49
283392,36
283976,24
284548,19
285128,12
285704,22
286276,28
286856,21
287424,14
288008,19
288576,36
289152,25
289720,10
290296,24
290880,49
291448,36
292032,43
292600,47
293184,39
293756,22
294336,13
294908,24
295480,21
296064,11
296632,12
297216,15
297788,16
298368,13
298940,14
299516,30
300096,44
300668,39
301248,19
301820,17
302400,33
302968,72
303552,42
304136,17
304708,34
305288,54
305860,66
306440,70
307020,64
307600,67
308176,64
308752,69
309336,67
309908,44
310488,25
311056,14
311640,15
312212,22
312788,34
313368,49
313940,62
314520,59
315092,49
315672,33
316244,27
316824,35
317396,27
317972,20
318552,23
319124,34
319704,26
320284,15
320864,11
321432,35
322008,53
322592,51
323160,47
323744,50
324316,60
324896,58
325464,54
326048,49
326620,33
327196,22
327776,15
328348,15
328928,12
329496,11
330080,12
330648,26
331224,35
331808,47
332376,46
332960,35
333528,30
334104,43
334672,50
335256,39
335824,19
336400,13
336984,23
337552,34
338136,34
338704,37
339288,33
339856,25
340432,14
341008,24
341576,30
342160,36
342732,47
343312,56
343884,61
344464,54
345032,51
345612,19
346192,42
346760,59
347344,56
347916,54
348496,29
349064,27
349648,30
350224,33
350796,27
351376,24
351948,27
352528,18
353104,12
353688,18
354256,21
354832,38
355416,34
