tempo_arduino_micro_s,valor_ADC
500,11
1004,11
1504,10
2000,11
2508,11
3000,11
3508,11
4000,12
4508,9
5000,14
5500,13
6000,12
6500,12
7004,11
7500,10
8000,17
8500,20
9000,20
9500,18
10000,17
10516,12
11036,12
11564,16
12084,22
12612,24
13132,21
13660,20
14180,18
14708,16
15228,16
15756,16
16276,15
16796,12
17316,11
17836,10
18356,11
18876,11
19396,15
19916,18
20436,19
20956,19
21476,16
21996,14
22516,12
23036,12
23564,12
24084,12
24612,12
25132,11
25660,22
26180,36
26708,38
27228,34
27756,27
28276,20
28804,12
29324,11
29852,10
30372,10
30900,12
31420,12
31948,10
32472,10
32996,10
33516,10
34044,10
34564,10
35092,11
35612,11
36140,10
36660,11
37188,11
37708,11
38236,10
38760,10
39284,10
39804,11
40332,11
40852,10
41372,10
41892,11
42412,10
42932,10
43452,12
43972,12
44492,12
45012,13
45532,13
46052,12
46572,13
47092,14
47612,14
48140,11
48660,12
49188,14
49708,14
50236,12
50756,10
51284,10
51804,11
52332,12
52852,11
53380,12
53900,12
54428,12
54948,12
55476,11
55996,13
56524,10
57044,11
57572,13
58096,14
58620,11
59140,10
59668,10
60188,14
60716,14
61240,17
61764,17
62284,23
62812,26
63332,20
63860,14
64384,13
64908,14
65428,12
65948,11
66468,10
66988,18
67508,17
68028,12
68548,11
69068,12
69588,14
70108,16
70628,15
71148,11
71668,11
72192,32
72716,17
73236,14
73764,21
74284,16
74812,14
75332,14
75860,13
76380,12
76908,12
77428,11
77956,13
78476,15
79004,15
79528,16
80052,18
80572,18
81100,12
81620,10
82148,11
82668,14
83196,17
83716,15
84244,12
84764,12
85292,16
85812,18
86340,14
86860,11
87388,11
87908,10
88436,10
88956,10
89484,10
90004,12
90524,12
91044,11
91564,11
92084,13
92604,13
93124,11
93644,14
94164,14
94684,12
95208,14
95724,16
96248,14
96764,12
97292,10
97812,10
98340,11
98860,10
99388,10
99908,10
100436,11
101000,10
101584,11
102156,12
102736,11
103304,12
103880,12
104456,11
105024,9
105548,10
106120,11
106704,12
107272,11
107856,10
108424,9
108948,11
109520,11
110088,12
110672,13
111240,13
111824,12
112396,11
112976,12
113544,12
114120,12
114696,11
115264,11
115848,12
116416,11
117000,10
117568,11
118152,11
118720,11
119296,12
119880,14
120448,14
121032,11
121600,11
122184,11
122752,11
123336,10
123912,11
124480,12
125064,12
125632,12
126216,11
126784,13
127368,16
127936,16
128516,16
129096,14
129664,11
130240,11
130808,9
131332,10
131904,14
132488,13
133056,13
133624,13
134208,12
134776,13
135360,13
135928,12
136512,12
137080,14
137664,11
138232,11
138812,10
139392,11
139960,11
140544,11
141116,11
141696,11
142264,12
142840,15
143424,18
143992,16
144576,14
145144,14
145728,12
146296,12
146880,12
147448,12
148024,14
148608,12
149176,10
149760,10
150328,14
150912,13
151484,10
152060,14
152640,21
153208,16
153792,14
154360,14
154944,11
155512,10
156096,10
156664,11
157240,11
157824,11
158396,12
158976,11
159556,13
160136,17
160704,17
161272,19
161856,18
162424,17
163008,14
163576,11
164160,10
164728,13
165304,13
165872,13
166440,11
167020,11
167592,10
168168,10
168736,12
169312,11
169880,11
170448,11
171024,11
171592,11
172176,11
172744,11
173328,10
173896,12
174480,10
175048,11
175616,12
176200,11
176768,12
177352,11
177920,11
