tempo_arduino_micro_s,valor_ADC
500,10
1004,13
1504,17
2000,18
2508,17
3000,16
3508,16
4000,12
4508,10
5000,10
5500,11
6000,10
6500,12
7004,13
7500,17
8000,21
8500,26
9000,24
9500,20
10000,16
10516,14
11036,16
11564,15
12084,16
12612,14
13132,17
13660,20
14180,25
14708,24
15228,21
15756,16
16276,13
16796,12
17316,13
17836,15
18356,17
18876,15
19396,14
19916,14
20436,15
20956,12
21476,15
21996,12
22516,11
23036,10
23564,14
24084,14
24612,15
25132,12
25660,12
26180,16
26708,15
27228,16
27756,18
28276,15
28804,15
29324,12
29852,18
30372,27
30900,30
31420,30
31948,30
32472,23
32996,16
33516,14
34044,10
34564,15
35092,16
35612,14
36140,14
36660,16
37188,18
37708,13
38236,10
38760,11
39284,11
39804,11
40332,16
40852,20
41372,22
41892,22
42412,23
42932,19
43452,18
43972,19
44492,16
45012,17
45532,17
46052,20
46572,23
47092,18
47612,19
48140,18
48660,18
49188,21
49708,21
50236,15
50756,12
51284,15
51804,15
52332,14
52852,14
53380,15
53900,12
54428,12
54948,12
55476,13
55996,13
56524,14
57044,16
57572,12
58096,14
58620,14
59140,14
59668,15
60188,16
60716,16
61240,15
61764,15
62284,16
62812,21
63332,22
63860,25
64384,27
64908,24
65428,21
65948,15
66468,10
66988,11
67508,15
68028,17
68548,17
69068,15
69588,15
70108,15
70628,12
71148,10
71668,10
72192,10
72716,13
73236,20
73764,22
74284,25
74812,23
75332,25
75860,18
76380,14
76908,14
77428,16
77956,22
78476,17
79004,13
79528,15
80052,19
80572,26
81100,26
81620,16
82148,11
82668,12
83196,12
83716,13
84244,16
84764,26
85292,27
85812,23
86340,20
86860,15
87388,12
87908,14
88436,13
88956,13
89484,11
90004,12
90524,15
91044,19
91564,18
92084,20
92604,20
93124,14
93644,15
94164,16
94684,15
95208,15
95724,11
96248,16
96764,23
97292,21
97812,20
98340,17
98860,17
99388,20
99908,17
100436,13
101000,11
101584,14
102156,15
102736,15
103304,15
103880,13
104456,12
105024,13
105600,18
106168,15
106744,12
107312,14
107896,15
108464,15
109040,13
109624,17
110192,20
110768,21
111336,19
111920,16
112492,11
113072,11
113640,11
114216,16
114800,22
115368,23
115952,20
116520,15
117104,11
117676,11
118252,14
118832,16
119400,16
119984,16
120556,12
121136,12
121704,20
122288,19
122856,14
123436,11
124016,11
124584,11
125168,11
125736,11
126320,16
126888,16
127464,15
128048,19
128616,18
129192,17
129760,15
130336,15
130904,19
131488,22
132056,19
132632,15
133208,14
133776,15
134352,15
134924,14
135504,15
136076,15
136656,15
137232,12
137800,12
138384,12
138952,11
139536,11
140104,14
140688,15
141256,18
141832,18
142416,15
142984,15
143568,15
144136,16
144720,18
145288,18
145872,15
146448,19
147016,22
147600,20
148168,15
148752,12
149320,11
149904,12
150476,11
151052,16
151632,18
152204,18
152784,17
153356,15
153936,12
154504,16
155088,18
155664,16
156232,16
156816,16
157384,18
157968,24
158540,26
159120,13
159692,18
160268,19
160848,21
161416,16
161992,16
162560,17
163144,23
163716,26
164296,25
164872,22
165440,23
166016,21
166584,16
167168,13
167736,14
168312,16
168880,16
169456,15
170032,15
170600,11
171184,11
171752,11
172336,11
172904,11
173488,11
174056,12
174636,14
175216,18
175784,18
176368,20
176936,16
177520,16
178088,16
178664,15
179248,14
179816,19
180392,21
180960,17
181544,12
182112,10
182696,11
183264,11
183840,14
184424,19
184992,23
185568,21
186140,19
186720,16
187288,11
187864,12
188448,11
189016,12
189600,11
190168,11
190752,17
191320,22
191904,27
192476,27
193048,19
193632,16
194200,16
194784,15
