tempo_arduino_micro_s,valor_ADC
500,29
1004,26
1504,18
2000,13
2508,15
3000,18
3508,17
4000,14
4508,12
5000,10
5500,16
6000,18
6500,10
7004,21
7500,31
8000,34
8500,31
9000,14
9500,22
10000,27
10516,38
11036,39
11564,24
12084,15
12612,11
13132,12
13660,20
14180,20
14708,16
15228,10
15756,12
16276,33
16796,45
17316,31
17836,22
18356,26
18876,25
19396,24
19916,26
20436,39
20956,26
21476,12
21996,12
22516,12
23036,18
23564,23
24084,13
24612,10
25132,10
25660,9
26120,12
26652,20
27172,21
27700,23
28220,15
28748,15
29268,15
29796,12
30316,10
30844,11
31364,13
31892,15
32412,13
32940,11
33460,13
33988,23
34508,25
35036,26
35556,21
36084,21
36604,16
37132,14
37652,18
38180,21
38700,14
39228,15
39748,17
40276,10
40796,25
41324,37
41844,39
42372,33
42892,22
43420,13
43940,13
44460,13
44980,14
45500,19
46020,23
46540,17
47060,17
47580,14
48100,16
48620,18
49140,18
49660,17
50188,13
50708,11
51236,12
51756,13
52284,15
52804,16
53332,14
53852,14
54380,13
54900,12
55428,10
55948,14
56476,20
56996,11
57524,16
58044,20
58572,16
59092,12
59620,10
60140,12
60668,13
61188,15
61716,14
62236,14
62764,11
63284,17
63812,16
64336,14
64860,11
65380,14
65908,16
66428,13
66956,10
67476,12
67996,13
68516,13
69036,14
69556,13
70076,16
70600,16
71116,11
71640,30
72160,44
72676,41
73196,37
73720,23
74236,14
74764,44
75284,75
75812,69
76336,37
76860,21
77380,13
77908,21
78432,27
78956,53
79480,70
80004,66
80524,26
81052,29
81572,51
82100,60
82620,59
83148,36
83668,25
84196,16
84716,12
85244,14
85764,15
86292,14
86812,16
87340,19
87860,16
88388,14
88908,18
89436,16
89960,10
90484,12
91004,12
91532,14
92052,14
92572,17
93092,32
93612,36
94132,28
94652,21
95172,14
95696,26
96216,44
96732,57
97252,39
97776,14
98292,14
98812,19
99340,28
99860,33
100388,23
100952,11
101536,27
102108,30
102688,34
103256,29
103832,15
104400,12
104976,16
105552,16
106120,13
106696,11
107264,11
107848,17
108416,12
108992,19
109560,25
110128,22
110712,16
111280,17
111864,17
112436,14
113016,9
113532,11
114112,15
114680,18
115256,24
115840,18
116408,15
116984,21
117552,13
118136,16
118704,18
119284,15
119864,14
120432,16
121016,14
121584,11
122168,10
122736,12
123320,10
123888,11
124464,32
125048,66
125616,62
126200,28
126768,26
127352,51
127924,49
128500,51
129080,35
129648,18
130224,45
130792,34
131368,11
131936,33
132512,32
133080,21
133656,14
134240,11
134808,14
135392,22
135960,37
136544,36
137112,27
137688,14
138272,17
138840,12
139424,11
139992,11
140576,9
141096,10
141672,11
142240,11
142816,11
143400,14
143968,16
144552,13
145120,14
145704,17
146272,15
146856,12
147424,11
148000,11
148584,16
149152,22
149736,14
150308,11
150888,13
151460,19
152036,13
152616,22
153188,21
153768,22
154336,19
154912,16
155480,15
156064,24
156632,22
157212,27
157792,25
158364,11
158944,10
159516,11
160096,13
160664,13
161232,13
161808,14
162376,13
162960,14
163528,11
164112,10
164680,15
165256,13
165824,9
166340,11
166920,16
167488,12
168064,16
168632,20
169208,13
169776,19
170352,23
170920,15
171496,14
172080,19
172648,27
173232,22
173800,16
174384,21
174952,19
175536,15
176104,19
176680,23
177256,19
177824,14
178408,13
178976,14
179560,11
180128,17
180696,30
181280,18
181848,48
182432,58
183000,26
183584,20
184156,26
184736,14
185304,24
185880,28
186464,18
187032,15
187616,13
188184,14
188768,11
189340,14
189916,23
190496,25
191068,21
191648,13
192220,14
192800,19
193368,17
193944,18
194512,28
195092,28
195672,20
196240,15
196824,13
197392,13
197976,12
198548,11
199120,12
199704,11
200272,13
200856,22
201424,26
202008,19
202576,15
203160,15
203732,19
204308,25
204888,14
205456,16
206032,30
206600,17
207184,10
207752,16
208336,32
208912,30
209480,23
210056,15
210624,14
211208,15
211776,13
212352,12
212920,12
213496,11
214080,11
214648,12
215232,11
215800,13
216384,13
216952,11
217536,12
218108,17
218680,14
219264,15
219832,15
220416,19
220984,13
221568,35
222140,35
222716,24
223296,13
223868,15
224448,11
225016,10
225600,9
226116,14
226696,23
227264,28
227840,29
228424,27
228992,15
229576,15
230148,24
230728,20
231296,11
231880,37
232456,63
233024,65
233608,44
234176,31
234760,23
235332,18
235912,17
236484,33
237056,34
237640,15
238208,15
238792,35
239364,37
239944,21
240516,13
241096,11
241672,15
242240,14
242824,11
243396,12
243976,13
244548,15
245128,24
245696,16
246276,15
246856,13
247424,11
248008,11
248576,12
249160,11
249732,11
250312,11
250888,11
251456,15
252040,19
252608,16
253192,15
253764,19
254344,22
254916,11
255492,10
256072,11
256644,12
257224,13
