tempo_arduino_micro_s,valor_ADC
500,15
1004,17
1504,20
2000,17
2508,14
3000,14
3508,15
4000,13
4508,10
5000,12
5500,12
6000,10
6500,10
7004,11
7500,12
8000,14
8500,10
9000,10
9500,10
10000,14
10516,12
11036,13
11564,13
12084,14
12612,13
13132,22
13660,22
14180,13
14708,10
15228,14
15756,13
16276,11
16796,12
17316,13
17836,16
18356,18
18876,15
19396,14
19916,14
20436,14
20956,12
21476,12
21996,15
22516,17
23036,15
23564,10
24084,13
24612,17
25132,15
25660,11
26180,10
26708,14
27228,14
27756,13
28276,13
28804,14
29324,11
29852,12
30372,12
30900,11
31420,11
31948,10
32472,11
32996,11
33516,14
34044,12
34564,12
35092,17
35612,17
36140,16
36660,14
37188,14
37708,11
38236,11
38760,11
39284,10
39804,11
40332,11
40852,10
41372,10
41892,11
42412,10
42932,11
43452,13
43972,14
44492,15
45012,14
45532,14
46052,16
46572,17
47092,14
47612,11
48140,11
48660,13
49188,19
49708,20
50236,23
50756,21
51284,17
51804,16
52332,15
52852,15
53380,14
53900,13
54428,10
54948,10
55476,14
55996,14
56524,12
57044,10
57572,12
58096,14
58620,13
59140,10
59668,12
60188,13
60716,13
61240,13
61764,14
62284,16
62812,11
63332,11
63860,11
64384,12
64908,11
65428,11
65948,15
66468,17
66988,13
67508,14
68028,16
68548,21
69068,21
69588,17
70108,16
70628,13
71148,10
71668,11
72192,11
72716,10
73236,10
73764,10
74284,10
74812,11
75332,10
75860,10
76384,12
76908,12
77428,15
77956,15
78476,17
79004,13
79528,11
80052,12
80572,12
81100,10
81620,10
82148,10
82668,11
83196,11
83720,12
84244,16
84764,22
85292,16
85812,14
86340,14
86860,21
87388,22
87908,16
88436,11
88956,10
89484,14
90004,20
90524,17
91044,14
91564,11
92084,10
92604,10
93124,15
93644,12
94164,16
94684,15
95204,15
95724,13
96248,11
96764,12
97292,12
97812,11
98340,11
98860,10
99388,12
99908,12
100436,14
101000,13
101584,19
102156,18
102736,17
103304,17
103880,20
104456,18
105024,13
105600,13
106168,11
106744,10
107312,11
107896,12
108464,13
109040,11
109624,11
110192,13
110768,15
111336,15
111920,13
112492,10
113072,10
113640,13
114216,15
114792,15
115364,11
115944,17
116512,12
117096,10
117664,11
118240,15
118824,22
119392,28
119976,27
120548,22
121128,16
121696,11
122280,11
122848,10
123428,11
124008,11
124576,11
125160,12
125728,15
126312,14
126884,15
127456,22
128040,26
128608,16
129184,12
129752,15
130328,13
130896,13
131480,16
132048,24
132624,20
133200,17
133768,15
134344,17
134912,19
135496,20
136064,18
136648,16
137224,15
137792,14
138376,11
138944,12
139528,12
140096,18
140680,19
141252,14
141824,11
142408,11
142976,12
143560,14
144128,14
144712,13
145280,14
145864,11
146440,13
147008,16
147592,15
148160,14
148744,10
149312,11
149896,13
150464,15
151040,14
151624,17
152196,15
152776,16
153348,14
153928,15
154496,15
155080,15
155656,13
156224,10
156808,11
157376,11
157952,10
158524,11
159104,9
159624,11
160200,13
160776,15
161344,18
161928,17
162496,12
163072,11
163644,11
164224,11
164792,12
165360,13
165944,11
166512,12
167096,11
167664,12
168240,21
168808,23
169384,17
169952,15
170528,13
171104,12
171676,12
172256,10
172824,11
173408,11
173976,12
174556,11
175136,14
175704,13
176288,11
176856,15
177440,14
178008,14
178592,13
179160,13
179740,15
180320,12
180888,11
181472,11
182040,10
182624,11
183192,14
183772,14
184352,13
184920,14
185496,13
186064,14
186648,16
187216,17
187800,11
188368,11
188944,11
189528,10
190096,11
190680,9
191200,10
191776,11
192348,11
192928,11
193496,14
194072,14
194656,13
195224,15
195808,11
196376,11
196960,10
197528,11
198104,11
198688,12
199256,13
199840,11
200408,12
200992,11
201560,18
202144,13
202716,15
203292,14
203872,14
204444,12
205024,11
205592,11
206168,12
206736,16
207312,12
207888,13
208456,18
209040,12
209608,11
210184,14
210752,14
211336,14
211904,18
212480,11
213064,16
213632,22
214216,20
214788,22
215368,21
215936,24
216520,19
217096,18
217664,16
218248,21
218816,13
219392,13
219960,14
220544,13
221112,14
221692,14
222272,13
222844,14
223424,16
223996,20
224576,24
225152,22
225736,12
226312,17
226880,29
227464,29
228032,30
228616,21
229184,15
229768,13
230336,12
230916,12
231496,11
232068,11
232648,11
233216,11
233800,11
234368,18
234952,21
235528,14
236096,17
236680,15
237252,15
237832,21
238404,24
238984,23
239556,14
240132,10
240712,23
241280,38
241864,36
242436,19
243016,13
243588,18
244168,27
244744,24
245316,17
245896,14
246464,18
247048,11
247616,27
248200,23
248768,18
249344,14
249928,26
250496,18
251080,14
251648,18
252232,18
252800,15
253384,14
253960,14
254532,17
255112,17
255684,13
256264,26
256840,18
257416,14
257984,20
258552,23
259128,23
259696,15
260280,15
260848,14
261432,17
262000,15
262584,11
263152,13
263720,15
264304,14
264872,10
265456,12
266024,15
266608,17
267176,13
267744,11
268328,19
268896,30
269480,24
270048,20
270632,15
271200,11
271784,13
272352,11
272928,10
273512,10
274084,11
274664,15
275232,26
275816,23
276388,21
276964,14
277544,27
278116,31
278696,18
279268,11
279848,12
280420,18
281000,16
281572,11
282148,14
282728,18
283296,11
283880,16
284448,15
285032,15
285604,17
286176,14
286760,22
287328,31
287912,32
288484,18
289064,10
289632,11
290216,16
290788,11
291364,20
291944,18
292512,15
293096,18
293668,20
294248,17
294820,14
295392,26
295976,38
296548,46
297128,45
297696,31
298280,16
298848,14
299432,11
300004,18
300580,22
301160,14
301732,17
302312,15
302892,14
303472,13
304044,13
304616,13
305200,14
305772,15
306352,12
306924,11
307504,11
308080,11
308664,10
309232,11
309812,17
310392,16
310964,15
311544,13
312116,15
312696,19
313268,13
313844,21
314424,18
314996,11
315576,15
316148,18
316728,24
317308,17
317888,14
318472,17
319044,24
319624,35
320196,29
320776,21
321344,19
321928,9
322444,11
323024,12
323600,14
324168,11
324752,11
325324,11
325904,12
326476,24
327056,28
327628,23
328204,17
328784,15
329352,11
329936,11
330504,12
331088,14
331656,15
332240,11
332816,12
333384,11
333960,18
334528,19
335112,15
335684,19
336264,17
336832,15
337408,16
337992,18
338560,14
339144,11
339716,20
340296,15
340864,11
341448,14
342024,11
342592,11
343176,14
343748,15
344328,15
344896,14
345480,15
346052,12
346624,11
347208,11
347776,18
348360,13
348928,14
349512,15
350084,12
350664,13
351240,26
351812,26
352392,18
352964,14
353544,13
354116,15
354696,24
355264,26
355840,24
356424,27
356996,18
357576,11
358148,12
358728,11
359304,11
359888,15
360464,19
361032,16
361616,14
362184,14
362768,15
363340,17
363920,12
364492,22
365064,21
365648,18
366216,15
366800,13
367368,11
367952,24
368524,50
369104,52
369680,36
370248,24
370832,15
371404,11
371984,21
372556,26
373136,17
373708,15
374284,12
374864,11
375436,10
376016,11
376584,14
377168,13
377740,16
378320,14
378896,13
379464,17
380048,40
380620,35
381200,12
381772,18
382352,13
382924,11
383500,12
384080,15
384652,19
385232,20
385804,15
386384,13
386956,15
387536,13
388112,16
388684,10
389264,12
389832,16
390416,12
390984,11
391568,10
392140,15
392716,16
393296,16
393868,14
394448,13
395016,14
395600,14
396172,10
396752,9
397272,12
397844,13
398424,18
398996,18
399576,17
400156,11
400736,17
401304,20
401884,14
402464,14
403036,14
403616,23
404184,22
404768,15
405340,12
405920,11
406492,10
407068,13
407648,12
408220,15
408800,11
409372,11
409952,16
410528,13
411096,15
411680,14
412248,13
412824,11
413392,11
413968,10
414536,12
415120,14
415688,14
416264,15
416848,11
417416,17
417992,27
418560,23
419144,14
419716,15
420296,18
420872,17
421440,30
422024,18
422592,11
423176,13
423744,11
424328,10
424896,11
425472,11
426056,10
426624,14
427208,19
427776,18
428360,13
428932,14
429512,12
430088,18
430656,26
431240,27
431812,16
432392,12
432964,12
433544,14
434116,13
434692,12
435272,16
435840,15
436424,14
436996,14
437576,11
438148,10
438728,10
439304,13
439876,10
440456,14
441024,17
441608,10
442176,11
442752,13
443324,14
443900,14
444480,13
445048,14
445632,15
446204,17
446784,12
447356,10
447936,11
448520,10
449092,11
449672,11
450240,13
450824,20
