tempo_arduino_micro_s,valor_ADC
500,17
1004,14
1504,10
2000,10
2508,12
3000,10
3508,10
4000,10
4508,12
5000,12
5500,11
6000,12
6500,11
7004,14
7500,14
8000,16
8500,16
9000,18
9500,17
10000,15
10516,15
11036,13
11564,11
12084,10
12612,10
13132,10
13660,10
14180,11
14708,11
15228,12
15756,14
16276,15
16796,15
17316,15
17836,15
18356,10
18876,10
19396,10
19916,11
20436,12
20956,12
21476,11
21996,11
22516,10
23036,10
23564,12
24084,15
24612,16
25132,15
25660,15
26180,15
26708,16
27228,20
27756,19
28276,14
28804,12
29324,11
29852,12
30372,10
30900,10
31420,10
31948,12
32472,14
32996,15
33516,15
34044,15
34564,15
35092,10
35612,10
36140,10
36660,12
37188,14
37708,12
38236,11
38760,10
39284,10
39804,11
40332,14
40852,19
41372,20
41892,19
42412,16
42932,17
43452,17
43972,18
44492,17
45012,18
45532,15
46052,15
46572,13
47092,10
47612,10
48140,11
48660,14
49188,14
49708,14
50236,15
50756,15
51284,15
51804,11
52332,10
52852,11
53380,11
53900,10
54428,12
54948,14
55476,12
55996,11
56524,10
57044,15
57572,17
58096,14
58620,15
59140,15
59668,13
60188,14
60716,16
61240,13
61764,11
62284,12
62812,14
63332,12
63860,10
64384,10
64908,10
65428,15
65948,14
66468,14
66988,14
67508,15
68028,12
68548,11
69068,10
69588,11
70108,10
70628,10
71148,11
71668,13
72192,12
72716,10
73236,12
73764,17
74284,19
74812,21
75332,18
75860,18
76384,13
76908,12
77428,11
77956,10
78476,10
79004,12
79528,13
80052,13
80572,11
81100,11
81620,14
82148,18
82668,18
83196,17
83720,15
84244,15
84764,15
85292,18
85812,16
86340,10
86860,10
87388,10
87908,10
88436,11
88956,11
89484,11
90004,12
90524,17
91044,16
91564,15
92084,16
92604,15
93124,13
93644,17
94164,20
94684,21
95204,21
95724,18
96248,14
96764,11
97292,11
97812,11
98340,11
98860,14
99388,15
99908,14
100436,15
101000,15
101584,11
102156,11
102736,9
103252,11
103832,15
104400,14
104976,11
