tempo_arduino_micro_s,valor_ADC
500,11
1004,13
1504,14
2000,14
2508,13
3000,10
3508,11
4000,14
4508,13
5000,14
5500,14
6000,14
6500,12
7004,11
7500,11
8000,11
8500,10
9000,12
9500,14
10000,13
10516,13
11036,19
11564,18
12084,16
12612,14
13132,22
13660,26
14180,25
14708,22
15228,19
15756,16
16276,12
16796,10
17316,10
17836,11
18356,12
18876,13
19396,11
19916,11
20436,14
20956,14
21476,16
21996,16
22516,16
23036,14
23564,10
24084,11
24612,11
25132,10
25660,11
26180,11
26708,11
27228,12
27756,13
28276,18
28804,21
29324,22
29852,18
30372,16
30900,15
31420,12
31948,10
32472,10
32996,10
33516,10
34044,10
34564,10
35092,10
35612,10
36140,10
36660,10
37188,15
37708,14
38236,15
38760,14
39284,15
39804,12
40332,10
40852,10
41372,11
41892,10
42412,10
42932,10
43452,11
43972,11
44492,11
45012,10
45532,14
46052,13
46572,15
47092,16
47612,15
48140,14
48660,17
49188,15
49708,11
50236,10
50756,10
51284,10
51804,12
52332,11
52852,10
53380,11
53900,14
54428,12
54948,14
55476,15
55996,14
56524,11
57044,10
57572,10
58096,11
58620,12
59140,10
59668,10
60188,10
60716,12
61240,12
61764,11
62284,15
62812,16
63332,20
63860,18
64384,17
64908,13
65428,12
65948,10
66468,10
66988,11
67508,13
68028,16
68548,20
69068,19
69588,16
70108,12
70628,14
71148,16
71668,17
72192,16
72716,15
73236,12
73764,10
74284,11
74812,12
75332,10
75860,11
76384,11
76908,11
77428,16
77956,20
78476,21
79004,19
79528,15
80052,14
80572,14
81100,15
81620,12
82148,11
82668,10
83196,10
83720,11
84244,11
84764,10
85292,10
85812,10
86340,10
86860,10
87388,14
87908,15
88436,14
88956,14
89484,15
90004,13
90524,14
91044,10
91564,13
92084,12
92604,12
93124,11
93644,11
94164,10
94684,13
95204,14
95724,16
96248,15
96764,16
97292,17
97812,17
98340,12
98860,10
99388,10
99908,13
100436,14
101000,18
101584,21
102156,18
102736,13
103304,15
103880,15
104456,16
105024,17
105600,17
106168,15
106744,11
107312,10
107896,10
108464,11
109040,11
109624,12
110192,10
110768,11
111336,12
111920,11
112492,15
113072,15
113640,17
114216,15
114792,12
115364,10
115944,10
116512,11
117096,11
117664,11
118240,9
118764,12
119336,11
119920,11
120492,16
121072,17
121644,19
122224,16
122796,14
123372,11
123952,11
124520,11
125104,11
125672,10
126256,11
126824,11
127408,11
127976,11
128556,12
129136,15
129704,14
130280,16
130848,17
131432,17
132000,16
132576,13
133152,11
133720,12
134304,11
134872,11
135456,11
136024,11
136608,10
137176,16
137752,15
138336,14
138904,16
139488,15
140056,11
140640,16
141208,19
141784,16
142368,11
142940,12
143520,12
144088,11
144672,11
145240,15
145816,17
146384,18
146960,15
147544,15
148112,11
148696,9
149212,10
149792,12
150360,14
150944,11
151516,11
152092,10
152672,11
153244,12
153824,17
154392,16
154976,14
155544,15
156120,15
156704,11
157276,12
157856,12
158428,11
159008,11
159580,11
160160,9
160676,12
161248,17
161832,18
162400,19
162984,19
163552,15
164136,14
164704,12
165280,11
165848,11
166416,10
166988,11
167560,11
168136,11
168704,12
169280,11
169848,9
170372,13
170944,14
171520,15
172104,18
172672,16
173256,13
173824,14
174408,13
174976,12
175552,13
176124,11
176696,11
177272,12
177840,15
178424,13
178992,17
179576,19
180144,21
180720,17
181304,14
181872,13
182456,11
183024,11
183608,11
184180,11
184760,13
185328,15
185904,13
186488,11
187056,16
187640,15
188208,15
188792,14
189364,15
189940,11
190520,11
191092,11
191672,13
192244,11
192824,10
193392,11
193968,10
194536,11
195116,12
195696,14
196264,15
196848,17
197416,18
198000,16
198568,18
199144,16
199728,16
200296,15
200880,14
201448,11
202032,10
202604,10
203184,12
203756,16
204332,14
204912,15
205480,15
206056,15
206624,11
207208,12
207776,12
208352,11
208936,11
209504,10
210080,11
210648,11
211224,11
211792,11
212368,13
212936,15
213512,18
214096,15
214664,15
215248,17
215816,18
216400,16
216968,12
217544,10
218120,10
218688,10
219272,10
219840,11
220424,15
220992,16
221576,16
222148,15
222724,15
223304,10
223876,11
224456,12
225024,12
225608,11
226176,11
226752,11
227320,11
227896,11
228480,12
229048,15
229632,15
230200,18
230784,17
231352,14
231932,13
232512,11
233080,11
233664,11
234232,11
234816,11
235388,11
235968,11
236540,11
237116,14
237696,14
238268,16
238848,15
239420,14
240000,11
240568,14
241144,14
241728,13
242296,11
242880,16
243448,16
244032,17
244600,18
245184,12
245756,14
246332,15
246912,16
247480,17
248064,11
248632,11
249216,11
249788,11
250360,14
250944,16
251512,15
252096,13
252668,18
253248,19
253820,22
254400,16
254968,14
255548,16
256128,18
256700,19
257280,15
257848,11
258424,14
258992,16
259560,13
260144,12
260712,11
261296,11
261864,14
262448,15
263016,16
263592,18
264164,21
264736,22
265320,13
265888,11
266472,10
267040,11
267624,9
268140,10
268720,11
269292,11
269864,11
270448,15
271016,14
271600,15
272168,17
272752,15
273320,11
273896,13
274480,15
275048,11
275632,10
276200,11
276784,12
277352,11
277936,11
278508,14
279080,16
279664,16
280236,17
280816,17
281384,15
281968,13
282536,11
283112,14
283696,18
284264,14
284848,15
285416,18
286000,13
286572,11
287152,15
287724,15
288296,17
288880,17
289448,15
290032,12
290600,13
291184,16
291756,14
292332,11
292912,11
293484,12
294064,11
294636,11
295216,12
295788,16
296368,21
296936,22
297516,15
298096,11
298664,11
299248,11
299816,14
300400,16
300972,15
301548,14
302128,14
302700,13
303280,12
303852,15
304432,15
305012,14
305592,13
306164,14
306740,10
307320,15
307892,13
308472,11
309044,11
309624,12
310192,16
310772,14
311352,12
311924,19
312504,22
313076,19
313656,17
314224,16
314808,14
315380,13
315956,12
316536,11
317108,11
317688,11
318268,14
318848,21
319428,14
320004,11
320584,14
321152,15
321736,16
322304,17
322888,15
323456,11
324040,11
324616,11
325188,10
325768,11
326336,11
326920,11
327492,14
328072,12
328640,16
329208,17
329784,15
330352,13
330928,14
331496,11
332080,11
332648,12
333232,12
333800,11
334376,11
334960,18
335528,16
336112,11
336680,11
337264,14
337832,14
338408,15
338992,16
339560,14
340144,15
340712,11
341296,12
341864,13
342448,13
343016,13
343596,11
344176,11
344744,12
345328,17
345900,16
346480,17
347048,19
347624,18
348208,14
348776,18
349360,16
349928,12
350512,10
351084,14
351664,12
352236,10
352808,10
353392,12
353964,14
354544,15
355116,19
355696,17
356276,11
356852,11
357432,14
358004,17
358584,12
359152,12
359736,13
360304,11
360888,12
361456,11
362032,14
362616,16
363184,16
363768,16
364336,15
364920,14
365488,18
366064,16
366648,11
367216,10
367800,11
368372,10
368952,10
369520,11
370104,11
370672,16
371252,17
371832,18
372404,16
372984,11
373552,11
374136,12
374708,12
375284,11
375864,12
376436,15
377016,17
377588,17
378168,11
378748,15
379328,16
379900,17
380476,19
381056,18
381628,15
382208,16
382780,15
383360,15
