tempo_arduino_micro_s,valor_ADC
500,29
1004,26
1504,27
2000,28
2508,23
3000,14
3508,16
4000,17
4508,20
5000,26
5500,27
6000,25
6500,18
7004,14
7500,15
8000,14
8500,15
9000,22
9500,18
10000,19
10516,22
11036,16
11564,15
12084,21
12612,27
13132,33
13660,41
14180,43
14708,40
15228,34
15756,30
16276,33
16796,35
17316,22
17836,13
18356,10
18876,15
19396,14
19916,17
20436,19
20956,20
21476,18
21996,12
22516,13
23036,17
23564,27
24084,23
24612,11
25132,12
25660,15
26180,20
26708,19
27228,19
27756,16
28276,29
28804,29
29324,26
29852,31
30372,38
30900,37
31420,41
31948,41
32468,31
32996,24
33516,22
34044,18
34564,14
35092,10
35612,16
36140,15
36660,18
37188,17
37708,16
38236,16
38760,11
39284,13
39804,15
40332,16
40852,18
41372,20
41892,27
42412,29
42932,29
43452,23
43972,20
44492,16
45012,18
45532,21
46052,21
46572,22
47092,27
47612,30
48140,34
48660,38
49188,28
49708,23
50236,18
50760,10
51284,12
51804,15
52332,18
52852,18
53380,19
53900,19
54428,20
54948,23
55476,18
55996,11
56524,10
57044,11
57572,10
58096,11
58620,18
59140,24
59668,29
60188,27
60716,22
61240,15
61764,19
62284,22
62812,25
63332,32
63860,38
64384,41
64908,33
65428,33
65948,32
66468,30
66988,26
67508,15
68028,10
68548,12
69068,16
69588,16
70108,18
70628,16
71148,16
71672,18
72192,22
72716,21
73236,15
73764,10
74284,10
74812,13
75332,31
75860,32
76384,32
76908,30
77428,26
77956,20
78480,17
79004,25
79528,31
80052,33
80572,42
81100,51
81620,60
82148,57
82668,45
83196,37
83720,29
84244,18
84764,15
85292,12
85812,16
86340,21
86860,22
87388,24
87908,31
88436,32
88956,25
89484,17
90004,15
90524,11
91044,12
91564,18
92084,30
92604,39
93124,32
93644,18
94164,18
94684,26
95204,25
95724,23
96248,19
96764,14
97292,22
97812,34
98340,41
98860,39
99388,28
99908,28
100436,27
101000,16
101584,11
102156,17
102736,14
103304,16
103880,17
104456,18
105024,17
105600,18
106168,17
106744,19
107312,22
107896,31
108464,33
109040,37
109624,34
110192,27
110768,22
111336,16
111920,15
112492,17
113072,21
113640,36
114216,44
114800,48
115368,44
115952,35
116520,27
117104,20
117672,11
118248,12
118832,16
119400,15
119984,17
120556,18
121136,17
121704,13
122288,10
122856,11
123436,10
124016,11
124584,24
125168,29
125736,25
126320,26
126892,26
127464,20
128048,19
128616,17
129192,18
129760,27
130344,45
130912,46
131496,46
132064,38
132640,29
133224,33
133792,28
134368,13
134936,11
135520,16
136088,15
136664,17
137240,18
137808,18
138392,12
138960,11
139544,12
140112,11
140696,13
141268,26
141840,33
142424,32
142992,26
143576,17
144144,17
144728,17
145296,18
145872,19
146448,23
147016,25
147600,26
148168,26
148752,30
149324,27
149904,25
150472,24
151048,23
151632,15
152204,15
152784,14
153356,18
153936,18
154512,17
155088,11
155672,11
156244,15
156824,25
157392,19
157976,13
158548,19
159128,23
159700,23
160276,18
160856,17
161424,17
162000,17
162568,17
163144,16
163716,10
164296,10
164872,18
165440,33
166016,47
166584,48
167160,37
167728,25
168312,14
168880,17
169456,14
170032,17
170600,18
171184,20
171756,19
172336,18
172904,18
173488,13
174056,13
174636,17
175216,26
175784,26
176368,23
176936,22
177520,17
178088,17
178664,18
179248,21
179816,21
180392,30
180960,34
181544,34
182112,32
182696,26
183264,21
183840,11
184424,11
184992,13
185568,14
186140,15
186720,17
187288,19
187864,21
188448,17
189016,18
189600,17
190168,17
190752,17
191324,23
191904,32
192476,28
193048,24
193632,22
194200,17
194784,18
195352,23
195936,26
196504,34
197080,41
197664,40
198232,40
198816,36
199384,24
199968,20
200540,14
201120,11
201688,11
202264,15
202848,16
203420,17
204000,17
204568,18
205152,12
205720,10
206288,11
206864,11
207432,9
207956,15
208532,21
209112,23
209680,23
210264,17
210832,19
211408,18
211992,19
212560,23
213144,22
213712,29
214296,28
214864,27
215448,25
216016,26
216592,28
217176,25
217748,18
218328,15
218896,17
219480,15
220048,19
220624,18
221208,21
221776,26
222360,23
222932,19
223512,15
224084,13
224664,11
225232,15
225812,17
226392,19
226960,25
227544,16
228112,20
228696,22
229264,18
229840,18
230424,25
230992,35
231568,43
232140,40
232720,33
233292,29
233872,28
234444,25
235016,16
235600,16
236168,16
236752,16
237324,16
237904,19
238476,23
239056,30
239632,18
240204,11
240784,11
241352,11
241936,13
242504,20
243088,23
243660,26
244232,17
244816,22
245384,24
245968,22
246536,20
247120,25
247688,24
248272,15
248848,14
249416,20
250000,26
250568,22
251152,22
251724,25
252304,20
252876,15
253452,18
254032,24
254604,24
255184,20
255756,24
256336,21
256912,13
257488,14
